grupo,candidata,canal,muestra,n,coef,t,p
R,ppunta,sn_perdido_escoria_frac,LOCKBOX,63,-0.00313095194085458,-1.0992948232808062,0.2716394896305371
R,ppunta,sn_perdido_escoria_frac,TOTAL,318,-0.00010093476774697679,-0.16217500897813386,0.8711680392092651
F,lanza,f_metal,DEV,298,0.008331145977086701,1.0774662043856444,0.2812720411134437
F,lanza,f_metal,LOCKBOX,63,-0.0009563846466314162,-0.07815909094341507,0.9377015031253758
F,lanza,f_metal,TOTAL,361,0.005965436868433678,0.8822241784956713,0.3776555892950343
F,lanza,f_dross,DEV,298,-0.011852944571828651,-2.191781809281877,0.028395265218180844
F,lanza,f_dross,LOCKBOX,63,-0.013902510444275817,-1.1712304837082892,0.24150614527029035
F,lanza,f_dross,TOTAL,361,-0.009958584068798673,-1.965243077690493,0.049386110307044415
F,lanza,f_polvo,DEV,298,0.003521798594742049,0.7161282822982717,0.4739121416502353
F,lanza,f_polvo,LOCKBOX,63,0.014858895090907194,2.0187268218858727,0.04351562060802922
F,lanza,f_polvo,TOTAL,361,0.003993147200365152,0.9329878639368029,0.35082623443347993
F,lanza,sn_perdido_escoria_frac,DEV,298,0.001247203825490417,1.418018989833407,0.15618522065714982
F,lanza,sn_perdido_escoria_frac,LOCKBOX,63,-0.0020469039232962794,-1.1954409431742317,0.23191479703639384
F,lanza,sn_perdido_escoria_frac,TOTAL,361,0.0005961227469379667,0.806890425965911,0.4197296152155422
F,o2,f_metal,DEV,298,-0.006782669430219088,-1.4993906668082864,0.13377231342211127
F,o2,f_metal,LOCKBOX,63,-0.003586207333165869,-0.48485806404627113,0.6277770314862541
F,o2,f_metal,TOTAL,361,-0.004629113869346861,-1.4072061394207838,0.1593662716649935
F,o2,f_dross,DEV,298,0.0041606814804093,1.1226351824873255,0.2615924667277858
F,o2,f_dross,LOCKBOX,63,0.0036809571311763496,0.8459699120231507,0.397569529328727
F,o2,f_dross,TOTAL,361,0.0032738616247814396,1.1391547116840186,0.25463863109612717
F,o2,f_polvo,DEV,298,0.002621987949809837,0.888874532041859,0.3740705141404277
F,o2,f_polvo,LOCKBOX,63,-9.474979801044037e-05,-0.023394898361927017,0.981335274411212
F,o2,f_polvo,TOTAL,361,0.0013552522445654486,0.5928936184477189,0.553252349054945
F,o2,sn_perdido_escoria_frac,DEV,298,0.0008145426610291275,1.0974249851888076,0.27245565628056556
F,o2,sn_perdido_escoria_frac,LOCKBOX,63,-0.0008339962350422574,-0.27046037662398453,0.7868060962333041
F,o2,sn_perdido_escoria_frac,TOTAL,361,0.00027201654321722617,0.48935737988871597,0.6245887042949769
F,enriq,f_metal,DEV,298,-0.0021250610541244472,-0.3544902070058746,0.722971541856397
F,enriq,f_metal,LOCKBOX,63,-0.002591779558512599,-0.3948787993901267,0.6929323368435302
F,enriq,f_metal,TOTAL,361,-0.0012161963063935532,-0.3708256524188106,0.7107673935849859
F,enriq,f_dross,DEV,298,0.001664027662399425,0.3492178866693921,0.7269257388884989
F,enriq,f_dross,LOCKBOX,63,0.0021305626958082638,0.35526402851477695,0.7223918011303523
F,enriq,f_dross,TOTAL,361,0.002052934912016752,0.6817781059208002,0.49537927043061336
F,enriq,f_polvo,DEV,298,0.0004610333917249099,0.12950242907318144,0.8969601030157839
