idx_cronologico,es_dev,T_media_R,beta_G_filt,beta_C_filt,beta_G_smooth,beta_C_smooth,sd_G_smooth,sd_C_smooth,beta_G_smooth_lo,beta_G_smooth_hi,beta_C_smooth_lo,beta_C_smooth_hi
AP0123,True,1059.75046660197,-1.447059959215051,-0.424886439778105,-1.8189469342721996,1.0148172464205198,0.7954961920933471,0.6762149805369644,-3.37811947077516,-0.2597743977692393,-0.3105641154319303,2.3401986082729698
AP0124,True,1062.770627918914,-1.4446438321497415,-0.39946641981961184,-1.8182479574773636,1.0165585713353507,0.7955719388091483,0.6761461170254238,-3.3775689575432946,-0.2589269574114328,-0.3086878180344801,2.3418049607051814
AP0125,True,1074.2250972200293,-1.430779056360995,-0.3536132075315343,-1.8176724970351517,1.0183043699068486,0.7954550706334701,0.6760742727662946,-3.376764435476753,-0.25858055859355034,-0.30680120471508876,2.343409944528786
AP0126,True,1027.5204190107183,-1.4641054569688217,-0.3237817129913449,-1.8174330118550732,1.0198468913899168,0.7951454168424641,0.6760238297247617,-3.3759180288663027,-0.25894799484384357,-0.30515981487061605,2.3448535976504497
AP0127,True,1007.6585701328378,-1.297595269377476,-0.3611819732412513,-1.8163791729635248,1.0212649695718654,0.794779982961214,0.675999808710243,-3.3741479395675045,-0.25861040635954535,-0.3036946555002109,2.3462245946439415
AP0128,True,1016.8148799091418,-1.2581046928229216,-0.33363539670451225,-1.8173462101683262,1.0227616312731214,0.7948621436503998,0.6759835298176837,-3.37527601172311,-0.25941640861354265,-0.30216608716953863,2.3476893497157816
AP0129,True,1027.2522088486808,-1.244199685400712,-0.39678794047460775,-1.8189652365093893,1.0240425193414011,0.7947568960987379,0.6759783047922033,-3.3766887528629157,-0.261241720155863,-0.3008749580513175,2.34895999673412
AP0130,True,1012.0608393137996,-1.7323806786168923,-0.3797522299251012,-1.8206746583401718,1.0254033512003078,0.7944617431453083,0.6760049700001408,-3.377819674904976,-0.26352964177536764,-0.2995663899999681,2.3503730924005835
AP0131,True,1113.9405939802632,-1.7072583763865565,-0.4084964601792171,-1.8170102813664117,1.027019412678704,0.7945050551575115,0.6760389605159932,-3.374240189475134,-0.2597803732576893,-0.2980169499326426,2.352055775290051
AP0132,True,1063.6172240500514,-1.7045956027742009,-0.407842450734551,-1.8138902553425509,1.0286089286484166,0.7943621483966045,0.6760702350123459,-3.3708400661998956,-0.25694044448520614,-0.2964887319757814,2.3537065892726146
