grupo,candidata,spec,muestra,n,pendiente,se,t,p_uni,spearman,sd_score,p_perm_bilateral
R,ppunta,base(xG+xC),TOTAL,218,0.4319197292608495,0.23863299742074276,1.8099748732540775,0.03514984190325386,0.1384335967113558,1.4079546284680815,
R,ppunta,cand(xG+xC+R_ppunta),DEV,155,0.5929281277169822,0.2721641818731302,2.1785678175439585,0.014681894557325692,0.20213335052044729,1.405424648921098,
R,ppunta,cand(xG+xC+R_ppunta),LOCKBOX,63,0.08775475915161586,0.48935178955260117,0.17932857511739614,0.42883985541109837,-0.05712365591397849,1.2070685589474803,
R,ppunta,cand(xG+xC+R_ppunta),TOTAL,218,0.4224307254057047,0.23182020455346167,1.822234288074252,0.03420972201083563,0.1332351481378307,1.4554153039639137,
R,ppunta,PERM_bloques20(n=1200),DEV,155,0.5929281277169822,,2.1785678175439585,0.014681894557325692,0.20213335052044729,1.405424648921098,0.115736885928393
F,lanza,base(xG+xC),DEV,198,0.5935525012945231,0.2697287650848515,2.2005532154043816,0.013883834361021554,0.1938341144269262,1.2389574368774618,
F,lanza,base(xG+xC),LOCKBOX,63,0.36744708271163773,0.47179969504650315,0.7788200937167205,0.21804284970082577,0.022801459293394777,1.2368779674145154,
F,lanza,base(xG+xC),TOTAL,261,0.5277894076815706,0.22703418861755997,2.324713343375054,0.010043646654650788,0.15362814775818198,1.3343367130239272,
F,lanza,cand(xG+xC+F_lanza),DEV,198,0.5548571877168128,0.24352093066255442,2.2784784297891636,0.011349044111963158,0.1715213507933453,1.375250091598332,
F,lanza,cand(xG+xC+F_lanza),LOCKBOX,63,0.3516386665630987,0.47192734544830717,0.7451118693473033,0.22810204715845434,-0.002304147465437788,1.2136023046373308,
F,lanza,cand(xG+xC+F_lanza),TOTAL,261,0.5014905495613643,0.20974173203621574,2.3909907899243095,0.008401487190499752,0.14804233232767058,1.4043816259543265,
F,lanza,PERM_bloques20(n=1200),DEV,198,0.5548571877168128,,2.2784784297891636,0.011349044111963158,0.1715213507933453,1.375250091598332,0.208992506244796
F,o2,base(xG+xC),DEV,198,0.5935525012945231,0.2697287650848515,2.2005532154043816,0.013883834361021554,0.1938341144269262,1.2389574368774618,
F,o2,base(xG+xC),LOCKBOX,63,0.36744708271163773,0.47179969504650315,0.7788200937167205,0.21804284970082577,0.022801459293394777,1.2368779674145154,
F,o2,base(xG+xC),TOTAL,261,0.5277894076815706,0.22703418861755997,2.324713343375054,0.010043646654650788,0.15362814775818198,1.3343367130239272,
F,o2,cand(xG+xC+F_o2),DEV,198,0.6510762038331032,0.2675880681557871,2.4331286829054464,0.0074844899521879695,0.2141216774535653,1.2543283151378306,
F,o2,cand(xG+xC+F_o2),LOCKBOX,63,0.04490730014538641,0.22516005973640318,0.19944611934265682,0.4209568935312087,-0.05313940092165899,2.3763864643849906,
F,o2,cand(xG+xC+F_o2),TOTAL,261,0.3209708117577761,0.17597728263913878,1.8239332199256812,0.034081084356738796,0.14775818197771343,1.689812086571714,
F,o2,PERM_bloques20(n=1200),DEV,198,0.6510762038331032,,2.4331286829054464,0.0074844899521879695,0.2141216774535653,1.2543283151378306,0.10824313072439634
F,enriq,base(xG+xC),DEV,198,0.5935525012945231,0.2697287650848515,2.2005532154043816,0.013883834361021554,0.1938341144269262,1.2389574368774618,
F,enriq,base(xG+xC),LOCKBOX,63,0.36744708271163773,0.47179969504650315,0.7788200937167205,0.21804284970082577,0.022801459293394777,1.2368779674145154,
F,enriq,base(xG+xC),TOTAL,261,0.5277894076815706,0.22703418861755997,2.324713343375054,0.010043646654650788,0.15362814775818198,1.3343367130239272,
