canal,palanca,W,s,beta
sn_perdido_escoria_frac,xG,90,330,-0.0469019046797492
sn_perdido_escoria_frac,xG,90,340,-0.02033860355541934
sn_perdido_escoria_frac,xG,90,350,-0.06080668343734486
sn_perdido_escoria_frac,xG,90,360,-0.06825432398087818
sn_perdido_escoria_frac,xG,100,100,-0.11245737963577644
sn_perdido_escoria_frac,xG,100,110,0.014917246132671117
sn_perdido_escoria_frac,xG,100,120,0.04849716698734787
sn_perdido_escoria_frac,xG,100,130,0.02572713795938133
sn_perdido_escoria_frac,xG,100,140,0.03191703304475467
sn_perdido_escoria_frac,xG,100,150,-0.0006318069411729455
sn_perdido_escoria_frac,xG,100,160,-0.0724548011497227
sn_perdido_escoria_frac,xG,100,170,0.10236535837532885
sn_perdido_escoria_frac,xG,100,180,0.09520050181231242
sn_perdido_escoria_frac,xG,100,190,0.15623289992812686
sn_perdido_escoria_frac,xG,100,200,-0.042327097613811
sn_perdido_escoria_frac,xG,100,210,0.07730931081971575
sn_perdido_escoria_frac,xG,100,220,-0.21345824586627946
sn_perdido_escoria_frac,xG,100,230,-0.1756515946368386
sn_perdido_escoria_frac,xG,100,240,-0.15033393128275044
sn_perdido_escoria_frac,xG,100,250,-0.17372597562623812
sn_perdido_escoria_frac,xG,100,260,-0.17419871299060255
sn_perdido_escoria_frac,xG,100,270,-0.19077234904850854
sn_perdido_escoria_frac,xG,100,280,-0.2166097569306444
sn_perdido_escoria_frac,xG,100,290,-0.22925380949437754
sn_perdido_escoria_frac,xG,100,300,-0.17551776060658913
sn_perdido_escoria_frac,xG,100,310,-0.21966000651360681
sn_perdido_escoria_frac,xG,100,320,-0.07908125545595258
sn_perdido_escoria_frac,xG,100,330,-0.10895307590743035
sn_perdido_escoria_frac,xG,100,340,-0.04387632975609336
sn_perdido_escoria_frac,xG,100,350,-0.062060530543685995
sn_perdido_escoria_frac,xG,100,360,-0.05388705665932548
sn_perdido_escoria_frac,xC,80,80,-0.11309052865997231
sn_perdido_escoria_frac,xC,80,90,-0.09161044503843119
sn_perdido_escoria_frac,xC,80,100,-0.12455939260760597
sn_perdido_escoria_frac,xC,80,110,-0.08303845555139693
sn_perdido_escoria_frac,xC,80,120,-0.08763049654430916
sn_perdido_escoria_frac,xC,80,130,-0.03636748106905641
sn_perdido_escoria_frac,xC,80,140,0.03372698060243188
sn_perdido_escoria_frac,xC,80,150,-0.05501689251387665
sn_perdido_escoria_frac,xC,80,160,0.006807407294369769
sn_perdido_escoria_frac,xC,80,170,-0.2667512390078369
sn_perdido_escoria_frac,xC,80,180,-0.28333455412095376
sn_perdido_escoria_frac,xC,80,190,-0.5629098993967534
sn_perdido_escoria_frac,xC,80,200,-0.6810296810261124
sn_perdido_escoria_frac,xC,80,210,-0.8516002662456803
sn_perdido_escoria_frac,xC,80,220,-0.9684447686728145
sn_perdido_escoria_frac,xC,80,230,-1.2350674014589347
sn_perdido_escoria_frac,xC,80,240,-0.9315384928457913
sn_perdido_escoria_frac,xC,80,250,-0.9162063216394374
sn_perdido_escoria_frac,xC,80,260,-0.62770828392655
sn_perdido_escoria_frac,xC,80,270,-0.5630499049771186
sn_perdido_escoria_frac,xC,80,280,-0.6510769306125646
sn_perdido_escoria_frac,xC,80,290,-0.5531746920791468
sn_perdido_escoria_frac,xC,80,300,-0.6284521659254705
sn_perdido_escoria_frac,xC,80,310,-0.5192679958872304
sn_perdido_escoria_frac,xC,80,320,-0.6424138215923991
sn_perdido_escoria_frac,xC,80,330,-0.7137756001935679
sn_perdido_escoria_frac,xC,80,340,-0.6217482977806427
sn_perdido_escoria_frac,xC,80,350,-0.391029644844765
sn_perdido_escoria_frac,xC,80,360,-0.04212891724601081
sn_perdido_escoria_frac,xC,90,90,-0.12961151561181816
sn_perdido_escoria_frac,xC,90,100,-0.08546329348965076
sn_perdido_escoria_frac,xC,90,110,-0.0942597462846253
sn_perdido_escoria_frac,xC,90,120,-0.09334489179694691
sn_perdido_escoria_frac,xC,90,130,-0.05725725015034996
sn_perdido_escoria_frac,xC,90,140,-0.023332344161020722
sn_perdido_escoria_frac,xC,90,150,-0.022281992661981383
sn_perdido_escoria_frac,xC,90,160,-0.019998933287142095
sn_perdido_escoria_frac,xC,90,170,-0.1466033111691569
sn_perdido_escoria_frac,xC,90,180,-0.3462307621157265
sn_perdido_escoria_frac,xC,90,190,-0.48296328971729713
sn_perdido_escoria_frac,xC,90,200,-0.6109447862846564
sn_perdido_escoria_frac,xC,90,210,-0.6933783562123639
sn_perdido_escoria_frac,xC,90,220,-0.8894244030171888
sn_perdido_escoria_frac,xC,90,230,-1.2227148184105212
sn_perdido_escoria_frac,xC,90,240,-0.9091162451061232
sn_perdido_escoria_frac,xC,90,250,-0.9198946176176871
sn_perdido_escoria_frac,xC,90,260,-0.670495426234075
sn_perdido_escoria_frac,xC,90,270,-0.7088944382403686
sn_perdido_escoria_frac,xC,90,280,-0.6703009477316804
sn_perdido_escoria_frac,xC,90,290,-0.630889495702522
sn_perdido_escoria_frac,xC,90,300,-0.5852972374367048
sn_perdido_escoria_frac,xC,90,310,-0.6051926828858505
sn_perdido_escoria_frac,xC,90,320,-0.5089710176851051
sn_perdido_escoria_frac,xC,90,330,-0.6721233492375966
sn_perdido_escoria_frac,xC,90,340,-0.6524421274933225
sn_perdido_escoria_frac,xC,90,350,-0.39508462503092406
sn_perdido_escoria_frac,xC,90,360,-0.2515382761999259
sn_perdido_escoria_frac,xC,100,100,-0.12430188001523498
sn_perdido_escoria_frac,xC,100,110,-0.059951385023519224
sn_perdido_escoria_frac,xC,100,120,-0.1045060364452969
sn_perdido_escoria_frac,xC,100,130,-0.06742040968660047
sn_perdido_escoria_frac,xC,100,140,-0.03107647318859225
sn_perdido_escoria_frac,xC,100,150,-0.05529858283997117
sn_perdido_escoria_frac,xC,100,160,-0.006903020449081517
sn_perdido_escoria_frac,xC,100,170,-0.15206809715109537
sn_perdido_escoria_frac,xC,100,180,-0.22652679520217636
sn_perdido_escoria_frac,xC,100,190,-0.5550157792973983
sn_perdido_escoria_frac,xC,100,200,-0.5260397040560253
sn_perdido_escoria_frac,xC,100,210,-0.6686524229769192
sn_perdido_escoria_frac,xC,100,220,-0.7310176093447657
sn_perdido_escoria_frac,xC,100,230,-1.1433664414254199
sn_perdido_escoria_frac,xC,100,240,-0.9124470180535381
sn_perdido_escoria_frac,xC,100,250,-0.9081337877957298
sn_perdido_escoria_frac,xC,100,260,-0.6979229910049931
sn_perdido_escoria_frac,xC,100,270,-0.7327922116437341
sn_perdido_escoria_frac,xC,100,280,-0.7540608386681183
sn_perdido_escoria_frac,xC,100,290,-0.651402566346016
sn_perdido_escoria_frac,xC,100,300,-0.6397564807224263
sn_perdido_escoria_frac,xC,100,310,-0.5796153577818048
sn_perdido_escoria_frac,xC,100,320,-0.5897557682184138
sn_perdido_escoria_frac,xC,100,330,-0.5399377310993421
sn_perdido_escoria_frac,xC,100,340,-0.6158443283677186
sn_perdido_escoria_frac,xC,100,350,-0.46894259352013745
sn_perdido_escoria_frac,xC,100,360,-0.2750856274520099
