idx_cronologico,T_media_R,kpi,kalman_continuo_qctrl0,kalman_periodico10_qctrl0,kalman_adaptativo20_qctrl0,W100_duro (referencia v9),exp_semivida60,expansiva
AP0225,963.1686352599132,60.58829688060983,-0.07902843020804223,-0.09722529818958628,0.005299210282520325,-0.1179704760782457,-0.009090791350196942,0.014559858814387372
AP0226,934.3796373405688,66.52672916909347,-1.6162434278084918,-1.6828405959038841,-1.1885045086705224,-2.0404306300765773,-1.4725037499218196,-1.2950869554762134
AP0227,979.3079802550784,72.2549691965013,0.014749124873416078,0.016904900850701107,0.07812289316096074,0.020379106714058695,0.11950432389940364,0.13618947240199686
AP0228,955.94352624051,66.96503127723106,-0.3426094594675986,-0.3798858871879481,-0.1155043279580697,-0.460798758038324,-0.1635596876537202,-0.09373153682516822
AP0229,942.162713645488,73.47448383181303,-0.786423219024315,-0.8207310535758072,-0.5571838897969358,-0.9951743588809244,-0.6785665751405827,-0.5850585857721067
AP0230,969.3768176032432,63.368908736985794,-1.0205368774504906,-1.1069829882037534,-0.6608208601317624,-1.3423010152106662,-0.8859850295132121,-0.7547050412006402
AP0231,966.9909737050848,65.73661664170938,-0.5694990261052634,-0.6169165879602785,-0.2983676961166686,-0.7482188885821792,-0.3511486168697595,-0.2528363155213096
AP0232,950.162578274946,72.53462699193129,3.4596795345336733,3.4596795345336733,2.722615587132512,4.34433035344728,3.1955898462773664,2.948348523033072
AP0233,928.883388048704,66.05017757649037,-0.24929337874736218,-0.24694551295408404,-0.1457281283408065,-0.015503798921008671,-0.07524149629720556,-0.09153591948478113
AP0234,917.1300118075798,70.84500030250688,-0.5404598143201323,-0.5244834273036231,-0.4840220200195413,-0.7468131037885966,-0.5302217311465641,-0.4825758559992125
AP0235,925.69003188212,62.75130878245399,1.3390439351202863,1.310720727858773,1.1047924015609643,1.47284530643711,1.1208872445726121,1.0471548487087317
AP0236,969.2931448520922,61.3405164214334,-0.06331254336467226,-0.07414829610959288,-0.16054451006990272,-0.6240636744862356,-0.3439882224886809,-0.2775129909853923
AP0237,945.4499742993536,67.64450803899014,0.527327857639837,0.5475416844708298,0.42002895855187233,0.6593302368434281,0.4911034262729229,0.4552255381063607
AP0238,943.186417898389,69.12886737483416,0.4824173658032662,0.5184773418924706,0.28113948289471313,0.3941486349251956,0.3455983368918524,0.338146471011618
AP0239,968.6131854733436,70.41423496955446,0.4417876126626332,0.46915081190553887,0.2825303142153331,0.3957242719477684,0.3329935336203805,0.3217485532564087
AP0240,908.9565851912332,67.66283212379383,-1.0504931430945572,-1.0671274993701787,-0.9205155415783308,-1.466325028961434,-1.0512192786431256,-0.9604028306125307
AP0241,903.0011912510796,68.76778810285886,-0.24338456047575321,-0.26665806693620986,-0.10160609779588758,-0.06534087536632888,-0.1064647814168127,-0.11846031661561984
AP0242,961.5340142079996,62.37548476218909,-0.23201303381015748,-0.23201303381015748,-0.10254153006173089,0.05653038909439734,-0.05709732208006868,-0.10788745083538762
AP0243,953.3386411155587,62.15995820832996,-0.6556566100554309,-0.6620866220850421,-0.5804271253196067,-0.9603005721967339,-0.705087447904656,-0.6319001251214064
AP0244,937.6192309503592,60.47851500222553,-0.604743037225114,-0.5982912208177794,-0.5534739541671667,-0.8526424284143943,-0.6298362057362562,-0.5666429084511272
AP0245,943.335481246677,65.79375420271414,-0.03052407874016677,-0.029202533218181476,-0.06097877406048105,-0.1276323043697789,-0.07231880806772478,-0.05250673232791684
AP0246,965.0206221975668,69.69536107524598,-0.7922298151586333,-0.7656217822172823,-0.8747965011066813,-1.3869765602342927,-0.9490006575891518,-0.8105952443251649
AP0247,969.8396540605384,68.33521124032349,-0.029534061290768687,-0.04251253963254267,-0.23185543062690775,-0.7351188153025792,-0.3707993851651983,-0.23513033448380394
AP0248,997.5901768737916,72.01425958814754,-1.1375841533588313,-1.1008836382670495,-0.761758614511874,-0.5629989638993464,-0.6727100848097827,-0.7520528547258677
AP0249,984.2062015085374,68.2273669768435,0.2853734240964908,0.30547919230033016,-0.02266709535862227,-0.3965158980806849,-0.08050766508846624,0.04900203914750573
AP0250,956.6938095680882,68.32263707238101,1.4660364960268057,1.4817286545361583,1.1420497926601887,1.5206474823996137,1.2741808103509764,1.2326115199206582
AP0251,961.2968385254912,64.43543560703735,0.0025443544010558365,0.0006178007349067031,0.038136056882967964,0.11283851395570445,0.054766944345491154,0.03292881847589191
AP0252,1010.585976644352,69.69858236602778,0.8834772699409352,0.8834772699409352,0.24618393695420926,0.34663120759085575,0.06711032683647045,0.35719828856250857
AP0253,951.6340348488176,67.40751762265255,-0.21156815444208826,-0.247416332714833,-0.4368208404625935,-0.5956972683495477,-0.8227596533818953,-0.5520558863820676
AP0254,964.8116151908652,67.77485911825491,-0.13047659797415748,-0.12712229982494144,-0.09384761420398124,-0.0958794637115521,-0.08383052353619273,-0.09310055305451448
AP0255,994.090597558584,68.48081777763139,1.4120140641912153,1.3858457542647329,1.0816899888684395,1.1453210202570545,1.0752499044735182,1.105673427596947
AP0256,932.527476900986,77.99753524571082,-0.17973826402871643,-0.16595248793897954,-0.04893399802114756,-0.006087870123866357,0.08256145828194386,-0.013589034092346713
AP0257,990.9829572687396,72.9437616417784,-0.08404130313705592,-0.08507251403947227,-0.03927015733622851,-0.04539072381870201,-0.025831032513509294,-0.04528557444962547
AP0258,966.8846786341086,70.01041343774864,0.3660091850648071,0.3708419211135582,0.21592038906938615,0.24560699316818213,0.18958017061963278,0.24068663568758636
AP0259,951.033237517337,70.76733234248859,1.5071547867386148,1.5112908659322362,1.1767043223508187,1.2969000586618198,1.2498223008910998,1.2491863913924641
AP0260,986.9483783080972,71.79743122615318,0.04308288581879077,0.05316527414808053,-0.2941167226235267,-0.3152571020264856,-0.5379051933476914,-0.2832082358581783
AP0261,957.1482925876028,68.70150973977627,-0.3551384272565632,-0.34581081892718374,-0.24229728718439608,-0.22981642667627597,-0.17805349861931327,-0.22515459216116124
AP0262,953.3428106706804,69.37564377413703,-0.3812944543354002,-0.3812944543354002,-0.3784966294033482,-0.33344105535090174,-0.40433141643714726,-0.436205447750868
AP0263,1005.2844245210916,71.63339043250862,0.4610803474994492,0.4600880868381015,0.29095327907984936,0.31134460037276745,0.29558656801952826,0.28132744333589826
AP0264,949.5437087292984,52.43638761532228,-0.868532643720289,-0.8728338335816638,-0.7691987591155071,-0.7205761382884633,-0.835305719224511,-0.8835235761272703
AP0265,916.7098318836908,66.13358573147792,-0.6525060472233062,-0.5314743390343875,-0.8635529987444371,-0.50156176579906,-0.641324885766572,-0.70706596487445
AP0266,1009.2756321737646,68.14813584541199,-0.4437544939464121,-0.39611599252311214,-0.4229903920327909,-0.3153872471416435,-0.3545087784638751,-0.3696537405492623
AP0267,957.1478432468816,67.77524991711785,-0.42022193966477894,-0.3710650128341986,-0.41857951636601043,-0.30125174572631874,-0.34436662720281697,-0.36191975092822826
