fase,Batch,avance_prev,palanca,valor,pred_sn_dep,sn_dep_lo,sn_dep_hi,pred_feo_ret,feo_ret_lo,feo_ret_hi,pred_dT,dT_lo,dT_hi,pred_temperatura,support_score,derivada__exceso_o2_combustion_pct,derivada__relacion_C_Sn_carga,derivada__v5_dosis_C_sn,derivada__v5_exceso_C_pos,J_costo,J_temperatura,J_soporte,J_sn,J_feo,J_incertidumbre,J
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,20.565798812240743,1.2928327039972056,0.9097874226664142,1.675877985327997,-0.038560780382420265,-0.13099662738734913,0.05387506662250861,-16.787567413831376,-31.17211976534093,-2.4030150623218187,978.6566356164557,0.23759903775233213,-17.914108744628283,,0.13015372135069134,0.0,-60.292789247111926,-0.0,-127.99681417749126,1407.313039936158,-253.5310384111128,-512.3575150931067,453.13488300733536
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,21.741102627296357,1.2920515726811772,0.9090062913503858,1.6750968540119686,-0.03838574194941314,-0.130821588954342,0.05405010505551574,-17.27960449970541,-31.66415685121497,-2.8950521481958535,978.1645985305817,0.2529916684492897,-15.796333530250378,,0.13015372135069134,0.0,-60.586615200875826,-0.0,-97.21155278357607,1406.4627394420954,-252.38018837016338,-512.3575150931067,483.9268679943734
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,22.916406442351963,1.2912704413651488,0.9082251600343574,1.6743157226959402,-0.03821070351640601,-0.1306465505213349,0.05422514348852287,-17.77164158557944,-32.156193937089,-3.387089234069885,977.6725614447076,0.26690927300925527,-13.678558315872467,,0.13015372135069134,0.0,-60.880441154639726,-0.0,-69.37634366364497,1405.6124389480326,-251.2293383292139,-512.3575150931067,511.7688007074271
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,24.091710257407577,1.2904893100491202,0.9074440287183287,1.6735345913799116,-0.03803566508339888,-0.13047151208832775,0.05440018192153,-18.263678671453476,-32.64823102296303,-3.8791263199439197,977.1805243588336,0.2795133242398841,-11.56078310149456,,0.13015372135069134,0.0,-61.17426710840363,-0.0,-44.16824120238727,1404.7621384539698,-250.07848828826445,-512.3575150931067,536.9836267618076
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,25.26701407246319,1.2897081787330917,0.9066628974023003,1.6727534600638831,-0.037860626650391756,-0.13029647365532063,0.05457522035453712,-18.755715757327508,-33.14026810883706,-4.371163405817951,976.6884872729596,0.28923152405718383,-9.443007887116648,,0.13015372135069134,0.0,-61.46809306216753,-0.0,-24.73184156778785,1403.911837959907,-248.92763824731503,-512.3575150931067,556.4267499895298
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,26.442317887518797,1.288927047417063,0.9058817660862717,1.6719723287478545,-0.03768558821738462,-0.1301214352223135,0.054750258787544255,-19.24775284320154,-33.632305194711094,-4.863200491691982,976.1964501870856,0.29556461871088635,-7.325232672738766,,0.13015372135069134,0.0,-61.76191901593144,-0.0,-12.065652260382809,1403.061537465844,-247.77678820636552,-512.3575150931067,569.0996628900574
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,27.61762170257441,1.2881459161010347,0.9051006347702433,1.671191197431826,-0.0375105497843775,-0.12994639678930636,0.05492529722055138,-19.739789929075574,-34.12434228058513,-5.355237577566017,975.7044131012116,0.30039472818587926,-5.2074574583608575,,0.13015372135069134,0.0,-62.05574496969534,-0.0,-2.4054333103969983,1402.2112369717813,-246.6259381654161,-512.3575150931067,578.7666054331662
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,28.792925517630025,1.2873647847850063,0.9043195034542149,1.6704100661157977,-0.03733551135137037,-0.12977135835629924,0.055100335653558506,-20.23182701494961,-34.616379366459164,-5.847274663440052,975.2123760153374,0.29845539831745493,-3.089682243982948,,0.13015372135069134,0.0,-62.34957092345924,-0.0,-6.284093047245642,1401.3609364777185,-245.47508812446668,-512.3575150931067,574.8946692894402
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,29.96822933268563,1.2865836534689776,0.9035383721381862,1.669628934799769,-0.03716047291836324,-0.12959631992329212,0.05527537408656564,-20.723864100823636,-35.108416452333195,-6.33931174931408,974.7203389294634,0.2911564762309557,-0.9719070296050388,,0.13015372135069134,0.0,-62.64339687722315,-0.0,-20.88193722024412,1400.5106359836554,-244.32423808351717,-512.3575150931067,560.3035487095643
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,31.14353314774124,1.2858025221529492,0.9027572408221578,1.6688478034837406,-0.036985434485356114,-0.12942128149028498,0.055450412519572764,-21.21590118669767,-35.600453538207226,-6.831348835188114,974.2283018435894,0.28062111785592175,1.1458681847728573,,0.13015372135069134,0.0,-62.93722283098705,-0.0,-41.95265397031201,1399.6603354895929,-243.17338804256775,-512.3575150931067,539.2395555526193
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,73.88206441938546,1.253267699950405,0.8702224186196137,1.6363129812811965,-0.049741210335146446,-0.14217705734007532,0.04269463666978243,-18.12880673811659,-32.51335908962615,-3.744254386607034,977.3153962921705,0.05084359015941577,-21.30111455644985,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-501.507709363324,1364.2445547810134,-327.04059884235494,-512.3575150931067,-38.852699343290965
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,76.20722122547167,1.2550466580361153,0.8720013767053238,1.6380919393669067,-0.0491067023631003,-0.14154254936802918,0.043329144641828576,-18.223543687782385,-32.608096039291944,-3.8389913362728283,977.2206593425047,0.05520999456210827,-20.421279511261922,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-492.77490055793896,1366.1810396052133,-322.8688091784111,-512.3575150931067,-24.01161604976221
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,78.5323780315579,1.2568256161218256,0.8737803347910342,1.639870897452617,-0.04847219439105416,-0.14090804139598304,0.04396365261387472,-18.318280637448183,-32.70283298895774,-3.933728285938626,977.1259223928389,0.060647779179193465,-19.54144446607397,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-481.8993313237686,1368.1175244294132,-318.6970195144673,-512.3575150931067,-7.027772327448133
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,80.85753483764411,1.258604574207536,0.8755592928767446,1.6416498555383274,-0.04783768641900801,-0.1402735334239369,0.044598160585920865,-18.41301758711398,-32.79756993862354,-4.028465235604424,977.0311854431732,0.06584837619496069,-18.661609420886037,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-471.4981372922341,1370.0540092536132,-314.5252298505235,-512.3575150931067,9.48169619223006
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,83.18269164373032,1.2603835322932462,0.8773382509624548,1.6434288136240376,-0.04720317844696186,-0.13963902545189075,0.045232668557967017,-18.507754536779778,-32.89230688828933,-4.123202185270221,976.9364484935073,0.0703438345543631,-17.781774375698095,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-462.5072205734293,1371.990494077813,-310.35344018657963,-512.3575150931067,24.58088739917855
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,85.50784844981654,1.2621624903789566,0.8791172090481651,1.645207771709748,-0.04656867047491572,-0.1390045174798446,0.04586717653001316,-18.602491486445576,-32.987043837955135,-4.217939134936019,976.8417115438415,0.07436864859528493,-16.901939330510153,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-454.4575924915857,1373.9269789020132,-306.1816505226358,-512.3575150931067,38.73878996916636
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,87.83300525590276,1.2639414484646667,0.8808961671338753,1.6469867297954581,-0.045934162502869566,-0.13837000950779843,0.04650168450205931,-18.69722843611137,-33.08178078762093,-4.312676084601813,976.7469745941758,0.07774311109993365,-16.02210428532221,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-447.7086674822882,1375.8634637262128,-302.0098608586919,-512.3575150931067,51.59598946660708
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,90.15816206198897,1.265720406550377,0.8826751252195857,1.6487656878811685,-0.04529965453082342,-0.1377355015357523,0.04713619247410546,-18.791965385777168,-33.17651773728672,-4.407413034267611,976.6522376445099,0.08072928384036653,-15.142269240134272,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-441.7363220014224,1377.7999485504129,-297.8380711947481,-512.3575150931067,63.6766094356168
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,92.48331886807519,1.2674993646360875,0.8844540833052961,1.6505446459668789,-0.044665146558777284,-0.13710099356370617,0.047770700446151594,-18.886702335442966,-33.271254686952524,-4.502149983933409,976.5575006948442,0.08714834959942624,-14.262434194946342,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-428.89819048330304,1379.736433374613,-293.6662815308043,-512.3575150931067,82.62301544188011
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,94.8084756741614,1.2692783227217976,0.8862330413910062,1.652323604052589,-0.04403063858673114,-0.13646648559166003,0.04840520841819774,-18.981439285108763,-33.36599163661832,-4.596886933599206,976.4627637451783,0.09410964142737062,-13.382599149758402,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-414.9756068274143,1381.6729181988128,-289.4944918668605,-512.3575150931067,102.65387358591266
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,97.13363248024763,1.271057280807508,0.8880119994767166,1.6541025621382994,-0.04339613061468499,-0.13583197761961385,0.04903971639024389,-19.07617623477456,-33.46072858628412,-4.691623883265004,976.3680267955125,0.10230391019344126,-12.50276410457046,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-398.587069295273,1383.6094030230129,-285.3227022029167,-512.3575150931067,125.15068560619767
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,99.45878928633384,1.2728362388932182,0.8897909575624268,1.6558815202240096,-0.042761622642638844,-0.13519746964756774,0.049674224362290034,-19.170913184440355,-33.555465535949914,-4.786360832930798,976.2732898458468,0.1127646386876908,-11.62292905938253,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-377.66561230677394,1385.5458878472125,-281.1509125389729,-512.3575150931067,152.18041708284045
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,101.78394609242005,1.2746151969789286,0.8915699156481371,1.65766047830972,-0.04212711467059271,-0.1345629616755216,0.05030873233433617,-19.265650134106153,-33.65020248561571,-4.881097782596596,976.1785528961809,0.12842727027982906,-10.743094014194575,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-346.3403491224974,1387.4823726714126,-276.9791228750291,-512.3575150931067,189.6139547552607
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,104.10910289850628,1.276394155064639,0.8933488737338475,1.6594394363954303,-0.04149260669854655,-0.13392845370347542,0.05094324030638233,-19.36038708377195,-33.74493943528151,-4.975834732262394,976.0838159465152,0.15010742233890395,-9.863258969006647,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-302.98004500434763,1389.4188574956127,-272.80733321108517,-512.3575150931067,239.08253336155462
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,106.43425970459249,1.278173113150349,0.8951278318195577,1.6612183944811405,-0.04085809872650041,-0.13329394573142928,0.05157774827842847,-19.455124033437748,-33.8396763849473,-5.070571681928191,975.9890789968493,0.1744539433555766,-8.983423923818705,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-254.28700297100232,1391.3553423198125,-268.6355435471414,-512.3575150931067,293.8838498830432
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,108.7594165106787,1.2799520712360595,0.8969067899052681,1.6629973525668509,-0.040223590754454266,-0.13265943775938316,0.05221225625047461,-19.549860983103546,-33.934413334613104,-5.165308631593989,975.8943420471835,0.19900099285281178,-8.103588878630763,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-205.19290397653194,1393.2918271440126,-264.46375388319757,-512.3575150931067,349.0862233656577
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,111.08457331676493,1.2817310293217696,0.8986857479909782,1.664776310652561,-0.039589082782408115,-0.132024929787337,0.05284676422252076,-19.64459793276934,-34.0291502842789,-5.260045581259783,975.7996050975178,0.22490187153576727,-7.223753833442823,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-153.39114661062098,1395.2283119682122,-260.2919642192537,-512.3575150931067,406.99625521971194
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,113.40973012285114,1.28350998740748,0.9004647060766886,1.6665552687382714,-0.03895457481036197,-0.13139042181529084,0.05348127219456691,-19.739334882435138,-34.12388723394469,-5.354782530925581,975.7048681478519,0.25086304385413916,-6.343918788254881,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-101.46880197387719,1397.1647967924123,-256.1201745553099,-512.3575150931067,465.0268743445999
Reducción,AP0247,0.8997893085894728,tasa_aire_nm3_min,115.73488692893736,1.2852889454931902,0.9022436641623988,1.6683342268239816,-0.038320066838315826,-0.1307559138432447,0.05411578016661305,-19.834071832100935,-34.218624183610494,-5.449519480591379,975.6101311981862,0.2750968206617912,-5.4640837430669515,,0.13015372135069134,0.0,-62.19143082551875,-0.0,-53.001248358573115,1399.1012816166121,-251.9483848913661,-512.3575150931067,519.6027024480477
