target,fase,feature,rol,ks_stat,ks_p,frac_fuera_p1p99_lockbox,p1_dev,p99_dev,media_dev,media_lockbox,n_dev,n_lockbox,features_100pct_fuera,r2_oof_con,r2_lockbox_con,r2_oof_sin,r2_lockbox_sin
v5_ln_feo_ret,Reducción,avance_reduccion_sn_prev,estado,0.08474099099099099,0.09471368861075875,0.007936507936507936,0.6839157368771187,1.0,0.9296468999721678,0.9236975941071325,1184,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,ley_sn_carga_batch_pct,estado,0.6179858788554441,9.379779473060274e-76,0.0,35.16111772399985,44.192824650175766,39.667205180012424,40.65658692730829,1196,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,v5_exceso_C_pos,palanca,0.09108215358215359,0.059259939943803235,0.0,0.0,1484.2740452089097,156.5863814160315,123.1878091720914,1184,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,v5_C_x_avance,palanca,0.08515658515658515,0.09194015436298922,0.003968253968253968,32.922671115423384,1740.6436011204792,636.8961956758101,647.7817840833881,1184,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,tasa_gn_nm3_min,palanca,0.18788386376326074,6.63590411301181e-07,0.19444444444444445,10.380907532254955,29.60074318613833,21.822467653630564,22.596436311715834,1194,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,exceso_o2_combustion_pct,palanca,0.6323494192312298,1.1624348093855014e-79,0.027777777777777776,-14.189854185897381,49.17302141431203,-1.8387157097545719,1.8337635275996123,1193,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,tasa_aire_nm3_min,palanca,0.3839385252428731,5.6507678084841e-28,0.06349206349206349,73.07891608454784,129.6805833870875,118.5445940657873,121.63559935118695,1196,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_d_lnirf,Fusión,ley_feo_escoria_pct_prev,estado,0.21084108855890188,1.4036488524458139e-12,0.005319148936170213,11.973459674456084,23.01699335804459,17.51677618869787,16.604871501991642,1781,376,(ninguna),0.41512375681158065,-0.015553108284338535,,
v5_d_lnirf,Fusión,indice_irf_prev,estado,0.10447645230695674,0.002084891889180655,0.0026595744680851063,0.17966190199014723,0.4195012170631767,0.27884494179042263,0.2821112086223935,1780,376,(ninguna),0.41512375681158065,-0.015553108284338535,,
v5_d_lnirf,Fusión,termocupla_media_celsius_prev,estado,0.8706597222222222,7.524980033710993e-257,0.5132275132275133,289.0437905099932,395.42986135493055,333.6103423425078,394.4790200712181,1792,378,(ninguna),0.41512375681158065,-0.015553108284338535,,
