target,variable,fuente,x,pd,ale
v5_ln_sn_dep,tasa_o2_nm3_min,ale,11.346290275748345,,-0.002427358922077752
v5_ln_sn_dep,tasa_o2_nm3_min,ale,13.158071100055366,,0.0014645285008672293
v5_ln_sn_dep,tasa_o2_nm3_min,ale,15.08393776675905,,0.005612102557080931
v5_ln_sn_dep,tasa_o2_nm3_min,ale,16.80948352667298,,0.0043895804877571235
v5_ln_sn_dep,tasa_o2_nm3_min,ale,18.424513679741757,,0.002606624464993622
v5_ln_sn_dep,tasa_o2_nm3_min,ale,19.87029479379554,,0.002218883731268148
v5_ln_sn_dep,tasa_o2_nm3_min,ale,21.19980498910804,,0.0021358903177136415
v5_ln_sn_dep,tasa_o2_nm3_min,ale,22.32644350904677,,0.0021358903177136415
v5_ln_sn_dep,tasa_o2_nm3_min,ale,23.272847634480794,,0.0021358903177136415
v5_ln_sn_dep,tasa_o2_nm3_min,ale,24.248773074725115,,0.006060029770620819
v5_ln_sn_dep,tasa_o2_nm3_min,ale,25.16042862651691,,0.012860202839523542
v5_ln_sn_dep,tasa_o2_nm3_min,ale,26.144813510661,,0.016355221015230424
v5_ln_sn_dep,tasa_o2_nm3_min,ale,27.09487376049759,,0.01697420557494176
v5_ln_sn_dep,tasa_o2_nm3_min,ale,27.816584754265108,,0.017914286910975095
v5_ln_sn_dep,tasa_o2_nm3_min,ale,28.496612217248988,,0.022799143692682704
v5_ln_sn_dep,tasa_o2_nm3_min,ale,29.242807055006097,,0.02577836226021698
v5_ln_sn_dep,tasa_o2_nm3_min,ale,29.985326932348038,,-0.006554100874406402
v5_ln_sn_dep,tasa_o2_nm3_min,ale,31.414414841942808,,-0.03938814680753321
v5_ln_sn_dep,tasa_aire_nm3_min,pd,81.48615207380843,-0.032849968010151394,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,83.38854888778584,-0.032849968010151394,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,85.29094570176326,-0.032849968010151394,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,87.19334251574068,-0.032849968010151394,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,89.0957393297181,-0.00502328104361402,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,90.99813614369552,-0.00502328104361402,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,92.90053295767294,-0.00502328104361402,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,94.80292977165035,-0.00502328104361402,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,96.70532658562779,-0.00502328104361402,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,98.6077233996052,-0.00502328104361402,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,100.51012021358262,-0.00502328104361402,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,102.41251702756004,-0.00502328104361402,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,104.31491384153746,-0.00502328104361402,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,106.21731065551488,-0.00502328104361402,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,108.1197074694923,-0.00502328104361402,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,110.02210428346972,-0.00502328104361402,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,111.92450109744713,-0.00502328104361402,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,113.82689791142457,-0.032683316750621326,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,115.72929472540199,-0.032683316750621326,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,117.6316915393794,-0.032683316750621326,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,119.53408835335682,0.006352803559655909,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,121.43648516733424,0.0075868412412104305,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,123.33888198131166,-0.002132355100995189,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,125.24127879528908,0.0018854968474474056,
v5_ln_sn_dep,tasa_aire_nm3_min,pd,127.1436756092665,0.0018854968474474056,
v5_ln_sn_dep,tasa_aire_nm3_min,ale,54.42028048712488,,-0.03233256963914443
v5_ln_sn_dep,tasa_aire_nm3_min,ale,107.8679220369759,,-0.03292764619211731
v5_ln_sn_dep,tasa_aire_nm3_min,ale,117.71724749177943,,-0.044763109960229114
v5_ln_sn_dep,tasa_aire_nm3_min,ale,118.40365428966552,,-0.016501408789415417
v5_ln_sn_dep,tasa_aire_nm3_min,ale,118.6910440743737,,0.008590322652518932
v5_ln_sn_dep,tasa_aire_nm3_min,ale,118.9517997430313,,0.010693388814193648
v5_ln_sn_dep,tasa_aire_nm3_min,ale,119.13788363136574,,0.007473454826600633
v5_ln_sn_dep,tasa_aire_nm3_min,ale,119.28808602801287,,0.002231457304638758
v5_ln_sn_dep,tasa_aire_nm3_min,ale,119.43084609523831,,0.0024915674971092844
v5_ln_sn_dep,tasa_aire_nm3_min,ale,119.55567359903606,,0.0023994997990928538
v5_ln_sn_dep,tasa_aire_nm3_min,ale,119.68753780891045,,0.0035414953732914242
v5_ln_sn_dep,tasa_aire_nm3_min,ale,119.82407346157972,,0.01109516594407086
v5_ln_sn_dep,tasa_aire_nm3_min,ale,119.98514772166516,,0.016928336501901793
v5_ln_sn_dep,tasa_aire_nm3_min,ale,120.16569701401905,,0.01714228897831887
v5_ln_sn_dep,tasa_aire_nm3_min,ale,120.33716217031974,,0.017295095923648467
v5_ln_sn_dep,tasa_aire_nm3_min,ale,120.53642999475551,,0.013343131958894631
v5_ln_sn_dep,tasa_aire_nm3_min,ale,120.79445041666668,,0.003102061431962698
v5_ln_sn_dep,tasa_aire_nm3_min,ale,121.09701920205663,,0.0021493543889372357
v5_ln_sn_dep,tasa_aire_nm3_min,ale,121.47473815284297,,0.00813375725570415
v5_ln_sn_dep,tasa_aire_nm3_min,ale,121.9502172201006,,0.00791627243591251
v5_ln_sn_dep,tasa_aire_nm3_min,ale,122.52527988335504,,0.000652095967257009
v5_ln_sn_dep,tasa_aire_nm3_min,ale,123.22916551296657,,-0.006203143713078091
v5_ln_sn_dep,tasa_aire_nm3_min,ale,124.1796296359592,,-0.0027091138379559607
v5_ln_sn_dep,tasa_aire_nm3_min,ale,125.32622960069445,,0.0003759792488457689
v5_ln_sn_dep,tasa_aire_nm3_min,ale,128.84170837809245,,0.0003759792488457689
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.04589508196210096,-0.007758324603211429,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.07217033309712177,0.004211654666000366,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.09844558423214259,-0.00020137649611125667,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.12472083536716339,-0.00020137649611125667,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.1509960865021842,0.008434815640201512,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.177271337637205,0.007391449775408282,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.2035465887722258,0.006061414333756792,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.22982183990724664,0.006603713559798545,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.2560970910422674,0.00710719208376814,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.28237234217728824,0.006621787961719217,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.30864759331230907,0.006621787961719217,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.3349228444473299,0.006621787961719217,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.36119809558235066,-0.004892306427000498,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.3874733467173715,-0.004892306427000498,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.4137485978523923,-0.004892306427000498,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.4400238489874131,-0.0061758815093338176,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.4662991001224339,-0.007407019293509572,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.49257435125745475,-0.01875326441619792,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.5188496023924756,-0.01875326441619792,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.5451248535274964,-0.01875326441619792,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.5714001046625172,-0.025191023879344247,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.597675355797538,-0.025191023879344247,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.6239506069325589,-0.025191023879344247,
v5_ln_sn_dep,v5_dosis_C_sn,pd,0.6502258580675795,-0.025191023879344247,
