avance_base,control,x,pred_ln_sn_dep,pred_ln_feo_ret,J,es_argmax,tipo_optimo
0.985,carbon,50.47977967015848,0.2740467809056069,-0.058542003884462575,-0.3113732579390189,False,frontera_alta
0.985,carbon,53.62504207135024,0.27490335094014856,-0.0584210688752864,-0.3093073378127154,False,frontera_alta
0.985,carbon,56.770304472541994,0.27575644775475916,-0.058300133866110236,-0.3072448909063432,False,frontera_alta
0.985,carbon,59.91556687373375,0.27660607134943876,-0.05817919885693406,-0.3051859172199018,False,frontera_alta
0.985,carbon,63.06082927492551,0.2774522217241873,-0.0580582638477579,-0.30313041675339164,False,frontera_alta
0.985,carbon,66.20609167611727,0.2782948988790048,-0.05793732883858172,-0.3010783895068124,True,frontera_alta
0.985,gn,10.90501097545885,0.25368379765176163,-0.040270238191741366,-0.149018584265652,True,frontera_baja
0.985,gn,11.840758957680325,0.2527895527850979,-0.04277198598198296,-0.17493030703473167,False,frontera_baja
0.985,gn,12.7765069399018,0.2524424322366742,-0.045273733772224545,-0.20029490548557127,False,frontera_baja
0.985,gn,13.712254922123275,0.2526424360064904,-0.04777548156246613,-0.22511237961817093,False,frontera_baja
0.985,gn,14.64800290434475,0.25338956409454655,-0.050277229352707724,-0.24938272943253065,False,frontera_baja
0.985,gn,15.583750886566225,0.25468381650084265,-0.05277897714294931,-0.2731059549286505,False,frontera_baja
0.985,gn,16.5194988687877,0.2565251932253787,-0.0552807249331909,-0.29628205610653036,False,frontera_baja
0.985,gn,17.45524685100917,0.25891369426815475,-0.05778247272343248,-0.3189110329661701,False,frontera_baja
0.985,gn,18.39099483323065,0.2618493196291707,-0.06028422051367408,-0.3409928855075701,False,frontera_baja
0.985,gn,19.32674281545212,0.26533206930842657,-0.06278596830391567,-0.36252761373073017,False,frontera_baja
0.985,gn,20.2624907976736,0.26936194330592245,-0.06528771609415726,-0.3835152176356502,False,frontera_baja
0.985,gn,21.19823877989507,0.27393894162165827,-0.06778946388439884,-0.4039556972223301,False,frontera_baja
0.985,gn,22.133986762116546,0.2790630642556341,-0.07029121167464043,-0.4238490524907702,False,frontera_baja
0.985,gn,23.06973474433802,0.28473431120784976,-0.07279295946488203,-0.4431952834409705,False,frontera_baja
0.985,gn,24.005482726559496,0.29095268247830547,-0.0752947072551236,-0.4619943900729306,False,frontera_baja
0.985,gn,24.94123070878097,0.29771817806700107,-0.0777964550453652,-0.4802463723866509,False,frontera_baja
0.985,gn,25.876978691002446,0.3050307979739366,-0.08029820283560679,-0.4979512303821313,False,frontera_baja
0.985,gn,26.81272667322392,0.3128905421991122,-0.08279995062584838,-0.5151089640593716,False,frontera_baja
0.985,gn,27.748474655445396,0.32129741074252766,-0.08530169841608998,-0.5317195734183722,False,frontera_baja
0.985,gn,28.68422263766687,0.33025140360418315,-0.08780344620633156,-0.5477830584591324,False,frontera_baja
0.985,gn,29.619970619888345,0.33975252078407847,-0.09030519399657315,-0.563299419181653,False,frontera_baja
