index,estado,parametrizacion,grupo,target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,theta_1sd_rel,ancho_ic_1sd_rel
1,FULL,P5_minima,Sn,sn_extraido_est_kg,tasa_gn_nm3_min,23.72950419147349,8.447973112397483,37.4205479548166,4.9297851865134525,116.9813582464349,41.64669270556106,184.47526297887114,True,1.0,True,0.03063097240444949,0.03739893313080135
2,FULL,P5_minima,Sn,sn_extraido_est_kg,exceso_o2_combustion_pct,0.6472633841105893,-1.1186938086079563,2.648955822034187,10.7412412849971,6.952412183675597,-12.016160122290424,28.45307363776704,False,-1.0,False,0.0018204536939458536,0.010596662588941295
0,CURADO,P1_primitivas,Sn,sn_extraido_est_kg,tasa_feed_Carbon_kg_min,5.714704184458501,-4.805396235607219,16.241624459821555,21.924857409430732,125.29407438132978,-105.35762726150348,356.09530037911003,False,1.0,True,0.03301744118261307,0.1216018791962032
1,CURADO,P1_primitivas,Sn,sn_extraido_est_kg,tasa_gn_nm3_min,19.710218162515048,3.82431408390412,34.121198618481785,4.963237693219852,97.82649772578121,18.980979811944476,169.35161912108993,True,1.0,True,0.02577919706666763,0.03962560690516944
2,CURADO,P1_primitivas,Sn,sn_extraido_est_kg,tasa_o2_nm3_min,0.7869229783972802,-8.53183208140838,12.433592582911727,8.572313288821508,6.745750304994006,-73.13753752945073,106.58465092628674,False,0.0,,0.0017776372508237523,0.047360314650538984
3,CURADO,P1_primitivas,Sn,sn_extraido_est_kg,tasa_aire_nm3_min,1.067263241588062,-2.6311512660499,4.828524630465492,10.417898562429539,11.118640190274162,-27.411066992115913,50.303079806382065,False,0.0,,0.002929979333226299,0.02047919890582404
0,CURADO,P2_cinetica_v4,Sn,sn_extraido_est_kg,Cx_sn_v4,1.508537688395493,-0.379113812278845,3.2939125206556144,275.46194398609697,415.5447242217155,-104.43142772231089,907.3475462599404,False,0.0,,0.10947922951373126,0.26656284162248034
1,CURADO,P2_cinetica_v4,Sn,sn_extraido_est_kg,tasa_gn_nm3_min,16.56818631487485,3.291333864433677,35.88206461168601,4.918833115008429,81.49614350123588,16.18952200492503,176.49788764683322,True,1.0,True,0.02147093797320199,0.04223477121013216
2,CURADO,P2_cinetica_v4,Sn,sn_extraido_est_kg,exceso_o2_combustion_pct,-0.3035158427778599,-2.345857171454616,2.152386777059107,11.221712066072946,-3.40596739514461,-26.324533726196016,24.153464666980042,False,-1.0,True,-0.0008973346656432801,0.01329891116252436
3,CURADO,P2_cinetica_v4,Sn,sn_extraido_est_kg,tasa_aire_nm3_min,-0.06437576856661664,-4.517000036552394,3.1348953323959177,9.770997368692342,-0.6290154652719584,-44.13559547153666,30.631054043966415,False,0.0,,-0.00016572013666921797,0.01969798845987301
0,CURADO,P3_dosis_sobrante,Sn,sn_extraido_est_kg,v5_dosis_C_sn,-40.90166948501298,-88.35663597684761,45.7895014717248,0.4586051218841482,-18.757715119439524,-40.520805811435515,20.999299903454734,False,0.0,,-0.0048996246749998884,0.01606941069580997
1,CURADO,P3_dosis_sobrante,Sn,sn_extraido_est_kg,tasa_gn_nm3_min,20.00510471342441,3.681122170171192,34.54425635694813,4.925819774396263,98.54154038625384,18.132544377797743,170.15878105486894,True,1.0,True,0.02573962552020109,0.03971014037303536
2,CURADO,P3_dosis_sobrante,Sn,sn_extraido_est_kg,exceso_o2_combustion_pct,0.02501569571627904,-2.474367736107638,2.0981849916961153,11.203640089015327,0.28026685138151286,-27.721925563221628,23.507309487136887,False,-1.0,False,7.320733745392429e-05,0.013381375212057579
3,CURADO,P3_dosis_sobrante,Sn,sn_extraido_est_kg,tasa_aire_nm3_min,2.237790612108121,-1.4155701585989198,5.667486942499658,9.926453139520863,22.213323647150972,-14.051590845036293,56.25804355356923,False,0.0,,0.0058022497922759495,0.01836528689107855
0,CURADO,P4_log_dosis,Sn,sn_extraido_est_kg,v5_ln_dosis_C,34.96147608678442,-57.57976125261745,112.94595601026502,0.7453890253929434,26.059900586626938,-42.919322122446886,84.1886760725657,False,0.0,,0.006806998140725392,0.03320135103772349
1,CURADO,P4_log_dosis,Sn,sn_extraido_est_kg,tasa_gn_nm3_min,18.85273863578606,2.5539706880196884,33.667430488520246,4.925819774396263,92.86519277367941,12.580399318275811,165.83969485346466,True,1.0,True,0.024256930391857685,0.040032222543944285
2,CURADO,P4_log_dosis,Sn,sn_extraido_est_kg,exceso_o2_combustion_pct,-0.10017324653916432,-2.613160573879007,2.06401504383758,11.203640089015327,-1.122305000772997,-29.27691056454514,23.12448168946944,False,-1.0,True,-0.00029315261691784615,0.01368754951534787
3,CURADO,P4_log_dosis,Sn,sn_extraido_est_kg,tasa_aire_nm3_min,1.872659039372497,-1.5350743328206338,5.408044826536826,9.926453139520863,18.588862200631244,-15.237843430425274,53.68270354704604,False,0.0,,0.004855519307039512,0.018002449148795764
0,CURADO,P5_minima,Sn,sn_extraido_est_kg,v5_dosis_C_sn,-40.89626473153592,-86.97845465504786,45.87591091294088,0.4586051218841482,-18.755236471812424,-39.88876479837308,21.03892771577558,False,0.0,,-0.004898977237772217,0.01591466890995456
1,CURADO,P5_minima,Sn,sn_extraido_est_kg,tasa_gn_nm3_min,25.626085474916806,10.465496008895752,40.13569597294145,4.925819774396263,126.22947857271406,51.55114718948386,197.70120488267145,True,1.0,True,0.032971876584599685,0.038175248124122034
2,CURADO,P5_minima,Sn,sn_extraido_est_kg,exceso_o2_combustion_pct,0.7276152195490511,-1.7408304364733755,2.6272990841595676,11.203640089015327,8.151939043117437,-19.50363766625116,29.435313345123383,False,-1.0,False,0.0021293340596350106,0.012783139653050989
0,FULL,P1_primitivas,FeO,v5_ln_feo_ret,tasa_feed_Carbon_kg_min,0.0005290489667737911,-0.0007305827111227851,0.0021536721900396213,22.108469641130863,0.011696463020590011,-0.016152065689193175,0.04761439623043879,False,-1.0,False,0.10729553105535729,0.5849508849935219
1,FULL,P1_primitivas,FeO,v5_ln_feo_ret,tasa_gn_nm3_min,-0.004878503484107623,-0.008372531949902413,-0.0019171099771385601,5.000761531384941,-0.024396232554052807,-0.041869035695363335,-0.009587009825108775,True,-1.0,True,-0.22379472521130153,0.29613372035583313
2,FULL,P1_primitivas,FeO,v5_ln_feo_ret,tasa_o2_nm3_min,0.0005491228910089873,-0.001222619645910008,0.002264752309711808,8.67694413104485,0.004764708646362813,-0.010608602361078977,0.019651129262024142,False,1.0,True,0.04370825125814507,0.2775825451145368
