tipo_tramo,tramo,target,index,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,theta_1sd_rel,ancho_ic_1sd_rel,r2_oof,n_dev,n_lockbox
orden_escalon_fase,1,v5_ln_feo_ret,3,exceso_o2_combustion_pct,-0.0013852454239827508,-0.002671116635033485,-4.372708951092237e-05,9.924818263136494,-0.013748309082870261,-0.026510347162348027,-0.0004339834165718066,True,1,False,-0.13119572333736193,0.24883841227411807,0.1577393145605125,283,63
orden_escalon_fase,1,v5_ln_feo_ret,4,tasa_aire_nm3_min,0.0010654101427443198,0.00010473355961101751,0.0019894299839169406,10.607001617570395,0.011300807107464905,0.001110909036207968,0.021101887057450034,True,1,True,0.10783999354561573,0.19076751954798246,0.1577393145605125,283,63
orden_escalon_fase,2,v5_ln_feo_ret,0,v5_exceso_C_pos,-1.4200155068630023e-05,-0.00025885941632048103,0.0002893232277106382,75.11645240388087,-0.0010666652723404749,-0.019444601025333796,0.02173293446366334,False,-1,True,-0.01214459056908163,0.4688296526804652,-0.1579057669399857,277,63
orden_escalon_fase,2,v5_ln_feo_ret,1,v5_C_x_avance,-1.1810449787685385e-06,-0.00019216431582002764,0.00018838448572843682,104.5597786342953,-0.00012348980153718437,-0.0200926583235529,0.019697440125900915,False,-1,True,-0.001406001599579163,0.4530328931697141,-0.1579057669399857,277,63
orden_escalon_fase,2,v5_ln_feo_ret,2,tasa_gn_nm3_min,0.0022392058100382936,-0.0029223851000316913,0.006027944374961787,2.667511848499739,0.005973108029506604,-0.007795496880213632,0.01607961304230792,False,-1,False,0.06800723087579522,0.27183170045897076,-0.1579057669399857,277,63
orden_escalon_fase,2,v5_ln_feo_ret,3,exceso_o2_combustion_pct,8.524235726371172e-05,-0.0014507806222136118,0.0011275922868051434,9.500870484511788,0.0008098765961570077,-0.013783678793090951,0.010713108276270138,False,1,True,0.009220905495710974,0.27890984822500314,-0.1579057669399857,277,63
orden_escalon_fase,2,v5_ln_feo_ret,4,tasa_aire_nm3_min,-0.0006043040345649238,-0.0016097761116832616,0.0005032984922871741,11.4283508347233,-0.006906198517846705,-0.018397086169673033,0.005751871744445105,False,1,False,-0.0786309965862231,0.2749496155372487,-0.1579057669399857,277,63
orden_escalon_fase,3,v5_ln_feo_ret,0,v5_exceso_C_pos,-3.702180689204019e-05,-0.00037637572873421704,0.00031953080353297036,169.49038831655437,-0.006274840426312381,-0.06379206841608857,0.05415739996990379,False,-1,True,-0.05443436476019733,1.0232139702662837,-0.14629367590616793,195,53
orden_escalon_fase,3,v5_ln_feo_ret,1,v5_C_x_avance,2.3154469604469544e-05,-0.0002971783505644421,0.00023374867487525836,194.53051450319686,0.004504250885206093,-0.057810257434512326,0.04547124998792449,False,-1,False,0.039074465484191113,0.8959691189023505,-0.14629367590616793,195,53
orden_escalon_fase,3,v5_ln_feo_ret,2,tasa_gn_nm3_min,-0.0080913669078269,-0.022635677008456506,0.003318767904495632,2.554385585192219,-0.02066847099385437,-0.05782024706146823,0.008477412895842229,False,-1,True,-0.17929939451483629,0.5751335109225463,-0.14629367590616793,195,53
orden_escalon_fase,3,v5_ln_feo_ret,3,exceso_o2_combustion_pct,-0.00025732840675512353,-0.0013924721749920136,0.0006960988002576239,17.073388639377562,-0.004393467896482054,-0.02377421861315801,0.011884765348202866,False,1,False,-0.03811342086668311,0.309342390890326,-0.14629367590616793,195,53
orden_escalon_fase,3,v5_ln_feo_ret,4,tasa_aire_nm3_min,0.0011185288760041689,-0.000585811298547127,0.004250178989184973,7.457900161181772,0.008341876684637957,-0.0043689221778567214,0.03169741056849399,False,1,True,0.07236594516922659,0.31287614965393984,-0.14629367590616793,195,53
