kpi,variable,grid_value,pd_value
f_metal,exceso_o2_F,17.85809670325085,0.004205917846803164
f_metal,exceso_o2_F,18.042417030822055,0.004205917846803164
f_metal,exceso_o2_F,18.22673735839326,0.0022076094836271953
f_metal,exceso_o2_F,18.411057685964465,0.0022076094836271953
f_metal,exceso_o2_F,18.59537801353567,0.0022076094836271953
f_metal,exceso_o2_F,18.779698341106876,0.0022076094836271953
f_metal,exceso_o2_F,18.96401866867808,0.0022076094836271953
f_metal,exceso_o2_F,19.148338996249283,0.0006181730841912075
f_metal,exceso_o2_F,19.332659323820486,-0.0020962305320273195
f_metal,exceso_o2_F,19.516979651391694,-0.00299166488860191
f_metal,exceso_o2_F,19.701299978962897,-0.00299166488860191
f_metal,exceso_o2_F,19.8856203065341,-0.008527991918148759
f_metal,exceso_o2_F,20.069940634105308,-0.008527991918148759
f_metal,exceso_o2_F,20.25426096167651,-0.008527991918148759
f_metal,exceso_o2_F,20.438581289247715,-0.008527991918148759
f_metal,exceso_o2_F,20.622901616818922,-0.008527991918148759
f_metal,exceso_o2_F,20.807221944390125,-0.008527991918148759
f_metal,exceso_o2_F,20.99154227196133,-0.008527991918148759
f_metal,exceso_o2_F,21.175862599532536,-0.008527991918148759
f_metal,exceso_o2_F,21.36018292710374,-0.008527991918148759
f_metal,lanza_media_F,1641.3771465061434,-0.008215141971900921
f_metal,lanza_media_F,1680.9240358811228,-0.008215141971900921
f_metal,lanza_media_F,1720.470925256102,-0.008215141971900921
f_metal,lanza_media_F,1760.0178146310814,-0.008215141971900921
f_metal,lanza_media_F,1799.5647040060605,-0.008215141971900921
f_metal,lanza_media_F,1839.11159338104,-0.0017237433923448459
f_metal,lanza_media_F,1878.658482756019,-0.0017237433923448459
f_metal,lanza_media_F,1918.2053721309985,-0.0017237433923448459
f_metal,lanza_media_F,1957.7522615059777,-0.0017237433923448459
f_metal,lanza_media_F,1997.299150880957,-0.0022049942933686614
f_metal,lanza_media_F,2036.8460402559363,-0.0022049942933686614
f_metal,lanza_media_F,2076.3929296309157,-0.0022049942933686614
f_metal,lanza_media_F,2115.939819005895,-0.0022049942933686614
f_metal,lanza_media_F,2155.486708380874,0.0002179396052707502
f_metal,lanza_media_F,2195.0335977558534,0.0070046691051027475
f_metal,lanza_media_F,2234.580487130833,0.005104838295042026
f_metal,lanza_media_F,2274.127376505812,0.005104838295042026
f_metal,lanza_media_F,2313.6742658807916,0.005104838295042026
f_metal,lanza_media_F,2353.2211552557706,0.01744521070572949
f_metal,lanza_media_F,2392.76804463075,0.01744521070572949
f_metal,perfil_carbon_R,0.4860355580171924,0.005990271366895672
f_metal,perfil_carbon_R,0.4972184779518006,0.005990271366895672
f_metal,perfil_carbon_R,0.5084013978864088,0.005990271366895672
