fase,Batch,orden_escalon_fase,avance_reduccion_sn_prev,palanca,valor_historico,J_historico,x_optimo,J_optimo,rango_J,tipo_forma,delta_relativo_optimo_vs_hist,lo_grid,hi_grid
Reducción,AP0015,0,0.9999697429654405,tasa_feed_Carbon_kg_min,54.573252819430444,-1394.1649186951029,66.2093830330141,-1370.4121340360016,775.795198453874,frontera_alta,0.18495083111623475,3.294660545117927,66.2093830330141
Reducción,AP0015,0,0.9999697429654405,tasa_gn_nm3_min,23.78590676413642,-1386.9214659855863,23.83438537368988,-1386.9214659855863,532.1023917155383,óptimo_interior,0.0025216677309561333,10.37701100559476,29.601831531444933
Reducción,AP0015,0,0.9999697429654405,tasa_o2_nm3_min,21.407603556315106,-1395.7349137286203,19.860616523207376,-1347.321051596777,536.2948110985851,óptimo_interior,-0.05484351554079274,2.936241586406579,31.14353314774124
Reducción,AP0015,0,0.9999697429654405,tasa_aire_nm3_min,119.45084427445023,-1390.9158349615882,112.9446987616339,-1355.1255362381548,364.6566392524578,óptimo_interior,-0.11658972661876257,73.88206441938546,129.68582776545466
Reducción,AP0015,0,0.9999697429654405,duracion_plan_min,30.0,-1388.361538347146,30.0,-1388.361538347146,373.44309932045644,frontera_alta,0.0,13.0,30.0
Reducción,AP0127,2,0.9851318829204149,tasa_feed_Carbon_kg_min,5.848731389121404,-1449.8780327806203,12.731868918302354,-1404.835675815337,645.1603958638095,óptimo_interior,0.1094042420755358,3.294660545117927,66.2093830330141
Reducción,AP0127,2,0.9851318829204149,tasa_gn_nm3_min,22.24331854926215,-1529.1870475988546,22.87314434739737,-1485.1439657484489,888.1079136376757,óptimo_interior,0.03276107557354529,10.37701100559476,29.601831531444933
Reducción,AP0127,2,0.9851318829204149,tasa_o2_nm3_min,17.54136820051405,-1455.4657918845728,17.03988736707391,-1455.4657918845728,762.9952386132277,óptimo_interior,-0.01777841138521605,2.936241586406579,31.14353314774124
Reducción,AP0127,2,0.9851318829204149,tasa_aire_nm3_min,122.42519361707897,-1451.6480349631759,115.73488692893736,-1404.9172023561773,705.4057750830261,óptimo_interior,-0.1198898835308189,73.88206441938546,129.68582776545466
Reducción,AP0127,2,0.9851318829204149,duracion_plan_min,20.0,-1459.2260053931136,19.8,-1459.2260053931136,580.7500114617656,óptimo_interior,-0.0117647058823529,13.0,30.0
Reducción,AP0040,1,0.8272134193557097,tasa_feed_Carbon_kg_min,38.05272733248198,3638.7687978010617,66.2093830330141,4012.754992586627,718.7512993348278,frontera_alta,0.4475368337824113,3.294660545117927,66.2093830330141
Reducción,AP0040,1,0.8272134193557097,tasa_gn_nm3_min,25.326395412868923,3727.3484071516814,23.83438537368988,3831.700591503135,495.169034251378,óptimo_interior,-0.0776085288896637,10.37701100559476,29.601831531444933
Reducción,AP0040,1,0.8272134193557097,tasa_o2_nm3_min,22.290103190104166,3775.0716723751034,22.681345679340843,3775.0716723751034,530.3242687765096,óptimo_interior,0.013870260758142985,2.936241586406579,31.14353314774124
Reducción,AP0040,1,0.8272134193557097,tasa_aire_nm3_min,119.34462038845486,3726.364560436597,124.10545143084774,3760.1546204417627,388.0131343171561,frontera_alta,0.08531379887174279,73.88206441938546,129.68582776545466
Reducción,AP0040,1,0.8272134193557097,duracion_plan_min,25.0,3636.419942478691,28.299999999999997,3654.0944552229284,359.4334880048932,frontera_alta,0.19411764705882337,13.0,30.0
Reducción,AP0124,2,0.9820781664797407,tasa_feed_Carbon_kg_min,6.699914914085751,-1113.972027954941,9.586132793907545,-1093.9417210145618,1050.6889401061082,frontera_baja,0.045875079245196675,3.294660545117927,66.2093830330141
Reducción,AP0124,2,0.9820781664797407,tasa_gn_nm3_min,17.952259691026477,-1119.9470050074258,18.06693921593483,-1119.9470050074258,1267.2301263630254,óptimo_interior,0.005965180520367039,10.37701100559476,29.601831531444933
Reducción,AP0124,2,0.9820781664797407,tasa_o2_nm3_min,8.443086056179471,-1094.6304799669394,8.577699898673512,-1094.6304799669394,1161.4678521881754,óptimo_interior,0.004772306557732876,2.936241586406579,31.14353314774124
Reducción,AP0124,2,0.9820781664797407,tasa_aire_nm3_min,119.7414057752821,-1123.6063074248368,118.52507509624081,-1123.6063074248368,1046.9274582649468,óptimo_interior,-0.02179657080649149,73.88206441938546,129.68582776545466
Reducción,AP0124,2,0.9820781664797407,duracion_plan_min,20.0,-1113.614676717651,19.8,-1113.614676717651,960.580946963491,óptimo_interior,-0.0117647058823529,13.0,30.0
Reducción,AP0220,0,0.7983211305945779,tasa_feed_Carbon_kg_min,45.09456602157018,3748.327276827386,66.2093830330141,4411.382366069268,670.657211158762,frontera_alta,0.33561011121850043,3.294660545117927,66.2093830330141
Reducción,AP0220,0,0.7983211305945779,tasa_gn_nm3_min,29.31486906828703,3890.469415451593,23.83438537368988,4518.935342723957,628.4659272723638,óptimo_interior,-0.2850733346107422,10.37701100559476,29.601831531444933
Reducción,AP0220,0,0.7983211305945779,tasa_o2_nm3_min,30.357631440339265,3845.9489479331723,28.322803991607778,3884.921171604557,178.68851509167007,frontera_alta,-0.07213834920332234,2.936241586406579,31.14353314774124
Reducción,AP0220,0,0.7983211305945779,tasa_aire_nm3_min,120.41051649305557,3900.11602151281,118.52507509624081,3989.833702707596,283.47364108451484,óptimo_interior,-0.03378699363199068,73.88206441938546,129.68582776545466
Reducción,AP0220,0,0.7983211305945779,duracion_plan_min,30.0,3745.2796355267196,22.35,3751.228081663424,5.948446136704206,plana,-0.4499999999999999,13.0,30.0
Reducción,AP0207,1,0.9570688764067543,tasa_feed_Carbon_kg_min,26.886716950245397,-609.3065067967989,28.4605495402764,-596.2376279573372,620.7548552617158,óptimo_interior,0.025015330717445095,3.294660545117927,66.2093830330141
Reducción,AP0207,1,0.9570688764067543,tasa_gn_nm3_min,26.14110294596354,-519.0553275019013,25.756867426274898,-519.0553275019013,1056.6799275860883,óptimo_interior,-0.019986429479119883,10.37701100559476,29.601831531444933
