kpi,modelo,muestra,variable,coef_por_sd,ci_lo,ci_hi,p,r2_adj,n,significativa,consistente
f_metal,M4_Mecanismo,total,selectividad_R,0.001208185635426307,-0.006358686418145713,0.008775057688998326,0.7543238984712798,0.07728718114950861,337,False,True
f_metal,M4_Mecanismo,total,feed_sn_total_t,0.002342084465195862,-0.004469464604764212,0.009153633535155935,0.5003657182741018,0.07728718114950861,337,False,True
f_metal,M4_Mecanismo,total,ley_sn_conc_batch_pct,-0.0030680385980843485,-0.009061185251698729,0.0029251080555300316,0.31569029240979396,0.07728718114950861,337,False,False
f_metal,M4_Mecanismo,total,espesor_ladrillo_norm_mm,-0.004072189466571108,-0.00988210128035723,0.0017377223472150143,0.16952046636612284,0.07728718114950861,337,False,False
f_metal,M4_Mecanismo,total,frac_carga_secundaria_F,0.00150968165072533,-0.008813703095660366,0.011833066397111026,0.7744008415313349,0.07728718114950861,337,False,False
f_metal,M4_Mecanismo,total,feed_dross_Fe_total_t,-0.009552859791507443,-0.020882818101718957,0.0017770985187040705,0.09842358610488876,0.07728718114950861,337,False,False
f_metal,M4_Mecanismo,lockbox,F_avance_final,-0.008809183896129396,-0.027675821163257237,0.010057453370998443,0.3601162257667957,0.06523890721454118,61,False,True
f_metal,M4_Mecanismo,lockbox,FeO_reducido_R_t,0.008591395957476895,-0.017498093396667202,0.03468088531162099,0.518651360075468,0.06523890721454118,61,False,False
f_metal,M4_Mecanismo,lockbox,selectividad_R,0.0005198403236809724,-0.02184484558311141,0.022884526230473354,0.9636633313199947,0.06523890721454118,61,False,True
f_metal,M4_Mecanismo,lockbox,feed_sn_total_t,0.01018092369722772,-0.04589696202423168,0.06625880941868711,0.7219672170639629,0.06523890721454118,61,False,True
f_metal,M4_Mecanismo,lockbox,ley_sn_conc_batch_pct,0.00997776034657396,-0.033144306431514815,0.053099827124662734,0.6501855105371219,0.06523890721454118,61,False,False
f_metal,M4_Mecanismo,lockbox,espesor_ladrillo_norm_mm,0.12421042046683545,-0.053484508448311735,0.30190534938198266,0.17067654076274474,0.06523890721454118,61,False,False
f_metal,M4_Mecanismo,lockbox,frac_carga_secundaria_F,-0.08033643588355553,-0.1828014979488769,0.022128626181765823,0.12437047309214422,0.06523890721454118,61,False,False
f_metal,M4_Mecanismo,lockbox,feed_dross_Fe_total_t,0.012753187097357491,-0.0948153497387564,0.12032172393347139,0.8162500233105731,0.06523890721454118,61,False,False
rendimiento_proxy_batch,M1_Fusion,dev,C_por_Sn_F,0.37191225355771973,-0.4544539002149126,1.198278407330352,0.37772467030311274,0.01887244571762825,298,False,False
rendimiento_proxy_batch,M1_Fusion,dev,cal_por_carga_F,-0.7300308664065658,-1.5906872068027642,0.13062547398963253,0.09641418351216893,0.01887244571762825,298,False,False
rendimiento_proxy_batch,M1_Fusion,dev,gn_por_t_carga_F,-0.06701226599146026,-0.9924956086760367,0.8584710766931162,0.8871457297662957,0.01887244571762825,298,False,True
rendimiento_proxy_batch,M1_Fusion,dev,exceso_o2_F,-0.20741925856707744,-0.8846073484896484,0.4697688313554935,0.5482883456702408,0.01887244571762825,298,False,True
rendimiento_proxy_batch,M1_Fusion,dev,enriq_o2_F,-0.4840877977334801,-2.2913441188942425,1.3231685234272823,0.5995889298555277,0.01887244571762825,298,False,False
