estado,avance_objetivo,n_rep,ventana,variable_barrida,valor,sn_kg_pred,feo_kg_pred,J
R1,0.93,120,0.03,exceso_o2_combustion_pct,-5.138014814438893,1679.2764242080127,602.6173363955196,1498.4912232893569
R1,0.93,120,0.03,exceso_o2_combustion_pct,-0.6120951287096492,1676.445295620665,570.1960805653646,1505.3864714510557
R1,0.93,120,0.03,exceso_o2_combustion_pct,3.913824557019595,1673.6141670333177,537.7748247352096,1512.2817196127548
R1,0.93,120,0.03,exceso_o2_combustion_pct,8.439744242748837,1670.7830384459703,505.35356890505454,1519.176967774454
R1,0.93,120,0.03,exceso_o2_combustion_pct,12.965663928478083,1667.9519098586227,472.9323130748995,1526.0722159361528
R1,0.93,120,0.03,exceso_o2_combustion_pct,17.49158361420733,1665.1207812712753,440.51105724474445,1532.967464097852
R1,0.93,120,0.03,exceso_o2_combustion_pct,22.01750329993657,1662.289652683928,408.0898014145895,1539.862712259551
R1,0.93,120,0.03,exceso_o2_combustion_pct,26.543422985665813,1659.4585240965803,375.66854558443447,1546.75796042125
R1,0.93,120,0.03,exceso_o2_combustion_pct,31.069342671395056,1656.6273955092329,343.24728975427945,1553.653208582949
R1,0.93,120,0.03,exceso_o2_combustion_pct,35.595262357124305,1653.7962669218855,310.8260339241244,1560.548456744648
R1,0.93,120,0.03,exceso_o2_combustion_pct,40.12118204285355,1650.9651383345379,278.40477809396936,1567.443704906347
R1,0.93,120,0.03,exceso_o2_combustion_pct,44.64710172858279,1648.1340097471905,245.98352226381434,1574.338953068046
R1,0.93,120,0.03,exceso_o2_combustion_pct,49.17302141431203,1645.302881159843,213.56226643365932,1581.2342012297454
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,0.0,257.52411109472337,556.6506213201009,90.52892469869312
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,5.0,265.0523741087699,549.5329629946881,100.19248521036351
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,10.0,272.5806371228165,542.4153046692755,109.85604572203383
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,15.0,280.10890013686304,535.2976463438628,119.51960623370422
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,20.0,287.6371631509096,528.17998801845,129.18316674537462
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,25.0,295.1654261649561,521.0623296930373,138.8467272570449
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,30.0,302.69368917900266,513.9446713676247,148.51028776871527
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,35.0,310.2219521930492,506.82701304221206,158.1738482803856
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,40.0,317.7502152070958,499.7093547167995,167.83740879205592
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,45.0,325.2784782211423,492.59169639138673,177.50096930372627
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,50.0,332.80674123518884,485.47403806597407,187.16452981539663
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,55.0,340.3350042492354,478.3563797405614,196.82809032706697
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,60.0,347.8632672632819,471.2387214151487,206.49165083873729
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,65.0,355.39153027732846,464.1210630897359,216.15521135040768
R3,0.98,831,0.03,tasa_feed_Carbon_kg_min,70.0,362.919793291375,457.00340476432336,225.81877186207802
R3,0.98,831,0.03,tasa_gn_nm3_min,10.380907532254955,133.4883425114966,607.6770868383406,-48.81478354000558
R3,0.98,831,0.03,tasa_gn_nm3_min,11.753752936103767,156.10151779655274,596.9411189789932,-22.980817897145215
R3,0.98,831,0.03,tasa_gn_nm3_min,13.12659833995258,178.71469308160889,586.2051511196458,2.853147745715148
R3,0.98,831,0.03,tasa_gn_nm3_min,14.499443743801393,201.32786836666506,575.4691832602985,28.68711338857554
R3,0.98,831,0.03,tasa_gn_nm3_min,15.872289147650205,223.94104365172123,564.733215400951,54.52107903143593
R3,0.98,831,0.03,tasa_gn_nm3_min,17.245134551499017,246.55421893677737,553.9972475416037,80.3550446742963
R3,0.98,831,0.03,tasa_gn_nm3_min,18.61797995534783,269.16739422183355,543.2612796822563,106.18901031715669
R3,0.98,831,0.03,tasa_gn_nm3_min,19.99082535919664,291.7805695068897,532.5253118229089,132.02297596001708
R3,0.98,831,0.03,tasa_gn_nm3_min,21.363670763045455,314.3937447919459,521.7893439635614,157.8569416028775
R3,0.98,831,0.03,tasa_gn_nm3_min,22.73651616689427,337.00692007700206,511.053376104214,183.69090724573786
R3,0.98,831,0.03,tasa_gn_nm3_min,24.10936157074308,359.6200953620582,500.31740824486667,209.5248728885982
R3,0.98,831,0.03,tasa_gn_nm3_min,25.482206974591893,382.23327064711435,489.5814403855193,235.3588385314586
R3,0.98,831,0.03,tasa_gn_nm3_min,26.855052378440707,404.8464459321705,478.8454725261719,261.192804174319
R3,0.98,831,0.03,tasa_gn_nm3_min,28.227897782289517,427.45962121722664,468.1095046668245,287.02676981717934
R3,0.98,831,0.03,tasa_gn_nm3_min,29.60074318613833,450.0727965022828,457.3735368074771,312.8607354600397
R3,0.98,831,0.03,exceso_o2_combustion_pct,-14.189854185897381,279.8089192010525,604.7921283155423,98.37128070638983
R3,0.98,831,0.03,exceso_o2_combustion_pct,-9.663934500168137,276.97779061370505,572.3708724853873,105.26652886808887
R3,0.98,831,0.03,exceso_o2_combustion_pct,-5.138014814438893,274.14666202635755,539.9496166552321,112.16177702978791
R3,0.98,831,0.03,exceso_o2_combustion_pct,-0.6120951287096492,271.3155334390101,507.5283608250772,119.05702519148696
R3,0.98,831,0.03,exceso_o2_combustion_pct,3.913824557019595,268.48440485166265,475.1071049949222,125.95227335318597
R3,0.98,831,0.03,exceso_o2_combustion_pct,8.439744242748837,265.6532762643152,442.6858491647672,132.84752151488505
R3,0.98,831,0.03,exceso_o2_combustion_pct,12.965663928478083,262.8221476769677,410.26459333461213,139.74276967658406
R3,0.98,831,0.03,exceso_o2_combustion_pct,17.49158361420733,259.99101908962024,377.8433375044571,146.6380178382831
R3,0.98,831,0.03,exceso_o2_combustion_pct,22.01750329993657,257.1598905022728,345.4220816743021,153.53326599998218
R3,0.98,831,0.03,exceso_o2_combustion_pct,26.543422985665813,254.32876191492534,313.0008258441471,160.42851416168122
R3,0.98,831,0.03,exceso_o2_combustion_pct,31.069342671395056,251.49763332757786,280.57957001399205,167.32376232338027
R3,0.98,831,0.03,exceso_o2_combustion_pct,35.595262357124305,248.6665047402304,248.15831418383706,174.2190104850793
R3,0.98,831,0.03,exceso_o2_combustion_pct,40.12118204285355,245.83537615288293,215.73705835368204,181.11425864677832
R3,0.98,831,0.03,exceso_o2_combustion_pct,44.64710172858279,243.00424756553548,183.31580252352703,188.00950680847737
R3,0.98,831,0.03,exceso_o2_combustion_pct,49.17302141431203,240.17311897818803,150.894546693372,194.90475497017644
