Batch,rendimiento_proxy_batch,fusion_carbon_total_kg,fusion_carbon_rate_mean,fusion_carbon_rate_cv,fusion_b2_mean,fusion_frac_b2_optimo,fusion_o2_exceso_mean,fusion_o2_exceso_std,fusion_duracion_total_min,fusion_ley_sn_pico,fusion_ley_sn_final,fusion_temp_mean,fusion_temp_trend,fusion_cao_total_kg,fusion_interaccion_C_x_Sn_prev_mean,delta_FR_ley_sn_escoria_pct,delta_FR_ley_feo_escoria_pct,delta_FR_temperatura_horno_celsius,delta_FR_presion_punta_lanza_kpa,delta_FR_exceso_o2_combustion_pct,reduccion_carbon_total_kg,reduccion_carbon_rate_first,reduccion_carbon_decay_ratio,reduccion_gn_total_nm3,reduccion_o2_total_nm3,reduccion_aire_total_nm3,reduccion_o2_exceso_mean,reduccion_lanza_pos_mean,reduccion_lanza_pos_std,reduccion_frac_en_valle_lanza,reduccion_selectividad_media,reduccion_duracion_total_min,reduccion_ley_sn_inicio,reduccion_ley_sn_final,reduccion_ley_feo_final,reduccion_feo_caida_total,reduccion_sn_caida_total,n_escalones_reduccion,suma_pred_delta_sn_reduccion_modelo,recuperacion_real_batch_pct
AP0226,67.43359127513693,13249.14341253077,41.51242946457284,0.41274958694907343,0.5446141670703861,0.0,20.21459710106015,2.5603281391438912,297.0,22.9101,21.5629,966.4449618460213,-7.309194260330859,21661.59652418395,994.3430864346537,-16.2958,2.1588578458232632,0.09405904118250419,10.660888107404801,-22.310829563369854,2803.6120577322195,42.21551368902802,0.23594356417585563,2538.7707094664725,2683.0436698772337,10757.732371151447,-2.7634257510587696,3709.844392202092,1217.9249221699963,0.25,-0.6077205384576553,97.0,21.5629,1.2075,17.019096792908943,-0.355585667472468,-20.3554,4,-16.705931707558037,69.69647253669542
AP0227,72.65281995285044,13618.415058601533,41.074643962623654,0.3628941738679754,0.548730653106458,0.0,19.006268648528046,0.3889602510555052,314.0,22.6916,5.2206,973.1868078076101,8.562939341411392,21745.56449506039,935.2694508989822,-2.7245,0.7827001450443163,-24.042338589607425,13.489206444589698,-17.693288068377303,2882.464897794414,59.79197262999831,0.11590261238099604,2044.3437153165303,1845.896162838406,10087.278049045139,-4.034170562837433,2760.7968672423804,343.44611260043985,0.0,-0.8257650013839947,84.0,5.2206,,,-2.926892011818426,-4.7556,4,-3.5804224370419977,74.1102151770228
AP0228,67.57184117073118,13142.381730201265,40.946405497896485,0.40160144272257653,0.574200338116918,0.0,18.83823322752648,0.24926083744405136,300.0,22.5984,15.1296,976.4187858148522,-3.5618113762067867,21009.7565469776,887.3739559260586,-12.745899999999999,0.7718936341659948,9.752516070523598,-6.674894780961296,-24.059521789975214,2830.824024711941,56.095017440326615,0.1586776336624617,2047.4635328504773,1757.3001398028534,10140.952817111545,-5.1473295463048405,3175.1786614027124,634.7843242670361,0.25,-4.704566091613944,84.0,15.1296,,,-0.9918833199033052,-14.010499999999999,4,-12.153383094234764,79.03521847344474
AP0229,74.73219532607355,13333.206991645158,41.41609932064153,0.4383398228880771,0.5538032469618873,0.0,19.02138156444914,0.2416002329745619,298.0,22.439,21.1918,941.8353366833037,2.12824260954448,21168.179939723694,980.5193170202097,-13.2762,1.6578988772495258,9.040715320236814,5.090132257847195,-23.912862732184095,3038.3104220954733,65.75578862672211,0.08002070131979992,2256.9445632934567,2102.233052910699,10904.20002983941,-1.646227782101302,3493.4603286016554,624.6348302095821,0.25,3.881467800570106,90.0,21.1918,1.3545,18.885406951383292,-0.18988583400483705,-19.8373,4,-22.376418037335576,74.34884828802981
AP0230,63.99737737146059,13404.007886936644,40.03858375515568,0.4153948629876869,0.5455851135469276,0.0,20.381104645718313,2.370340184005336,314.0,24.9078,15.193,956.3712217136698,8.598071067553319,21604.154815401285,944.9875698850091,-11.9415,1.2114870588235291,-1.5274170301922823,24.171501032511394,-23.83414515256015,2846.7537494300313,59.125505476100464,0.10845942990583846,2218.208854336209,2093.120316060384,10214.474799262152,-4.653147299242914,3044.765336237034,806.8676851683912,0.25,-2.3863797221848184,85.0,15.193,,,-0.5061049261348387,-14.2826,4,-12.870450159415602,65.51995724630201
AP0231,66.26445030543391,13232.197505143013,39.61756475380815,0.40597246402579945,0.5606631016635075,0.0,18.878601852791697,0.24650902148675294,313.0,22.4219,14.0498,987.454818394563,-0.3468310567489477,21398.150487193314,835.8615394648106,-11.1797,0.4947838195004053,4.591076884384847,17.876250654159602,-24.20602908355602,3020.150844125702,52.47852460410726,0.2113792553756127,2402.0958085801867,2129.7246731228297,11776.021885850692,-3.9282643638195642,2788.25286463882,542.6493170630172,0.25,-4.7611813886235765,98.0,14.0498,1.108,18.77464021488047,-0.03576440504969014,-12.941799999999999,4,-13.166725805613398,78.64519956794979
AP0232,74.07367684909066,14089.624544894892,40.53875585272514,0.42922524962131436,0.5563463277107586,0.0,18.654389368726942,0.7548728726095179,327.0,24.7187,13.7126,975.2421728985275,2.3323992299613527,22347.37419580312,1015.8370071725503,-11.0828,1.4483297555734609,8.294610760733121,-13.220197942852998,8.12044677095244,2580.858227015194,49.394533367526115,0.29218352451593976,1404.984072547115,1550.7240112342297,8185.171210477003,19.9191023329109,3762.6627818359725,1504.6079466213519,0.0,-2.1969247899877624,81.0,13.7126,1.5885,19.80653335482138,0.6961194090787011,-12.1241,4,-10.313859320285916,70.6296860163142
AP0233,66.72365286029398,13530.413702614967,42.21975312461974,0.2901758601743971,0.6330913798395279,0.0,22.101035811251325,6.055275846129452,306.0,22.2204,13.3865,946.2341177276621,3.7408840783301716,22284.7969430178,836.267037348473,-9.9496,0.009391372549018229,-16.47894111166147,-17.840361806620706,-38.11656080054044,2860.6486162911087,63.77900764711442,0.1261731217673744,2136.9985941569007,1902.293229004274,10362.465957302518,-5.1881757466104235,3077.219111970183,809.77782340877,0.0,-263.2441004356005,85.0,13.3865,0.9954,16.503343196347032,-1.9350086919151224,-12.3911,4,-11.12099437019527,70.71230248017659
AP0234,71.41973643193772,13524.985684153491,43.205522816939826,0.3035933423661915,0.6199594882572763,0.0,19.137252559450296,0.7995826535844271,301.0,22.3143,18.8527,950.3460910989,-0.8224175506489979,21653.992147597754,1022.3399671798152,-13.470399999999998,2.2260125919957012,-11.465927364525442,25.364817809065194,-25.94182503339745,2784.7712166078254,58.62495405955981,0.10787778016191854,2029.9720153808594,1659.6653851765418,10353.238092719184,-5.794182133525967,2998.829901913726,908.9019097567568,0.0,-3.5163959064005788,86.0,18.8527,0.9826,19.338765812516787,1.1525658447488567,-17.870099999999997,4,-18.450392617577315,82.72616987590247
AP0235,63.84925183569626,13772.934206471507,43.5481526213508,0.2732602239435301,0.5899993411557399,0.0,19.035562828631925,0.3531304601743616,302.0,20.6295,13.8819,942.0000737060618,0.5846939593193845,21417.32690507504,886.5387818076048,-7.4214,0.9091620521085133,-0.35234987155786257,0.6236502916384978,-23.6145815854486,2945.541700063487,60.10307433425739,0.09873737790295244,2031.5392622814145,2060.901924999767,10958.080058566753,11.008397926817496,3684.4154613544415,1086.2929715442467,0.25,-0.6382562920532235,97.0,13.8819,1.5537,17.63892738114424,-1.1680037174321782,-12.3282,4,-14.538546169014275,64.14570493189623
