kpi,variable,importancia_perm_lockbox,importancia_perm_std,r2_oof_dev,r2_lockbox,n_dev,n_lockbox
f_polvo,feed_sn_total_t,0.002577044889861524,0.003672620691107974,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,ley_sn_conc_batch_pct,0.039704458554276026,0.04163520243569084,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,espesor_ladrillo_norm_mm,0.0,0.0,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,frac_carga_secundaria_F,0.001678136659725249,0.0009752279951546416,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,feed_dross_Fe_total_t,0.0014692738746307833,0.0026959397010876494,-0.08149292794255247,-0.23755958892029838,297,63
f_metal,C_por_Sn_F,0.015316482582114687,0.04464940944412517,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,cal_por_carga_F,0.004360606679073298,0.026018122040226275,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,gn_por_t_carga_F,-0.01963837495748333,0.01300442032823543,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,exceso_o2_F,0.10940325553872605,0.0791828759449246,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,enriq_o2_F,0.012918606658588638,0.011404844712024818,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,T_media_F,0.0,0.0,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,T_final_F,-0.01120233230612495,0.02253399394826435,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,dur_F,-0.009479168314863085,0.006119507219344338,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,feed_rate_F,-0.03962316689238352,0.03753790256778613,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,lanza_media_F,0.08405375634096068,0.027658416944023354,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,lanza_std_F,0.009955814338581882,0.012654449994221486,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,carbon_total_R,0.01649051754091744,0.019530322640348166,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,carbon_por_Sn_inv_R,-0.007726783528167536,0.0049719915462177675,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,gn_total_R,-0.041664282934448196,0.023043365405647,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,exceso_o2_R,0.009681210233201476,0.007210875371503161,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,dur_R,0.0,0.0,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,carbon_rate_R0,-0.008224089542193535,0.005907291586859701,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,perfil_carbon_R,0.019597458480718234,0.0038656518658763124,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,T_media_R,-0.00724532886338638,0.008700911030357056,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,lanza_media_R,-0.02767866273177568,0.00971352838633044,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,feed_sn_total_t,-0.0019077399209965762,0.0010232101701868838,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,ley_sn_conc_batch_pct,-0.0008821369570914505,0.00895969419650092,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,espesor_ladrillo_norm_mm,0.0,0.0,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,frac_carga_secundaria_F,-0.008389055975061366,0.005395204696125474,-0.015400004666209721,-0.26782023307437974,297,63
f_metal,feed_dross_Fe_total_t,0.02539416722419552,0.011647584993677752,-0.015400004666209721,-0.26782023307437974,297,63
rendimiento_proxy_batch,C_por_Sn_F,0.015316482227709205,0.044649409563703356,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,cal_por_carga_F,0.004360606750718388,0.026018122112641134,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,gn_por_t_carga_F,-0.019638374627822718,0.013004420260620578,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,exceso_o2_F,0.10940325580791788,0.07918287602135031,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,enriq_o2_F,0.012918606317160287,0.01140484466590073,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,T_media_F,0.0,0.0,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,T_final_F,-0.011202332308011797,0.022533993770546528,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,dur_F,-0.009479168490599488,0.006119507268523644,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,feed_rate_F,-0.03962316679587578,0.03753790254413381,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,lanza_media_F,0.0840537568255058,0.027658417137751405,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,lanza_std_F,0.00995581414616673,0.012654450041789701,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,carbon_total_R,0.0164905179251154,0.019530322678917897,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,carbon_por_Sn_inv_R,-0.007726783600723097,0.004971991533161226,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,gn_total_R,-0.04166428304550518,0.023043365462178656,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,exceso_o2_R,0.009681210123774297,0.007210875436136082,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,dur_R,0.0,0.0,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,carbon_rate_R0,-0.008224089651427091,0.005907291640091964,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,perfil_carbon_R,0.019597458167852855,0.00386565188465543,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,T_media_R,-0.007245329051534277,0.008700911227947755,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,lanza_media_R,-0.02767866272104378,0.009713528259684254,-0.015400004909781773,-0.2678202336967168,297,63
rendimiento_proxy_batch,feed_sn_total_t,-0.0019077399221634206,0.001023210167331092,-0.015400004909781773,-0.2678202336967168,297,63
