variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,escenario,fraccion_fe_dross,periodo
gn_2,0.034837236755158096,0.017094155013973353,0.0006665077744720457,0.06900796573584414,0.04582595877684621,242,63,12,ysn,SnII_FeIII30F,0.6,LB
gn_3,0.05531794955222638,0.021890337317533495,0.011559788756224064,0.09907611034822869,0.014067502917684833,242,63,12,ysn,SnII_FeIII30F,0.6,LB
gn_0,0.04579990023051963,0.018393499901779853,0.009601795449807826,0.08199800501123143,0.013320870015010328,1084,298,12,ysn,delta0,0.3,DEV
gn_1,0.01634544248468059,0.011016335473462171,-0.0053345242371105606,0.03802540920647174,0.1389367790777903,1084,298,12,ysn,delta0,0.3,DEV
gn_2,0.031813060831804664,0.011392573613149125,0.009392663649491394,0.054233458014117934,0.005570678830903272,1084,298,12,ysn,delta0,0.3,DEV
gn_3,0.03577727065725425,0.01526609978143976,0.005733837790631351,0.06582070352387714,0.019759217731335346,1084,298,12,ysn,delta0,0.3,DEV
gn_0,0.11209950138002969,0.03325526545073987,0.0456231729526165,0.17857582980744288,0.0012940965756577118,242,63,12,ysn,delta0,0.3,LB
gn_1,0.03730007637876266,0.016590663954727688,0.004135811684589659,0.07046434107293567,0.028124839574080466,242,63,12,ysn,delta0,0.3,LB
gn_2,0.034693655948919995,0.017417416637998746,-0.00012326381074276999,0.06951057570858277,0.05079164471359209,242,63,12,ysn,delta0,0.3,LB
gn_3,0.05583594741690983,0.022181940452845245,0.0114948802591417,0.10017701457467795,0.01442916196072617,242,63,12,ysn,delta0,0.3,LB
gn_0,0.04579990023051963,0.018393499901779853,0.009601795449807826,0.08199800501123143,0.013320870015010328,1084,298,12,ysn,delta0,0.5,DEV
gn_1,0.01634544248468059,0.011016335473462171,-0.0053345242371105606,0.03802540920647174,0.1389367790777903,1084,298,12,ysn,delta0,0.5,DEV
gn_2,0.031813060831804664,0.011392573613149125,0.009392663649491394,0.054233458014117934,0.005570678830903272,1084,298,12,ysn,delta0,0.5,DEV
gn_3,0.03577727065725425,0.01526609978143976,0.005733837790631351,0.06582070352387714,0.019759217731335346,1084,298,12,ysn,delta0,0.5,DEV
gn_0,0.11209950138002969,0.03325526545073987,0.0456231729526165,0.17857582980744288,0.0012940965756577118,242,63,12,ysn,delta0,0.5,LB
gn_1,0.03730007637876266,0.016590663954727688,0.004135811684589659,0.07046434107293567,0.028124839574080466,242,63,12,ysn,delta0,0.5,LB
gn_2,0.034693655948919995,0.017417416637998746,-0.00012326381074276999,0.06951057570858277,0.05079164471359209,242,63,12,ysn,delta0,0.5,LB
gn_3,0.05583594741690983,0.022181940452845245,0.0114948802591417,0.10017701457467795,0.01442916196072617,242,63,12,ysn,delta0,0.5,LB
gn_0,0.04579990023051963,0.018393499901779853,0.009601795449807826,0.08199800501123143,0.013320870015010328,1084,298,12,ysn,delta0,0.6,DEV
gn_1,0.01634544248468059,0.011016335473462171,-0.0053345242371105606,0.03802540920647174,0.1389367790777903,1084,298,12,ysn,delta0,0.6,DEV
gn_2,0.031813060831804664,0.011392573613149125,0.009392663649491394,0.054233458014117934,0.005570678830903272,1084,298,12,ysn,delta0,0.6,DEV
gn_3,0.03577727065725425,0.01526609978143976,0.005733837790631351,0.06582070352387714,0.019759217731335346,1084,298,12,ysn,delta0,0.6,DEV
gn_0,0.11209950138002969,0.03325526545073987,0.0456231729526165,0.17857582980744288,0.0012940965756577118,242,63,12,ysn,delta0,0.6,LB
gn_1,0.03730007637876266,0.016590663954727688,0.004135811684589659,0.07046434107293567,0.028124839574080466,242,63,12,ysn,delta0,0.6,LB
gn_2,0.034693655948919995,0.017417416637998746,-0.00012326381074276999,0.06951057570858277,0.05079164471359209,242,63,12,ysn,delta0,0.6,LB
gn_3,0.05583594741690983,0.022181940452845245,0.0114948802591417,0.10017701457467795,0.01442916196072617,242,63,12,ysn,delta0,0.6,LB
gn_0,0.04446535717612398,0.018421073175514568,0.008212988646961572,0.08071772570528639,0.016390656439888157,1084,298,12,ysn,delta02,0.3,DEV
gn_1,0.016100695419615684,0.010858418240418673,-0.0052684927891728656,0.037469883628404234,0.13919195742461024,1084,298,12,ysn,delta02,0.3,DEV
gn_2,0.030776272971970768,0.011310664379052135,0.008517071812936556,0.053035474131004984,0.006892524354524235,1084,298,12,ysn,delta02,0.3,DEV
gn_3,0.03405465567207855,0.01533563396931227,0.003874380669272131,0.06423493067488496,0.027130918526475197,1084,298,12,ysn,delta02,0.3,DEV
gn_0,0.11337132619736227,0.03291003265282808,0.047585108299720486,0.17915754409500406,0.001030225685416083,242,63,12,ysn,delta02,0.3,LB
gn_1,0.03806017086516292,0.01659596510359632,0.004885309325393966,0.07123503240493187,0.02523157752855843,242,63,12,ysn,delta02,0.3,LB
