train_end,modelo,variable,theta
279,acoplado,gn_3,-0.008082476008384902
279,acoplado,d_carbon,0.000490369924569873
279,acoplado,d_exceso,0.0002372473337947141
279,acoplado,d_aire,0.0006746793007876329
279,acoplado,C_x_exceso,-4.021518862492023e-05
279,acoplado,C_x_GN,-6.828589054480496e-06
279,acoplado,C_x_Sn,6.147339710685482e-05
299,v11_gn,gn_0,-0.002535713841709857
299,v11_gn,gn_1,-0.0027373331379126394
299,v11_gn,gn_2,-0.0024382240629784242
299,v11_gn,gn_3,-0.006627205149563877
299,v11_gn,d_carbon,0.0010019231329154675
299,conjunto,gn_0,-0.003649813950086702
299,conjunto,gn_1,-0.003057787182311303
299,conjunto,gn_2,-0.004007731041355261
299,conjunto,gn_3,-0.007529055486581634
299,conjunto,d_carbon,0.0007185025685903564
299,conjunto,d_exceso,0.0002659477741011816
299,conjunto,d_aire,0.0007390063717495595
299,acoplado,gn_0,-0.00433074301008695
299,acoplado,gn_1,-0.0031661524352978986
299,acoplado,gn_2,-0.003953861247018621
299,acoplado,gn_3,-0.007521368604656723
299,acoplado,d_carbon,0.0003113013107070435
299,acoplado,d_exceso,0.00018854784273471118
299,acoplado,d_aire,0.0007382802402008761
299,acoplado,C_x_exceso,-4.3264146736788706e-05
299,acoplado,C_x_GN,-2.5141934071056947e-05
299,acoplado,C_x_Sn,5.660037433447907e-05
319,v11_gn,gn_0,-0.0026344520607351264
319,v11_gn,gn_1,-0.0028192489404425874
319,v11_gn,gn_2,-0.002354068271289992
319,v11_gn,gn_3,-0.005962939592432347
319,v11_gn,d_carbon,0.0009662654566508207
319,conjunto,gn_0,-0.003464427199458976
319,conjunto,gn_1,-0.0028511546034703837
319,conjunto,gn_2,-0.003571990593509181
319,conjunto,gn_3,-0.006555196131714884
319,conjunto,d_carbon,0.0006968064416247663
319,conjunto,d_exceso,0.0005635146250520252
319,conjunto,d_aire,0.0006998283603390019
319,acoplado,gn_0,-0.004073216463097202
319,acoplado,gn_1,-0.002985630642910003
319,acoplado,gn_2,-0.003650154675422383
319,acoplado,gn_3,-0.00664956566561626
319,acoplado,d_carbon,0.0004886584170303405
319,acoplado,d_exceso,0.00040381984615123716
319,acoplado,d_aire,0.0006533900748838168
319,acoplado,C_x_exceso,-5.118418960272378e-05
319,acoplado,C_x_GN,-4.523484889996552e-05
319,acoplado,C_x_Sn,2.1237420635207343e-05
339,v11_gn,gn_0,-0.0029049379973358626
339,v11_gn,gn_1,-0.0027327834988725916
339,v11_gn,gn_2,-0.0023161069458979646
339,v11_gn,gn_3,-0.005752086802728268
339,v11_gn,d_carbon,0.0008788122448607368
339,conjunto,gn_0,-0.0039016721576897516
339,conjunto,gn_1,-0.0028883726157295326
339,conjunto,gn_2,-0.0036488427305044376
339,conjunto,gn_3,-0.00645529497407517
339,conjunto,d_carbon,0.0006079571716424469
339,conjunto,d_exceso,0.0004968426312689918
339,conjunto,d_aire,0.0007589210058252785
339,acoplado,gn_0,-0.004662251122108763
339,acoplado,gn_1,-0.003008832901377954
339,acoplado,gn_2,-0.0037901592149390253
339,acoplado,gn_3,-0.00660363356014653
339,acoplado,d_carbon,0.0004088018726240881
339,acoplado,d_exceso,0.00029795023680486625
339,acoplado,d_aire,0.0006833982196968178
339,acoplado,C_x_exceso,-6.282505741963098e-05
339,acoplado,C_x_GN,-6.518291244094615e-05
339,acoplado,C_x_Sn,1.6106275107003474e-05
359,v11_gn,gn_0,-0.0034757283333098515
359,v11_gn,gn_1,-0.0023496401869004062
359,v11_gn,gn_2,-0.002693380150599908
359,v11_gn,gn_3,-0.005786619613994
359,v11_gn,d_carbon,0.0009719972534703034
359,conjunto,gn_0,-0.004264026973713945
359,conjunto,gn_1,-0.002600373130421389
359,conjunto,gn_2,-0.003864040382797143
359,conjunto,gn_3,-0.006527446638279895
359,conjunto,d_carbon,0.0007737990670794959
359,conjunto,d_exceso,0.00023808020609680057
359,conjunto,d_aire,0.0006098894396025049
359,acoplado,gn_0,-0.0052682096434237165
359,acoplado,gn_1,-0.002806256166390574
359,acoplado,gn_2,-0.004115410199769282
359,acoplado,gn_3,-0.0068333147525488185
359,acoplado,d_carbon,0.0007141146477802644
359,acoplado,d_exceso,-5.061482371635443e-05
359,acoplado,d_aire,0.0004674144251639507
359,acoplado,C_x_exceso,-7.532370097254609e-05
359,acoplado,C_x_GN,-0.00010551721164235226
359,acoplado,C_x_Sn,-1.1025844622006785e-05
