Batch,pos,y,R3_observado,pred,modelo,target,train_end
AP0111,110,22.471232601779327,True,20.61150317613851,acoplado,polvo_pp,99
AP0112,111,15.62160512798722,True,19.177294178162654,acoplado,polvo_pp,99
AP0113,112,13.456422633312542,True,20.35282160299016,acoplado,polvo_pp,99
AP0114,113,19.672488504434867,True,20.336652284288757,acoplado,polvo_pp,99
AP0115,114,16.760711773879176,False,21.217271644485475,acoplado,polvo_pp,99
AP0116,115,15.189570591205312,True,20.510951799648254,acoplado,polvo_pp,99
AP0117,116,20.304276411965624,True,21.67644403104919,acoplado,polvo_pp,99
AP0118,117,19.132410946338943,True,19.690283593291824,acoplado,polvo_pp,99
AP0119,118,15.18439386750755,False,20.415368767673215,acoplado,polvo_pp,99
AP0120,119,16.55400249894072,False,21.057275190260288,acoplado,polvo_pp,99
AP0101,100,65.65090617396629,True,64.23725550378079,solo_contexto,recuperacion_refinada_pct,99
AP0102,101,68.34069887713703,True,65.92462824372495,solo_contexto,recuperacion_refinada_pct,99
AP0104,103,62.10984481094542,True,64.72778195146289,solo_contexto,recuperacion_refinada_pct,99
AP0105,104,68.07043434810971,False,66.50869841966447,solo_contexto,recuperacion_refinada_pct,99
AP0106,105,67.17760387452252,False,66.49980870278732,solo_contexto,recuperacion_refinada_pct,99
AP0107,106,67.5915418532535,False,65.77326782478576,solo_contexto,recuperacion_refinada_pct,99
AP0108,107,71.2406149621665,True,65.3769074800911,solo_contexto,recuperacion_refinada_pct,99
AP0109,108,73.70356116512347,True,65.73287872712787,solo_contexto,recuperacion_refinada_pct,99
AP0110,109,66.69683017951613,False,62.69873004667,solo_contexto,recuperacion_refinada_pct,99
AP0111,110,59.00811082640783,True,63.98979709171648,solo_contexto,recuperacion_refinada_pct,99
AP0112,111,69.61273870075898,True,65.30262176467431,solo_contexto,recuperacion_refinada_pct,99
AP0113,112,74.27826584080685,True,63.404890828262495,solo_contexto,recuperacion_refinada_pct,99
AP0114,113,63.9268449257049,True,64.29417365945535,solo_contexto,recuperacion_refinada_pct,99
AP0115,114,64.39843472786895,False,62.9015467494887,solo_contexto,recuperacion_refinada_pct,99
AP0116,115,70.22104856749674,True,63.11580157452778,solo_contexto,recuperacion_refinada_pct,99
AP0117,116,60.67227998596772,True,61.46551707373256,solo_contexto,recuperacion_refinada_pct,99
AP0118,117,64.61636722010667,True,64.29839232175948,solo_contexto,recuperacion_refinada_pct,99
AP0119,118,66.71193248568531,False,63.662470785815096,solo_contexto,recuperacion_refinada_pct,99
AP0120,119,67.99647941835006,False,63.75683769977955,solo_contexto,recuperacion_refinada_pct,99
AP0101,100,65.65090617396629,True,63.90717866051104,v11_gn,recuperacion_refinada_pct,99
AP0102,101,68.34069887713703,True,65.7958349265472,v11_gn,recuperacion_refinada_pct,99
AP0104,103,62.10984481094542,True,64.55159766735966,v11_gn,recuperacion_refinada_pct,99
AP0105,104,68.07043434810971,False,66.61967019858746,v11_gn,recuperacion_refinada_pct,99
AP0106,105,67.17760387452252,False,66.66721437697777,v11_gn,recuperacion_refinada_pct,99
AP0107,106,67.5915418532535,False,66.33642358230391,v11_gn,recuperacion_refinada_pct,99
AP0108,107,71.2406149621665,True,65.96039134995328,v11_gn,recuperacion_refinada_pct,99
AP0109,108,73.70356116512347,True,66.1004421026577,v11_gn,recuperacion_refinada_pct,99
AP0110,109,66.69683017951613,False,62.879429868416146,v11_gn,recuperacion_refinada_pct,99
AP0111,110,59.00811082640783,True,63.98162430918437,v11_gn,recuperacion_refinada_pct,99
AP0112,111,69.61273870075898,True,65.72565182819746,v11_gn,recuperacion_refinada_pct,99
AP0113,112,74.27826584080685,True,63.741678448026974,v11_gn,recuperacion_refinada_pct,99
AP0114,113,63.9268449257049,True,65.0337109987409,v11_gn,recuperacion_refinada_pct,99
AP0115,114,64.39843472786895,False,62.758854493441696,v11_gn,recuperacion_refinada_pct,99
AP0116,115,70.22104856749674,True,63.90036896446614,v11_gn,recuperacion_refinada_pct,99
AP0117,116,60.67227998596772,True,61.21077784728618,v11_gn,recuperacion_refinada_pct,99
AP0118,117,64.61636722010667,True,63.936399186498676,v11_gn,recuperacion_refinada_pct,99
AP0119,118,66.71193248568531,False,63.733165401945094,v11_gn,recuperacion_refinada_pct,99
AP0120,119,67.99647941835006,False,64.54109787282941,v11_gn,recuperacion_refinada_pct,99
AP0101,100,65.65090617396629,True,64.30532530159829,conjunto,recuperacion_refinada_pct,99
AP0102,101,68.34069887713703,True,66.04699086664755,conjunto,recuperacion_refinada_pct,99
AP0104,103,62.10984481094542,True,64.74088539357085,conjunto,recuperacion_refinada_pct,99
AP0105,104,68.07043434810971,False,66.45786220236442,conjunto,recuperacion_refinada_pct,99
AP0106,105,67.17760387452252,False,66.42739338395994,conjunto,recuperacion_refinada_pct,99
AP0107,106,67.5915418532535,False,65.55680143290884,conjunto,recuperacion_refinada_pct,99
AP0108,107,71.2406149621665,True,65.17623390369342,conjunto,recuperacion_refinada_pct,99
AP0109,108,73.70356116512347,True,65.60584684086528,conjunto,recuperacion_refinada_pct,99
AP0110,109,66.69683017951613,False,62.63235626515574,conjunto,recuperacion_refinada_pct,99
AP0111,110,59.00811082640783,True,63.99698462263467,conjunto,recuperacion_refinada_pct,99
AP0112,111,69.61273870075898,True,65.28130627388101,conjunto,recuperacion_refinada_pct,99
AP0113,112,74.27826584080685,True,63.317326943478506,conjunto,recuperacion_refinada_pct,99
AP0114,113,63.9268449257049,True,64.08357191784712,conjunto,recuperacion_refinada_pct,99
AP0115,114,64.39843472786895,False,62.91192697314098,conjunto,recuperacion_refinada_pct,99
AP0116,115,70.22104856749674,True,63.16567001339521,conjunto,recuperacion_refinada_pct,99
AP0117,116,60.67227998596772,True,61.6026229872176,conjunto,recuperacion_refinada_pct,99
AP0118,117,64.61636722010667,True,64.41181664209365,conjunto,recuperacion_refinada_pct,99
AP0119,118,66.71193248568531,False,63.67383722282298,conjunto,recuperacion_refinada_pct,99
AP0120,119,67.99647941835006,False,63.499953537534225,conjunto,recuperacion_refinada_pct,99
AP0101,100,65.65090617396629,True,64.29924916977703,acoplado,recuperacion_refinada_pct,99
AP0102,101,68.34069887713703,True,66.35307221048029,acoplado,recuperacion_refinada_pct,99
AP0104,103,62.10984481094542,True,64.63857740666965,acoplado,recuperacion_refinada_pct,99
AP0105,104,68.07043434810971,False,66.40187540460342,acoplado,recuperacion_refinada_pct,99
AP0106,105,67.17760387452252,False,66.26675726136645,acoplado,recuperacion_refinada_pct,99
AP0107,106,67.5915418532535,False,65.46686894707342,acoplado,recuperacion_refinada_pct,99
AP0108,107,71.2406149621665,True,64.85797812086733,acoplado,recuperacion_refinada_pct,99
AP0109,108,73.70356116512347,True,65.2602972352206,acoplado,recuperacion_refinada_pct,99
AP0110,109,66.69683017951613,False,62.67321518789614,acoplado,recuperacion_refinada_pct,99
AP0111,110,59.00811082640783,True,64.3839049466058,acoplado,recuperacion_refinada_pct,99
AP0112,111,69.61273870075898,True,64.99022058281649,acoplado,recuperacion_refinada_pct,99
AP0113,112,74.27826584080685,True,63.143893276741,acoplado,recuperacion_refinada_pct,99
AP0114,113,63.9268449257049,True,63.57689989141568,acoplado,recuperacion_refinada_pct,99
AP0115,114,64.39843472786895,False,62.767343368048834,acoplado,recuperacion_refinada_pct,99
AP0116,115,70.22104856749674,True,63.83882662268013,acoplado,recuperacion_refinada_pct,99
AP0117,116,60.67227998596772,True,61.66257428921795,acoplado,recuperacion_refinada_pct,99
AP0118,117,64.61636722010667,True,64.91167448473149,acoplado,recuperacion_refinada_pct,99
AP0119,118,66.71193248568531,False,63.83948567953986,acoplado,recuperacion_refinada_pct,99
AP0120,119,67.99647941835006,False,63.04154934125187,acoplado,recuperacion_refinada_pct,99
AP0124,123,5053.655515693603,True,4309.250725697626,solo_contexto,feo_neto_kg,119
AP0127,126,4692.891736596555,True,4736.667011548601,solo_contexto,feo_neto_kg,119
AP0130,129,3439.703434205705,True,4198.855439744121,solo_contexto,feo_neto_kg,119
AP0131,130,2990.67871329471,True,4192.669148228291,solo_contexto,feo_neto_kg,119
AP0133,132,5204.040399723986,True,4676.327281423882,solo_contexto,feo_neto_kg,119
AP0135,134,5208.251053296777,True,4743.247149770557,solo_contexto,feo_neto_kg,119
AP0136,135,4596.389490206402,True,5197.745359391966,solo_contexto,feo_neto_kg,119
AP0138,137,5014.8892358463345,True,4998.807876557938,solo_contexto,feo_neto_kg,119
AP0140,139,3356.3150588678054,True,4534.4898465429615,solo_contexto,feo_neto_kg,119
AP0124,123,5053.655515693603,True,4380.583131825316,v11_gn,feo_neto_kg,119
AP0127,126,4692.891736596555,True,4762.053124689858,v11_gn,feo_neto_kg,119
AP0130,129,3439.703434205705,True,4030.99861176699,v11_gn,feo_neto_kg,119
AP0131,130,2990.67871329471,True,4169.67666675385,v11_gn,feo_neto_kg,119
AP0133,132,5204.040399723986,True,4398.654302224929,v11_gn,feo_neto_kg,119
AP0135,134,5208.251053296777,True,4843.975941119465,v11_gn,feo_neto_kg,119
AP0136,135,4596.389490206402,True,5236.053964467257,v11_gn,feo_neto_kg,119
AP0138,137,5014.8892358463345,True,5097.850414621649,v11_gn,feo_neto_kg,119
AP0140,139,3356.3150588678054,True,4557.230835589353,v11_gn,feo_neto_kg,119
AP0124,123,5053.655515693603,True,4309.066520716675,conjunto,feo_neto_kg,119
AP0127,126,4692.891736596555,True,4739.791855301644,conjunto,feo_neto_kg,119
AP0130,129,3439.703434205705,True,4266.558968925474,conjunto,feo_neto_kg,119
AP0131,130,2990.67871329471,True,4214.327616719047,conjunto,feo_neto_kg,119
AP0133,132,5204.040399723986,True,4760.054593692481,conjunto,feo_neto_kg,119
AP0135,134,5208.251053296777,True,4531.856902148702,conjunto,feo_neto_kg,119
AP0136,135,4596.389490206402,True,5244.340361509007,conjunto,feo_neto_kg,119
AP0138,137,5014.8892358463345,True,4980.281958940574,conjunto,feo_neto_kg,119
AP0140,139,3356.3150588678054,True,4540.797095116131,conjunto,feo_neto_kg,119
AP0124,123,5053.655515693603,True,4376.726668488222,acoplado,feo_neto_kg,119
AP0127,126,4692.891736596555,True,4803.677375387223,acoplado,feo_neto_kg,119
AP0130,129,3439.703434205705,True,4325.910660161679,acoplado,feo_neto_kg,119
AP0131,130,2990.67871329471,True,4257.185990894883,acoplado,feo_neto_kg,119
AP0133,132,5204.040399723986,True,4805.057881265466,acoplado,feo_neto_kg,119
AP0135,134,5208.251053296777,True,4262.971363832745,acoplado,feo_neto_kg,119
AP0136,135,4596.389490206402,True,5266.648039199178,acoplado,feo_neto_kg,119
AP0138,137,5014.8892358463345,True,4945.166234598531,acoplado,feo_neto_kg,119
AP0140,139,3356.3150588678054,True,4503.001806732692,acoplado,feo_neto_kg,119
AP0121,120,14.098574866345622,False,15.34632253065318,solo_contexto,dross_pp,119
AP0122,121,14.15617786559881,False,14.69111550453172,solo_contexto,dross_pp,119
AP0123,122,9.711335760622934,False,16.129536180358542,solo_contexto,dross_pp,119
AP0124,123,12.545983982435388,True,15.166507297636446,solo_contexto,dross_pp,119
AP0125,124,19.04639980657609,False,13.7680456484439,solo_contexto,dross_pp,119
AP0126,125,10.105017716390224,False,14.64754902588825,solo_contexto,dross_pp,119
AP0127,126,12.968348784886812,True,14.066437960334058,solo_contexto,dross_pp,119
AP0128,127,16.629229278493316,False,14.662853019795023,solo_contexto,dross_pp,119
AP0129,128,15.865155249540887,False,15.117710243336212,solo_contexto,dross_pp,119
AP0130,129,14.74980397359847,True,15.773413007244347,solo_contexto,dross_pp,119
AP0131,130,18.237273938928997,True,15.794600500185904,solo_contexto,dross_pp,119
AP0132,131,16.419425781231865,False,15.785589342366924,solo_contexto,dross_pp,119
AP0133,132,15.653739014782722,True,15.586617449664708,solo_contexto,dross_pp,119
AP0134,133,26.240607653481263,False,16.170854574657522,solo_contexto,dross_pp,119
AP0135,134,19.05808312765416,True,15.142720628409288,solo_contexto,dross_pp,119
AP0136,135,17.63479427278335,True,15.66057209051759,solo_contexto,dross_pp,119
AP0137,136,16.769689414483434,False,15.51871066473902,solo_contexto,dross_pp,119
AP0138,137,16.216104186555,True,15.240751827399324,solo_contexto,dross_pp,119
AP0139,138,15.51656425382727,False,15.260593135488163,solo_contexto,dross_pp,119
AP0140,139,16.142410172786466,True,15.291024358618635,solo_contexto,dross_pp,119
AP0121,120,14.098574866345622,False,15.554527098491418,v11_gn,dross_pp,119
AP0122,121,14.15617786559881,False,14.556714677795402,v11_gn,dross_pp,119
