Batch,orden_escalon_fase,pos,y,pred,modelo,target,train_end
AP0120,0,119,1.8504495030651607,1.514919548689753,gn_por_orden,m6_ln_sn_dep,99
AP0120,1,119,0.6618022242618078,0.4800039350630542,gn_por_orden,m6_ln_sn_dep,99
AP0120,2,119,0.7724824624846285,0.3779787119655157,gn_por_orden,m6_ln_sn_dep,99
AP0101,0,100,2.0136043058871227,1.6056910560546986,conjunto_lineal,m6_ln_sn_dep,99
AP0101,1,100,0.17491778831373844,0.5233824414647541,conjunto_lineal,m6_ln_sn_dep,99
AP0101,2,100,0.23730192475964507,0.4413605643403463,conjunto_lineal,m6_ln_sn_dep,99
AP0101,3,100,0.4784284106729349,0.362104091212074,conjunto_lineal,m6_ln_sn_dep,99
AP0102,0,101,1.711209127262046,1.905168301423812,conjunto_lineal,m6_ln_sn_dep,99
AP0102,1,101,0.8707430974355465,0.6860528288262759,conjunto_lineal,m6_ln_sn_dep,99
AP0102,2,101,0.17660252441488136,0.4527728261232906,conjunto_lineal,m6_ln_sn_dep,99
AP0102,3,101,0.613275149019787,0.37677844473081157,conjunto_lineal,m6_ln_sn_dep,99
AP0103,0,102,2.351066264860745,1.658466494967902,conjunto_lineal,m6_ln_sn_dep,99
AP0103,1,102,0.5634408317319498,0.5104002397299412,conjunto_lineal,m6_ln_sn_dep,99
AP0104,0,103,1.8539058291990682,1.6784988499970028,conjunto_lineal,m6_ln_sn_dep,99
AP0104,1,103,0.44488824982898895,0.5366000162130473,conjunto_lineal,m6_ln_sn_dep,99
AP0104,2,103,0.10896257494541933,0.4523717038710848,conjunto_lineal,m6_ln_sn_dep,99
AP0104,3,103,0.380599970068584,0.3903407209629162,conjunto_lineal,m6_ln_sn_dep,99
AP0105,0,104,1.7725852981274919,1.8563693068863125,conjunto_lineal,m6_ln_sn_dep,99
AP0105,1,104,0.7484530719282255,0.678986826899262,conjunto_lineal,m6_ln_sn_dep,99
AP0105,2,104,0.5772673491192105,0.4102966827970082,conjunto_lineal,m6_ln_sn_dep,99
AP0106,0,105,0.9767984660798376,1.7752367236839968,conjunto_lineal,m6_ln_sn_dep,99
AP0106,1,105,1.5786601998738439,0.8464390592771935,conjunto_lineal,m6_ln_sn_dep,99
AP0106,2,105,0.9411630344159095,0.4990141590731659,conjunto_lineal,m6_ln_sn_dep,99
AP0107,0,106,1.8985838613959742,1.5306679370394116,conjunto_lineal,m6_ln_sn_dep,99
AP0107,1,106,0.12092651146738907,0.5239798027652252,conjunto_lineal,m6_ln_sn_dep,99
AP0107,2,106,0.5982994084259353,0.40624107152994493,conjunto_lineal,m6_ln_sn_dep,99
AP0108,0,107,1.7634794375259824,1.8627169656446714,conjunto_lineal,m6_ln_sn_dep,99
AP0108,1,107,0.5827333641068588,0.6223861343772878,conjunto_lineal,m6_ln_sn_dep,99
AP0108,2,107,0.3422494721641726,0.4507330696298247,conjunto_lineal,m6_ln_sn_dep,99
AP0108,3,107,0.08262177028603328,0.345453524212391,conjunto_lineal,m6_ln_sn_dep,99
AP0109,0,108,0.9913748960903911,1.697375179111579,conjunto_lineal,m6_ln_sn_dep,99
AP0109,1,108,1.3659947324992525,0.8505200389241843,conjunto_lineal,m6_ln_sn_dep,99
AP0109,2,108,0.29999699259106377,0.5143808990931032,conjunto_lineal,m6_ln_sn_dep,99
AP0109,3,108,0.12418393312657323,0.3828341644340555,conjunto_lineal,m6_ln_sn_dep,99
AP0110,0,109,1.6589997848490785,1.484854141796709,conjunto_lineal,m6_ln_sn_dep,99
AP0110,1,109,0.5060818061686883,0.5064709434206346,conjunto_lineal,m6_ln_sn_dep,99
AP0110,2,109,0.5660681409991276,0.3924963979608574,conjunto_lineal,m6_ln_sn_dep,99
AP0111,0,110,1.6479566619580424,1.7657839697609385,conjunto_lineal,m6_ln_sn_dep,99
AP0111,1,110,0.7300735097946124,0.6325590242058619,conjunto_lineal,m6_ln_sn_dep,99
AP0111,2,110,0.21960039869733738,0.5016944150759048,conjunto_lineal,m6_ln_sn_dep,99
AP0111,3,110,0.2734098144824702,0.4185331162103391,conjunto_lineal,m6_ln_sn_dep,99
AP0112,0,111,1.9135626356103732,1.5870503692679168,conjunto_lineal,m6_ln_sn_dep,99
AP0112,1,111,0.21451993865616967,0.566408040073677,conjunto_lineal,m6_ln_sn_dep,99
AP0112,2,111,0.55567910552799,0.47097744743826364,conjunto_lineal,m6_ln_sn_dep,99
AP0112,3,111,0.28396693403615425,0.3966684297074433,conjunto_lineal,m6_ln_sn_dep,99
