Batch,pos,score,modelo,train_end
AP0208,207,92.0356998514806,conjunto,199
AP0209,208,1505.690115717885,conjunto,199
AP0210,209,183.11882783839178,conjunto,199
AP0211,210,48.85916185894328,conjunto,199
AP0212,211,1221.1087668059693,conjunto,199
AP0213,212,390.0524929463247,conjunto,199
AP0214,213,443.304962391892,conjunto,199
AP0215,214,899.7434698682,conjunto,199
AP0216,215,577.4553881120632,conjunto,199
AP0217,216,8.879718965290621,conjunto,199
AP0218,217,,conjunto,199
AP0219,218,,conjunto,199
AP0220,219,983.4400116414313,conjunto,199
AP0201,200,443.8357825910059,acoplado,199
AP0202,201,-83.42981180484433,acoplado,199
AP0203,202,667.3233716146481,acoplado,199
AP0204,203,333.4505054902302,acoplado,199
AP0205,204,619.3593191840017,acoplado,199
AP0206,205,933.9578344797867,acoplado,199
AP0207,206,-17.11962941982968,acoplado,199
AP0208,207,13.025948066744032,acoplado,199
AP0209,208,1332.0858971758794,acoplado,199
AP0210,209,-126.29402815812804,acoplado,199
AP0211,210,27.25763638466453,acoplado,199
AP0212,211,1530.9169211047335,acoplado,199
AP0213,212,82.0179722897313,acoplado,199
AP0214,213,174.0009562110268,acoplado,199
AP0215,214,1112.211772454241,acoplado,199
AP0216,215,737.915672872422,acoplado,199
AP0217,216,-92.81441600005199,acoplado,199
AP0218,217,,acoplado,199
AP0219,218,,acoplado,199
AP0220,219,1610.5929241275087,acoplado,199
AP0221,220,588.1369345357859,v11_gn,219
AP0222,221,203.26700209907654,v11_gn,219
AP0223,222,662.8616042187789,v11_gn,219
AP0224,223,756.4276469488152,v11_gn,219
AP0225,224,425.61197606077064,v11_gn,219
AP0226,225,847.1538959136758,v11_gn,219
AP0227,226,265.8037153821045,v11_gn,219
AP0228,227,177.37565185819722,v11_gn,219
AP0229,228,476.84885535591354,v11_gn,219
AP0230,229,654.6298287652733,v11_gn,219
AP0231,230,468.1415832866302,v11_gn,219
AP0232,231,-1026.5680867496828,v11_gn,219
AP0233,232,347.8584824068202,v11_gn,219
AP0234,233,104.48073560773653,v11_gn,219
AP0235,234,-496.8092727716978,v11_gn,219
AP0236,235,221.40405973282708,v11_gn,219
AP0237,236,-70.88767345954219,v11_gn,219
AP0238,237,-29.560042978682056,v11_gn,219
AP0239,238,150.71890086301656,v11_gn,219
AP0240,239,606.8570829428721,v11_gn,219
AP0221,220,744.492953323593,conjunto,219
