variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,periodo,modelo,q_bh
gn_2,-0.004099731587918541,0.0017942313628820101,-0.007630749350783652,-0.0005687138250534294,0.023020593699415146,1084,298,12,m8_ln_feo_ret_dross50,DEV,conjunto,0.08429223556022097
gn_3,-0.007491158929601454,0.002653603197560054,-0.01271340630528529,-0.0022689115539176194,0.005078805338813909,1084,298,12,m8_ln_feo_ret_dross50,DEV,conjunto,0.05207454093132893
d_carbon,0.0006811805131483179,0.00041516343613965095,-0.00013585428951309593,0.0014982153158097317,0.1019073301659909,1084,298,12,m8_ln_feo_ret_dross50,DEV,conjunto,0.2169639932566258
d_exceso,0.000384817397904766,0.0011248914865270182,-0.0018289505154163673,0.0025985853112258993,0.7325229215244812,1084,298,12,m8_ln_feo_ret_dross50,DEV,conjunto,0.8057752136769293
d_aire,0.0007521741311812434,0.0003938703440959802,-2.2956217133907075e-05,0.0015273044794963937,0.05713511014145091,1084,298,12,m8_ln_feo_ret_dross50,DEV,conjunto,0.16173190116492628
gn_0,-0.003933100460527834,0.0032786889658737144,-0.010385506330200087,0.002519305409144419,0.23125257691907775,1084,298,15,m8_ln_feo_ret_dross50,DEV,acoplado,0.3722602457721739
gn_1,-0.003317683852518342,0.001899285357192098,-0.007055446145460673,0.0004200784404239889,0.08170463974807583,1084,298,15,m8_ln_feo_ret_dross50,DEV,acoplado,0.19258950797760732
gn_2,-0.004059788304496541,0.0018258961354181231,-0.007653121818047507,-0.00046645479094557405,0.026937720604950848,1084,298,15,m8_ln_feo_ret_dross50,DEV,acoplado,0.08889447799633779
gn_3,-0.007495091022809156,0.002672646434572258,-0.012754815175202843,-0.0022353668704154697,0.005373802024380202,1084,298,15,m8_ln_feo_ret_dross50,DEV,acoplado,0.05207454093132893
d_carbon,0.0003461106672889708,0.0006426475584702824,-0.0009186091404037935,0.001610830474981735,0.5905870400308856,1084,298,15,m8_ln_feo_ret_dross50,DEV,acoplado,0.7087044480370627
d_exceso,0.0002789923985012863,0.0012251618537745912,-0.002132105945646494,0.0026900907426490664,0.8200215340208166,1084,298,15,m8_ln_feo_ret_dross50,DEV,acoplado,0.8729261491189337
d_aire,0.0007486764550035786,0.00045376463237938703,-0.0001443248659174502,0.0016416777759246074,0.10001593605752833,1084,298,15,m8_ln_feo_ret_dross50,DEV,acoplado,0.2169639932566258
C_x_exceso,-4.458403508971848e-05,7.436264216578648e-05,-0.000190928489775433,0.00010176041959599605,0.5492640556970642,1084,298,15,m8_ln_feo_ret_dross50,DEV,acoplado,0.7001620091173807
C_x_GN,-2.2658479551866206e-05,8.781841992509489e-05,-0.0001954836831890234,0.000150166724085291,0.7965739374934285,1084,298,15,m8_ln_feo_ret_dross50,DEV,acoplado,0.8618668831896112
C_x_Sn,4.4631275522312485e-05,0.0001008201181581276,-0.00015378105603936612,0.0002430436070839911,0.6583178213036958,1084,298,15,m8_ln_feo_ret_dross50,DEV,acoplado,0.7622627404569109
gn_0,-0.01463048631910487,0.008130157534862167,-0.030882439660288655,0.0016214670220789113,0.07680069440647859,242,63,10,m8_ln_feo_ret_dross50,LB,v11_estructura,0.24775652992454353
gn_1,-0.0018012638262450077,0.0026161681624196076,-0.0070309094666913576,0.0034283818142013425,0.4936985773241682,242,63,10,m8_ln_feo_ret_dross50,LB,v11_estructura,0.6389040412430412
gn_2,-0.006136261519248735,0.0020182813977337945,-0.010170748546676905,-0.0021017744918205633,0.003459330759408715,242,63,10,m8_ln_feo_ret_dross50,LB,v11_estructura,0.038052638353495864
