xcols,controles,paso,start,n,pendiente,t,p_perm
solo_dC,espesor_en_vez_idx,20,120,241,-1.116894960268969,-0.9532589176400115,0.7109634551495017
solo_dC,espesor_en_vez_idx,20,150,211,0.07193672534722485,0.09502638350418201,0.3089700996677741
dG_R01,full(+idx),5,100,261,0.9876143397740066,2.009052848621462,0.006644518272425249
dG_R01,full(+idx),5,120,241,1.0366913139703693,2.0864275378080723,0.006644518272425249
dG_R01,full(+idx),5,150,211,0.9977721353865554,1.876940798919124,0.009966777408637873
dG_R01,full(+idx),10,100,261,0.90990865529369,1.9175577346578152,0.009966777408637873
dG_R01,full(+idx),10,120,241,0.9443723317355235,1.975170023528737,0.009966777408637873
dG_R01,full(+idx),10,150,211,0.9352217052275279,1.863461173599609,0.013289036544850499
dG_R01,full(+idx),20,100,261,0.7208677254566962,1.7109889261286741,0.016611295681063124
dG_R01,full(+idx),20,120,241,0.7696267829188147,1.813883763363064,0.013289036544850499
dG_R01,full(+idx),20,150,211,0.9779600703826601,1.8500230086954566,0.009966777408637873
dG_R01,sin_idx,5,100,261,1.1143575250248625,2.142192875564782,0.006644518272425249
dG_R01,sin_idx,5,120,241,1.116644516549261,2.1210594106326335,0.006644518272425249
dG_R01,sin_idx,5,150,211,1.0150603329843286,1.8198070972345575,0.013289036544850499
dG_R01,sin_idx,10,100,261,1.0330533987584198,2.070733709042838,0.013289036544850499
dG_R01,sin_idx,10,120,241,1.0287149156479434,2.0453541141930116,0.013289036544850499
dG_R01,sin_idx,10,150,211,0.9537495467700435,1.8279639868981394,0.016611295681063124
dG_R01,sin_idx,20,100,261,0.8575038592503369,1.9298493123158724,0.016611295681063124
dG_R01,sin_idx,20,120,241,0.8607650234384463,1.9197120358422295,0.016611295681063124
dG_R01,sin_idx,20,150,211,1.0451718947740871,1.8697487259859216,0.009966777408637873
dG_R01,espesor_en_vez_idx,5,100,261,1.0854894289513388,2.0668426083060902,0.0033222591362126247
dG_R01,espesor_en_vez_idx,5,120,241,1.122967357674834,2.115805473767697,0.0033222591362126247
dG_R01,espesor_en_vez_idx,5,150,211,1.0691708884286895,1.8761504571262972,0.009966777408637873
dG_R01,espesor_en_vez_idx,10,100,261,0.9811713020139242,1.9441394504914462,0.009966777408637873
dG_R01,espesor_en_vez_idx,10,120,241,1.0033625003628341,1.973981759291297,0.009966777408637873
dG_R01,espesor_en_vez_idx,10,150,211,0.980645720684768,1.834232017342227,0.016611295681063124
dG_R01,espesor_en_vez_idx,20,100,261,0.7799034290912974,1.751034168622168,0.013289036544850499
dG_R01,espesor_en_vez_idx,20,120,241,0.8223917531537934,1.8348453042069788,0.009966777408637873
dG_R01,espesor_en_vez_idx,20,150,211,1.0884511533788266,1.8917482446197778,0.009966777408637873
dG_R23,full(+idx),5,100,260,0.7727773212457982,2.1432231785201394,0.009966777408637873
dG_R23,full(+idx),5,120,240,0.7931639826950616,2.1532405313351393,0.006644518272425249
dG_R23,full(+idx),5,150,210,0.6725817949476115,1.7931194730245128,0.023255813953488372
dG_R23,full(+idx),10,100,260,0.8062443252680022,2.126267143774762,0.009966777408637873
dG_R23,full(+idx),10,120,240,0.8216887905036986,2.113977230449471,0.009966777408637873
dG_R23,full(+idx),10,150,210,0.7161956034293273,1.8096131912961504,0.023255813953488372
dG_R23,full(+idx),20,100,260,0.7194759801069516,1.910814625575181,0.019933554817275746
dG_R23,full(+idx),20,120,240,0.7372563467383046,1.9137683114904516,0.016611295681063124
dG_R23,full(+idx),20,150,210,0.7600669198312155,2.0839656042973065,0.006644518272425249
dG_R23,sin_idx,5,100,260,0.6811712457138411,1.8446740718229264,0.019933554817275746
dG_R23,sin_idx,5,120,240,0.7115273204744695,1.8787973642788767,0.016611295681063124
dG_R23,sin_idx,5,150,210,0.5724660589870809,1.4905664097971056,0.046511627906976744
dG_R23,sin_idx,10,100,260,0.7380943914557409,1.9114658864565939,0.016611295681063124
