Batch,orden_escalon_fase,inicio_bloque,receta__gn,hist__gn,rec__gn,z_hist__gn,z_rec__gn,dev_hist__gn,dev_rec__gn,beta__gn,t__gn,motivo__gn,valor_hist_pp__gn,valor_rec_pp__gn,receta__carbon,hist__carbon,rec__carbon,z_hist__carbon,z_rec__carbon,dev_hist__carbon,dev_rec__carbon,beta__carbon,t__carbon,motivo__carbon,valor_hist_pp__carbon,valor_rec_pp__carbon
AP0149,1,140,25.0,27.66638339572483,22.31017386407456,0.9912846633886451,-1.0000000000000002,2.6663833957248286,-2.68982613592544,-1.6835216514777016,-2.7072066004051605,recomendar,-1.6688491935925693,1.6835216514777023,18.333333333333332,27.743142856695712,18.333333333333332,1.4411878653128378,0.0,9.40980952336238,0.0,-0.4594836085259159,-1.1307376252032932,recomendar,-0.6622022009177044,-0.0
AP0149,2,140,17.5,19.500516569349504,17.5,0.732058720307726,0.0,2.0005165693495037,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,-1.2324367057911159,-0.0,16.666666666666668,15.882276165674602,12.919700317689735,-0.11835439255625536,-0.5653688126016465,-0.7843905009920658,-3.746966348976933,-0.4594836085259159,-1.1307376252032932,recomendar,0.05438190337664101,0.2597777021622169
AP0149,3,140,16.666666666666668,14.512934718987879,16.666666666666668,-1.1708410012377064,0.0,-2.1537319476787893,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,1.9711361760215094,-0.0,13.333333333333334,6.283702923002697,10.798737010587445,-1.5724954457643936,-0.5653688126016465,-7.049630410330637,-2.534596322745889,-0.4594836085259159,-1.1307376252032932,recomendar,0.7225358818103922,0.25977770216221685
AP0150,0,140,26.666666666666668,26.62893405490451,23.7565661838784,-0.012966085530492182,-1.0,-0.03773261176215925,-2.910100482788266,-1.6835216514777016,-2.7072066004051605,recomendar,0.021828685725495327,1.6835216514777016,60.0,60.530617662655416,55.0089902171328,0.06010701059147488,-0.5653688126016464,0.5306176626554162,-4.991009782867202,-0.4594836085259159,-1.1307376252032932,recomendar,-0.02761818612427632,0.25977770216221685
AP0150,1,140,23.333333333333332,23.63403815205892,20.643507197407892,0.11179340356217125,-1.0000000000000002,0.3007048187255883,-2.68982613592544,-1.6835216514777016,-2.7072066004051605,recomendar,-0.1882066153892997,1.6835216514777023,18.333333333333332,26.216484187199523,18.333333333333332,1.2073678348977739,0.0,7.883150853866191,0.0,-0.4594836085259159,-1.1307376252032932,recomendar,-0.5547657295969514,-0.0
AP0150,2,140,17.5,17.93956654866536,17.5,0.1608527167613924,0.0,0.43956654866536127,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,-0.2707990313668143,-0.0,16.666666666666668,11.18642098563058,12.919700317689735,-0.8268982704631567,-0.5653688126016465,-5.480245681036088,-3.746966348976933,-0.4594836085259159,-1.1307376252032932,recomendar,0.37994620119625,0.2597777021622169
AP0150,3,140,16.666666666666668,15.644229575263129,16.666666666666668,-0.5558311326029635,0.0,-1.022437091403539,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,0.9357537463024624,-0.0,13.333333333333334,5.583642023259943,10.798737010587445,-1.728651515306708,-0.5653688126016465,-7.749691310073391,-2.534596322745889,-0.4594836085259159,-1.1307376252032932,recomendar,0.7942870361369188,0.25977770216221685
AP0151,0,150,26.666666666666668,28.433769542552806,23.826530785065152,0.6221895534412576,-1.0000000000000007,1.7671028758861382,-2.8401358816015154,-2.648434329971797,-3.85338691087239,recomendar,-1.6478281730836486,2.6484343299717987,60.0,66.23668370400705,60.0,0.7166758745483259,0.0,6.236683704007049,0.0,-0.0,-0.5374004186507493,ejecutar la receta,-0.0,-0.0
AP0151,1,150,23.333333333333332,25.169059407552087,20.672825344061895,0.6899908143938545,-1.0000000000000002,1.8357260742187549,-2.660507989271437,-2.648434329971797,-3.85338691087239,recomendar,-1.8273953602058826,2.6484343299717974,18.333333333333332,26.60577619503706,18.333333333333332,1.2674986618252977,0.0,8.272442861703727,0.0,-0.0,-0.5374004186507493,ejecutar la receta,-0.0,-0.0
AP0151,2,150,17.5,18.580040308634437,17.5,0.40236990587489135,0.0,1.0800403086344375,0.0,-2.648434329971797,-3.85338691087239,ejecutar la receta: horno frio,-1.0656502720665828,-0.0,16.666666666666668,5.936566888718377,16.666666666666668,-1.650795830358435,0.0,-10.73009977794829,0.0,-0.0,-0.5374004186507493,ejecutar la receta,0.0,-0.0
