clave,politica,bloque_ini,n_train,n_test,r2,mae,pearson,theta_gn_1sd
sn_dep,fijo_DEV,GLOBAL,1469.0,313,-0.4664194481539703,0.14880944947012825,0.33817985111792365,0.02597557183736249
dT,expandido_todo,30,150.0,149,0.2435252129500307,8.078258926714017,0.508872522734344,5.394818858258096e-19
dT,expandido_todo,60,299.0,150,0.08087849128243252,15.961063993902345,0.6525770219925946,0.4491364389048552
dT,expandido_todo,90,449.0,150,0.37479274811494545,13.879585248164231,0.6603757522557709,0.746259864249283
dT,expandido_todo,120,599.0,150,-0.042471708323444934,11.111796547599216,0.2285579603028744,0.7626487517303212
dT,expandido_todo,150,749.0,148,0.07293936335585582,10.937008645625248,0.3329753688500416,1.0380081889501636
dT,expandido_todo,180,897.0,149,0.0645478637649105,12.607551691883854,0.3246487924362404,0.19534593419642837
dT,expandido_todo,210,1046.0,143,-0.0036392886323555196,7.609843794024502,0.37963312339873084,7.256931991108829e-18
dT,expandido_todo,240,1189.0,148,0.13364660033329534,6.226994344388802,0.36998245754739967,2.4649546376622286e-27
dT,expandido_todo,270,1337.0,150,0.30344589477555595,6.691557416388045,0.5736918918113968,1.6541778578195688e-17
dT,expandido_todo,300,1487.0,150,0.20124200286647653,6.8185558905771435,0.4606890650434864,0.05414336507399931
dT,expandido_todo,330,1637.0,149,0.04439499496968402,6.601459971481256,0.3563075703121486,1.867690716011095e-12
dT,expandido_todo,360,1786.0,10,-1.9241159170593174,6.137710910693404,0.29964749602162427,2.6292841003585002e-12
dT,expandido_todo,GLOBAL,,1646,0.32193949017878254,9.67499659574177,0.5857574943591481,
dT,ventana_movil_150,30,150.0,149,0.2435252129500307,8.078258926714017,0.508872522734344,5.394818858258096e-19
dT,ventana_movil_150,60,299.0,150,0.08087849128243252,15.961063993902345,0.6525770219925946,0.4491364389048552
dT,ventana_movil_150,90,449.0,150,0.37479274811494545,13.879585248164231,0.6603757522557709,0.746259864249283
dT,ventana_movil_150,120,599.0,150,-0.042471708323444934,11.111796547599216,0.2285579603028744,0.7626487517303212
dT,ventana_movil_150,150,749.0,148,0.07293936335585582,10.937008645625248,0.3329753688500416,1.0380081889501636
dT,ventana_movil_150,180,747.0,149,0.04910944193775624,12.912308341554624,0.3378796156342183,4.600273301808386e-13
dT,ventana_movil_150,210,747.0,143,-0.07130856286817022,7.834923614961506,0.23453572817126286,6.986604020693807e-23
dT,ventana_movil_150,240,740.0,148,0.07670570245626351,6.467479173428333,0.3108104090035378,9.103472763609734e-15
dT,ventana_movil_150,270,738.0,150,0.30323386430126276,6.703333258871706,0.5661187927938867,6.141617254144603e-14
dT,ventana_movil_150,300,738.0,150,0.1670264929595887,7.0196903773975,0.43370784419875774,3.769464826025029e-28
dT,ventana_movil_150,330,740.0,149,-0.0715471129748031,6.7921372675952725,0.32631293211831464,7.266087917808536e-15
dT,ventana_movil_150,360,740.0,10,-1.2306819856175455,4.894661869020345,0.20625661735741696,1.5772205211186684e-22
dT,ventana_movil_150,GLOBAL,,1646,0.3123725665021968,9.772872589661969,0.5808566108306307,
dT,progresivo_lockbox_10,AP0300,1482.0,50,0.21630216245009226,7.5368310821364135,0.4770491873183368,5.296104192273118e-20
dT,progresivo_lockbox_10,AP0310,1532.0,50,0.012843756827881636,6.814322093045332,0.342890681346704,3.2368226771642083e-20
dT,progresivo_lockbox_10,AP0320,1582.0,50,0.23646115059366946,6.753562606523116,0.49701073387915584,1.873805690036142e-13
dT,progresivo_lockbox_10,AP0330,1632.0,49,0.3807225676596131,5.286108065194866,0.6203442590834686,1.977797329804244e-12
dT,progresivo_lockbox_10,AP0340,1681.0,50,-0.24471391090137828,7.459740540328902,0.1802521121675358,1.7280183111510712e-21
dT,progresivo_lockbox_10,AP0350,1731.0,50,-0.11359033816660524,7.199405756742999,0.3407998353243946,2.6408341621507436e-20
dT,progresivo_lockbox_10,AP0360,1781.0,15,-0.2779478178455492,6.425653143123363,0.5673244380962876,3.65184513169605e-21
dT,progresivo_lockbox_10,GLOBAL,,314,0.15699401249657174,6.8267426633128565,0.4332441860234937,
dT,fijo_DEV,GLOBAL,1482.0,314,0.03669458085246802,6.974173795111473,0.38647588749514833,5.296104192273118e-20
