variable,kpi,rho_dev,p_dev,ci_lo_dev,ci_hi_dev,n_dev,ols_dev,ols_p_dev,ols_lo_dev,ols_hi_dev,ols_r2adj_dev,rho_lockbox,p_lockbox,ci_lo_lockbox,ci_hi_lockbox,n_lockbox,rho_total,p_total,ci_lo_total,ci_hi_total,n_total,ols_total,ols_p_total,ols_lo_total,ols_hi_total,ols_r2adj_total,quintiles_crecientes,dQ5Q1,target
cal_por_carga_F,R_sum_m6_ln_sn_dep,-0.01895886430464779,0.7444738663655887,-0.13297848757939343,0.09906880939046779,298,-0.05664478693186,0.15942008021135157,-0.13555011562447775,0.022260541760757736,0.04339135071614808,0.05765168970814132,0.6535713457119622,-0.22666117182470782,0.33330698496865757,63,-0.0896665187248435,0.08890851935430852,-0.19015700869693006,0.0012684574031573564,361,-0.04192648750085359,0.2893008828687712,-0.11947463888802742,0.03562166388632024,0.03062441021586837,1,-0.07745374789546844,R_sum_m6_ln_sn_dep
cal_por_sn_F,R_sum_m6_ln_sn_dep,-0.043347211424246725,0.4559728358630133,-0.16051113741243825,0.07262934950953391,298,-0.054504311719328985,0.1732362436332583,-0.13294485598517064,0.023936232546512656,0.042793663899813095,0.03835445468509985,0.7653653080294659,-0.24055081357290678,0.3118860070677919,63,-0.10745907368012936,0.0412952214634897,-0.21301945539442346,-0.013011240295116525,361,-0.04189661468687619,0.2912208320108679,-0.11969856778601473,0.03590533841226235,0.030619176110589952,2,-0.05746249470526399,R_sum_m6_ln_sn_dep
b2_media_F,R_sum_m6_ln_sn_dep,-0.02964892897778804,0.6108099775342046,-0.1417975101884965,0.07940758513121068,297,0.009968563154808013,0.7545922858796288,-0.052535143801541354,0.07247227011115738,0.03451438742520396,-0.06317204301075269,0.6228158155476111,-0.3271433311967325,0.17690105592172745,63,-0.05529543695038799,0.29541834364042224,-0.15856969910942129,0.04762837101076936,360,-0.00270910929368536,0.9219898265728181,-0.05693038679275036,0.051512168205379634,0.024430067911073494,2,0.031855441759716996,R_sum_m6_ln_sn_dep
b2_fin_F,R_sum_m6_ln_sn_dep,-0.07518500807091412,0.19632925883105887,-0.1880426218653834,0.029618343942655747,297,-0.034076055539166934,0.24977027860856205,-0.09210664418978959,0.023954533111455727,0.03946531234898765,-0.10311059907834101,0.42129706808036305,-0.3293281164973153,0.1641722893146194,63,-0.08649475175991585,0.10132014216102933,-0.1892109741983264,0.017066736375675375,360,-0.03585854745992875,0.16506279170029847,-0.08648471054069334,0.014767615620835846,0.03028018973968316,2,-0.04022470436384262,R_sum_m6_ln_sn_dep
cal_por_carga_F,T_media_R,0.17795964175888307,0.0020082184314470968,0.0645039027106263,0.29345304603567035,299,2.5358987798615984,0.4347913392519346,-3.82792909895532,8.899726658678517,0.6171380422058892,0.22763056835637482,0.0727786276986543,-0.053383314681555424,0.4734519227016737,63,0.3340660016156815,6.920034612023365e-11,0.2258408710156413,0.4297459343706545,362,-0.4484738396383144,0.860148189218283,-5.437490696992723,4.540543017716094,0.6714521248558818,2,44.54649577228179,T_media_R
cal_por_sn_F,T_media_R,0.03546991088864447,0.5412291485689714,-0.08462927396308183,0.15285367802752908,299,2.6405135940308595,0.4095436799752761,-3.634896694106369,8.915923882168087,0.6171909024483297,0.2475038402457757,0.050499676975771145,-0.03929068916626683,0.4931569849812937,63,0.23648485674834158,5.401710818192751e-06,0.1271399169381835,0.33326802250133664,362,-0.7781622717012359,0.755423946205912,-5.6744446139790945,4.118120070576623,0.6714976214099394,1,22.80114557259094,T_media_R
b2_media_F,T_media_R,0.04308420561703316,0.458713418999241,-0.0647868759892524,0.15233968416463198,298,-0.4240458474754386,0.8775492960588813,-5.818208873518946,4.970117178568069,0.617088325417291,-0.09706221198156682,0.44918796938435457,-0.3493274693776919,0.15544134838245247,63,0.07301745203368991,0.1662456032979383,-0.03314355653671136,0.1757059204594253,361,-2.3125458970353314,0.34325725814821384,-7.09493738830441,2.469845594233747,0.6727783434852959,2,7.11790698011896,T_media_R
b2_fin_F,T_media_R,0.12529347253595868,0.03059209576328226,0.027339173434228828,0.23164067637637978,298,1.1985915119458093,0.647197337219338,-3.934477872849024,6.331660896740642,0.6173263744670257,-0.10181451612903228,0.4271887832405949,-0.32006026878373584,0.15919717050421878,63,0.09721231692199384,0.0650374991828999,-0.006494339802209193,0.1993881842992382,361,0.07740538770784866,0.9741283958070773,-4.600590766297447,4.7554015417131446,0.6718058620016094,2,21.70498076220065,T_media_R
cal_por_carga_F,kpi_v6_next,0.032952795672375475,0.5703238969240935,-0.08148576380651067,0.14689365450444933,299,-0.26681781421089523,0.4371005607944486,-0.9397739380217259,0.40613830959993547,0.003726916680625525,-0.1511671828964267,0.24086708174570082,-0.4072808230014097,0.0946180467508504,62,-0.04851216438887272,0.3580559899544026,-0.14833514875517467,0.05944043380081241,361,-0.33634379575809814,0.22169725182184752,-0.8757929984154066,0.2031054068992103,0.017145283060707395,3,0.9895569726140678,kpi_v6_next
cal_por_sn_F,kpi_v6_next,0.08474243002401742,0.14378875933734112,-0.019274108536063057,0.1967477035449564,299,-0.2627745954531878,0.43474378012455395,-0.9221381254002454,0.3965889344938698,0.0036589516112025544,-0.15292991866233538,0.2353614671715185,-0.40507369149269723,0.08741917415981912,62,-0.012052922361151493,0.8194755298361591,-0.11426329352209053,0.09693373358898087,361,-0.35065770938539487,0.19303510800176893,-0.8786606386263387,0.17734521985554896,0.01742429873434248,2,-0.2468531516073682,kpi_v6_next
b2_media_F,kpi_v6_next,0.10998426726468746,0.05790712665485615,-0.004380517966924562,0.22468393457962385,298,0.5087392505754165,0.08847231077185595,-0.07658721636578691,1.09406571751662,0.01289953426169499,0.26242099166477806,0.03934908938126208,0.04141691500563272,0.4751003797407667,62,0.11419661159936932,0.030289475678379793,0.014864978514347031,0.21609461225706564,360,0.49422555986107053,0.06047939065575877,-0.02176727406994683,1.0102183937920879,0.024734710291303807,3,1.5888318210142103,kpi_v6_next
b2_fin_F,kpi_v6_next,0.03230232789614172,0.5786032773916955,-0.09301485761503038,0.1430825803965148,298,0.18405332713929928,0.5272957927918441,-0.3866086083092643,0.7547152625878628,0.0023618234946186645,0.21306439021933465,0.09637641694021325,-0.06407731782586036,0.4610132592280902,62,0.05793177416492411,0.27295785829594466,-0.04828475992104861,0.1492234242407402,360,0.2907219046829576,0.265937824121799,-0.2214775177254486,0.8029213270913638,0.017246988598637047,3,1.1274348646496435,kpi_v6_next
