target,kpi,muestra,n,rho,p_rho,r,p_r,ci_low,ci_high,signo_esperado,signo_ok,p_bh,significativo_bh
st_R21_ln_feo_ret,rendimiento_proxy_batch,lockbox,63,-0.061011904761904774,0.6347780690262769,0.01989142640907303,0.8770286926442418,-0.2931641178332493,0.13788296174823797,1,False,,
st_R21_ln_feo_ret,rendimiento_proxy_batch,total,349,0.24361342046946233,4.138582715795068e-06,0.250994216498259,2.0507060784106123e-06,0.14048255402916682,0.3396040978640761,1,True,,
st_R21_ln_feo_ret,recuperacion_real_pct,dev,286,0.09598950471864463,0.10524016270144002,0.10226942658715256,0.08425964412140259,-0.02214039530435274,0.2082469599177957,1,True,0.1315502033768,False
st_R21_ln_feo_ret,recuperacion_real_pct,lockbox,63,0.10167050691244242,0.42784629508197014,0.14436828935809734,0.2589538355032765,-0.15079995402818888,0.3557221876840399,1,True,,
st_R21_ln_feo_ret,recuperacion_real_pct,total,349,0.08577187460301776,0.10969817377470012,0.09836383790146802,0.06643918847088236,-0.00817995222316976,0.18676571888522783,1,True,,
st_R02_feo_ret,recuperacion_refinada_pct,dev,297,0.2556478076612305,8.137505397824909e-06,0.2532598874557807,9.94157128674651e-06,0.14501832978510026,0.35076406982771463,1,True,2.0343763494562272e-05,True
st_R02_feo_ret,recuperacion_refinada_pct,lockbox,63,-0.162202380952381,0.20405240221163096,-0.04739008908284996,0.7122602725006546,-0.38911795318916176,0.0666405144104688,1,False,,
st_R02_feo_ret,recuperacion_refinada_pct,total,360,0.1838306365532656,0.0004553517407295317,0.19613526183525173,0.00018046600611322421,0.0870751362417281,0.2834613583105238,1,True,,
st_R02_feo_ret,sn_perdido_escoria_frac,dev,297,0.26577584295705103,3.4042759820207537e-06,0.20677334341222564,0.00033413961613597254,0.17185411988411514,0.3775740688351247,-1,False,1.7021379910103768e-05,True
st_R02_feo_ret,sn_perdido_escoria_frac,lockbox,63,0.27433755760368667,0.029569122845707767,0.14449224402882432,0.25854078028149236,0.014908134105395182,0.5375121182540085,-1,False,,
st_R02_feo_ret,sn_perdido_escoria_frac,total,360,0.27233080502164364,1.531966418848572e-07,0.18597597464576365,0.0003890978184741987,0.18464852877671667,0.3651540041862272,-1,False,,
st_R02_feo_ret,rendimiento_proxy_batch,dev,297,0.2740171532117841,1.630877218518332e-06,0.2700557666110742,2.3300324374680954e-06,0.1721137937926136,0.3769109588511264,1,True,4.07719304629583e-06,True
st_R02_feo_ret,rendimiento_proxy_batch,lockbox,63,-0.13628072196620586,0.2868704033684845,-0.023086545064625378,0.8574680087613158,-0.37120662261959425,0.1211411444139667,1,False,,
st_R02_feo_ret,rendimiento_proxy_batch,total,360,0.20513738531933118,8.838596161671033e-05,0.21606308716141706,3.562145190767259e-05,0.10243476620813437,0.3098646158146629,1,True,,
st_R02_feo_ret,recuperacion_real_pct,dev,297,0.0714427056708936,0.21959771155777683,0.0702657424044333,0.227307301826335,-0.03933677415397139,0.19337007781010446,1,True,0.2439974572864187,False
st_R02_feo_ret,recuperacion_real_pct,lockbox,63,0.013728878648233486,0.9149536154141559,0.10103293407236891,0.43076419474615246,-0.22398877723507243,0.26366467653480985,1,True,,
st_R02_feo_ret,recuperacion_real_pct,total,360,0.05918461304999781,0.2627027900034702,0.06467757908431346,0.22088242401995636,-0.03701828183829838,0.1689864160591381,1,True,,
st_F16_sn_ret_frac,recuperacion_refinada_pct,dev,298,0.027291160352146637,0.6389081797752638,-0.0076320145118950284,0.8956193107525776,-0.0841967726046251,0.14058555618349175,1,True,0.6389081797752638,False
st_F16_sn_ret_frac,recuperacion_refinada_pct,lockbox,63,0.16484254992319508,0.19668662929309988,0.18720191411410772,0.1417955466557312,-0.046539556707790676,0.37083380366217134,1,True,,
st_F16_sn_ret_frac,recuperacion_refinada_pct,total,361,0.06085484866571778,0.24878674339320872,0.02920975860630782,0.580141050407211,-0.044219003333471806,0.16037010761847711,1,True,,
st_F16_sn_ret_frac,sn_perdido_escoria_frac,dev,298,0.26054284852067167,5.171099237280317e-06,0.24984637172413354,1.2752942895720507e-05,0.1561154977461671,0.36543550540791336,-1,False,1.723699745760106e-05,True
st_F16_sn_ret_frac,sn_perdido_escoria_frac,lockbox,63,0.20569316436251922,0.10581542385461613,-0.07091601762437043,0.5807408052292875,-0.043310032334546784,0.43851659935456333,-1,False,,
st_F16_sn_ret_frac,sn_perdido_escoria_frac,total,361,0.24882972916443477,1.6940554004857488e-06,0.18161863987869145,0.000524993885201028,0.1577673064457411,0.34718956234709536,-1,False,,
st_F16_sn_ret_frac,rendimiento_proxy_batch,dev,298,0.06253938001822448,0.2818764884615516,0.018195374940203856,0.7544275374886955,-0.043881712078416985,0.16214763253931982,1,True,0.2818764884615516,False
