Batch,fase_proceso,c_consumido_kg,oferta_kg,utilizacion
AP0126,Reducción,3028.9555474462854,2292.018795848761,1.3215229966404478
AP0127,Fusión,7740.893155399195,7418.669183901651,1.043434201405929
AP0127,Reducción,2723.2741954550493,2359.734736783303,1.154059459737118
AP0128,Fusión,8184.589023309918,7661.9918478806885,1.0682064384568328
AP0128,Reducción,2486.8933099500755,2363.4833764543664,1.0522152745922189
AP0129,Fusión,8201.721145581218,7337.235510763735,1.117821710036332
AP0129,Reducción,2949.014866672077,2375.309797455495,1.2415285239134501
AP0130,Fusión,9297.012429573722,7082.5494234852,1.3126646739301995
AP0130,Reducción,1466.7579286986497,2079.3223581255497,0.7054018935384749
AP0131,Fusión,9416.823293753117,7891.373830198331,1.193305943474287
AP0131,Reducción,1746.0783229918459,2381.8071084881253,0.7330897270267136
AP0132,Fusión,8885.260593547873,7931.683172925933,1.1202238415014973
AP0132,Reducción,2364.2509174515712,2443.3449786451292,0.9676287786273158
AP0133,Fusión,9217.951212360425,8147.816142457605,1.131340110183198
AP0133,Reducción,2092.7839366242747,1868.571927767242,1.119991104182403
AP0134,Fusión,9376.33393018683,7808.602322015671,1.2007698104628886
AP0134,Reducción,1785.5274027443456,2346.6127535571527,0.760895635650886
AP0135,Fusión,8447.811557535311,7753.784521579977,1.0895081664990496
AP0135,Reducción,2919.107973530455,2222.198010517359,1.3136129002522354
AP0136,Fusión,9271.519843436936,8452.345051294571,1.0969168659314137
AP0136,Reducción,2424.6349516403793,2561.891171760139,0.9464238677923784
AP0137,Fusión,8571.628503412869,7878.797568115604,1.087936125951637
AP0137,Reducción,2427.7119335917573,2209.4115226522003,1.098804776159358
AP0138,Fusión,8090.630795177854,7652.203590440809,1.0572942420513656
AP0138,Reducción,3028.331113540556,2476.0532186650025,1.2230476674379889
AP0139,Fusión,8516.879938879498,8010.086842962418,1.0632693634729244
AP0139,Reducción,2555.6568577369812,2238.1073147339275,1.141883072769817
AP0140,Fusión,8361.481502266486,7497.7778196158615,1.115194622117367
AP0140,Reducción,2138.7871429169722,2271.084472689498,0.9417470678156438
AP0141,Fusión,7630.735365953622,7758.024769289244,0.9835925500213009
AP0141,Reducción,3291.9277055923617,2373.5967812005724,1.386894240700518
AP0142,Fusión,8936.541875176084,8307.061834225668,1.075776496372871
AP0142,Reducción,2158.8799175868207,2354.6517991069445,0.9168573962424615
AP0143,Fusión,8526.668513470137,7355.607939891483,1.1592064970221796
AP0143,Reducción,2117.2252981623506,2381.0935616817032,0.8891819003815249
AP0144,Fusión,8727.441512193634,8154.0242904947545,1.0703232172569463
AP0144,Reducción,2070.056801485917,2299.274793183385,0.900308570173071
AP0145,Fusión,9033.927512134502,8341.98263050507,1.0829472935006024
AP0145,Reducción,2138.3559176503613,2451.2372974957557,0.8723577761463398
AP0146,Fusión,8833.553461932253,7855.020361932812,1.1245742283166613
AP0146,Reducción,2012.8978349169963,2274.497813316243,0.8849856100684348
AP0147,Fusión,8022.19819010183,8118.242586751025,0.9881693118155968
AP0147,Reducción,3263.085517255598,2214.4145764512923,1.473565768558502
AP0148,Fusión,7985.617337339216,8515.28931104675,0.9377975363655114
AP0148,Reducción,2974.2602959391506,2262.5083929940324,1.3145853094508257
AP0149,Fusión,8156.743418833475,7968.850507225801,1.0235784209325172
AP0149,Reducción,3022.145258452987,2490.459495642298,1.2134890223033181
AP0150,Fusión,7477.931745097968,7429.371466744337,1.0065362566094587
AP0150,Reducción,2398.937642257128,2258.313506837782,1.0622695365340378
AP0151,Fusión,7606.9901869479845,8230.942980683129,0.9241942514728295
AP0151,Reducción,2345.2819039194187,2456.474437289753,0.9547349112686009
