target,version,columna,kpi,muestra,n,rho,p_rho,ci_low,ci_high,p_bh
sn_ext,multi,b6_sn_extraido_multi_kg,f_dross,dev,297,-0.052590571046946887,0.36645546747228785,-0.1579636482699317,0.060649962177210144,
sn_ext,multi,b6_sn_extraido_multi_kg,f_dross,lockbox,63,-0.016321044546851,0.898973190788495,-0.2988643882899045,0.26105639936877434,
sn_ext,multi,b6_sn_extraido_multi_kg,f_dross,total,360,-0.06263705738470204,0.23582542428333794,-0.1615412484647902,0.03560323039222994,
sn_ext,multi,b6_sn_extraido_multi_kg,f_polvo,dev,297,-0.008503317228149444,0.8839780771041647,-0.10770477666324142,0.09955616643947915,
sn_ext,multi,b6_sn_extraido_multi_kg,f_polvo,lockbox,63,-0.001872119815668203,0.9883816665692954,-0.2409379340791485,0.2522135404074525,
sn_ext,multi,b6_sn_extraido_multi_kg,f_polvo,total,360,-0.009411080846817233,0.858765664972998,-0.10456999453004642,0.0858082180222166,
sn_ext,multi,b6_sn_extraido_multi_kg,recuperacion_real_pct,dev,297,0.0846951283192894,0.14537278301234824,-0.02933785571661774,0.1985524204185489,
sn_ext,multi,b6_sn_extraido_multi_kg,recuperacion_real_pct,lockbox,63,0.07963709677419355,0.5349755815183734,-0.15853611995038328,0.31616356092999875,
sn_ext,multi,b6_sn_extraido_multi_kg,recuperacion_real_pct,total,360,0.10360985295668433,0.04949398310401223,0.007186337287401021,0.19968922130796318,
sn_ext,single,st_R01_sn_ext,rendimiento_proxy_batch,dev,298,0.021351763692002968,0.7135583323381609,-0.09608473857914249,0.13258535874405328,0.7135583323381609
sn_ext,single,st_R01_sn_ext,rendimiento_proxy_batch,lockbox,63,0.044450844854070665,0.7294001737744276,-0.16903347532071064,0.29059256543262785,
sn_ext,single,st_R01_sn_ext,rendimiento_proxy_batch,total,361,0.04722966182539804,0.3709203136425984,-0.04926211000220777,0.1413138393836681,
sn_ext,single,st_R01_sn_ext,f_metal,dev,298,0.021351763692002968,0.7135583323381609,-0.08881027747708795,0.13565294060933467,
sn_ext,single,st_R01_sn_ext,f_metal,lockbox,63,0.044450844854070665,0.7294001737744276,-0.19877201555791443,0.27846851310516935,
sn_ext,single,st_R01_sn_ext,f_metal,total,361,0.04722966182539804,0.3709203136425984,-0.04417768061004972,0.13838863058960096,
sn_ext,single,st_R01_sn_ext,f_dross,dev,298,-0.1036721278915618,0.07394477510996818,-0.21253903973669536,0.010356358717830123,
sn_ext,single,st_R01_sn_ext,f_dross,lockbox,63,-0.09485407066052229,0.45961915093354394,-0.3864150536702881,0.1762751032834418,
sn_ext,single,st_R01_sn_ext,f_dross,total,361,-0.1269733653703902,0.01578258138396545,-0.22392166320135795,-0.03130925924450161,
sn_ext,single,st_R01_sn_ext,f_polvo,dev,298,0.08032900212649265,0.16663368660883943,-0.03257682734954199,0.193245055307396,
sn_ext,single,st_R01_sn_ext,f_polvo,lockbox,63,0.04181067588325653,0.744909571224085,-0.2000166325856893,0.28493952321821236,
sn_ext,single,st_R01_sn_ext,f_polvo,total,361,0.07618774327502384,0.14855700712407466,-0.030084726735869954,0.1693588963167042,
sn_ext,single,st_R01_sn_ext,recuperacion_real_pct,dev,298,0.1722717512037617,0.0028477524010472248,0.06709759200066472,0.27557618818045765,
sn_ext,single,st_R01_sn_ext,recuperacion_real_pct,lockbox,63,0.19666858678955454,0.1223752855285234,-0.02899143774102261,0.4575790705822122,
sn_ext,single,st_R01_sn_ext,recuperacion_real_pct,total,361,0.2011202767022237,0.00011936955929760004,0.09785472693130892,0.29676359349444864,
