Batch,masa_escoria_multioxido_kg,masa_escoria_balance_kg,masa_escoria_trazador_kg,factor_multioxido_vs_balance,factor_multioxido_vs_trazador
AP0307,341569.68001055875,52375.18888358215,55589.595288787066,6.521593282838341,6.144489418138586
AP0308,330432.86262636044,52033.74595071238,51424.241307024145,6.350356996003217,6.4256244570248215
AP0309,324936.5017171177,60299.331611941714,51745.6870767735,5.388724767436179,6.279489558907958
AP0310,330211.1477372846,53369.97068985296,50305.44538930696,6.187208714357912,6.564123330622077
AP0311,310079.7503782781,57548.8268559284,53551.4844978767,5.3881159237972405,5.790311011650343
AP0312,338930.13603554503,60738.76918190502,56749.97090352951,5.580128484666715,5.972340260961537
AP0313,342164.9139049715,48799.759413483014,52252.59372675011,7.011610672212328,6.548285730930217
AP0314,323417.92171598674,60083.06593635927,51606.29659414569,5.382846508840861,6.267024434236884
AP0315,334552.6742798833,57281.9586978307,50764.85689362116,5.840454514565211,6.590241650458023
AP0316,317317.05630841665,51716.46929592599,47528.953350929405,6.135706103460036,6.676289586381386
AP0317,349787.79337063304,60672.74638909808,51377.54239550913,5.765155101557827,6.808184608713548
AP0318,338841.8909522516,55459.05177979979,51566.38788566651,6.109767117866054,6.570983635765513
AP0319,325399.5899739326,60539.39702297922,52982.038241065784,5.375005467107959,6.141696332885114
AP0320,346008.16952866875,53493.85844835428,53938.87233240033,6.468184938701381,6.41482023199114
AP0321,331899.1621348226,57945.0230324419,53812.511419547336,5.7278286342038545,6.167695083903119
AP0322,320821.78107759304,53986.16444603679,52167.39721554113,5.942666688208206,6.149852172076881
AP0323,362163.50153247965,52726.600259890714,55125.65133717293,6.868705733868044,6.569781812052017
AP0324,317841.9204633,58953.93285475151,52958.73240749476,5.391360763774438,6.001690486427103
AP0325,320516.55271619157,62764.98515961819,51723.918903727106,5.106614012591305,6.196679592525923
AP0326,344810.91296113183,51621.94858309184,54435.022547799534,6.6795408237276535,6.33435786048132
AP0327,353104.0920680675,64841.524332076166,56483.80318026424,5.445647610930578,6.251422039361614
AP0328,323951.0392955124,54081.08687685371,51471.274410533646,5.990098535430156,6.2938220008249015
AP0329,340172.9739640042,54190.26294793254,53318.22429838012,6.277381866385324,6.380050694492823
AP0330,323151.8206089345,51907.95573768584,50312.411889291005,6.225477694439855,6.422904577105304
AP0331,329410.4847004687,61760.73471676563,52613.942634733095,5.33365553714902,6.260897172967387
AP0332,352006.53957450297,48025.495612742176,52809.287490516945,7.329576406934741,6.6656180437525006
AP0333,344434.9390111435,62234.712109584565,53907.532886775065,5.534450587714669,6.389365652005983
AP0334,352750.23743601755,65904.18890532562,51751.977248181705,5.352470659228648,6.816169278796229
AP0335,323310.88047167624,55549.2921809426,50694.097857028326,5.820252028028453,6.377682888913503
AP0336,335262.4061600484,62951.15472837581,52383.76508359823,5.325754668149491,6.400120450009839
AP0337,345786.761836568,63210.01788426048,49452.98824622067,5.470442398382396,6.992231897391841
AP0338,330636.1074987303,59996.578797908514,47863.172050017754,5.510916024269309,6.907943902113518
AP0339,330901.01356488426,59384.80122417481,48166.365286876586,5.572149889257836,6.869960222118765
AP0340,342911.75192458666,57780.099314923405,46810.82013396592,5.934772629164028,7.3254805393971285
AP0341,312725.29919348296,58640.385511194276,45964.746203046845,5.332933889627731,6.803590251799399
AP0342,320055.0018390575,51192.77572089535,45763.388448494174,6.251956400723563,6.993691085599427
AP0343,339071.37990455935,54119.52468531122,47806.06483680471,6.265232037349876,7.092643602062737
AP0344,328298.6649971506,48682.07076661186,48258.73431992932,6.743728436924075,6.802885936060982
AP0345,329248.3303244093,62995.99044324088,48960.84784339797,5.226496607289009,6.72472689561086
AP0346,349297.9066535658,58596.02911925794,51200.914414008264,5.96111907075913,6.8221028989669765
AP0347,342045.19735376775,60406.611440356675,53252.456823413246,5.662380146774016,6.423087642472534
AP0348,303679.0290890238,66070.90556447003,55430.73596742693,4.596259525952809,5.478531428258077
AP0349,318097.989483037,56204.08123711931,51485.38765480201,5.659695568032041,6.17841302110441
AP0350,334258.80057526164,55436.311457518874,49577.5781751886,6.02960030685674,6.7421365237752475
AP0351,316849.03251709335,62811.45172713431,48780.59303756874,5.044446893116718,6.495391154286905
AP0352,361798.3428514658,52640.47345695113,51568.819428102885,6.873007005671045,7.0158352830993955
AP0353,322898.06679504405,61638.07129839852,47971.427910650586,5.238614057728208,6.731049728110229
AP0354,325929.1202393034,57548.727867146576,46946.428037272504,5.663533014869124,6.9425754815794765
AP0355,387583.8883736851,58052.56978565473,51003.1489938683,6.676429481153827,7.599214872404863
AP0356,334975.71219572605,47868.273123970925,51254.78165046008,6.997864981011416,6.535501691923005
AP0357,348426.82903994765,60989.15463534099,48681.377998863936,5.712930948514034,7.157291830319158
AP0358,363831.6145866113,46072.40341839119,47695.74165925425,7.896953221272083,7.628178154475101
AP0359,342164.1732256054,54230.097971666604,46162.64201249861,6.309488384187958,7.412144502755364
AP0360,334488.7597612227,57830.870669313284,46610.86393631783,5.783913606867275,7.176197382185804
AP0361,311318.6059858276,57844.22546018296,44119.53600645632,5.382017020871403,7.05625294745326
AP0362,358566.71763796156,51580.85828602041,52591.11398537419,6.9515461656275175,6.81800955457381
