Batch,orden_inicio,sn_pct_inicio,avance_inicio,perdida_feo_total,hubo_perdida,rendimiento_proxy_batch,f_dross,f_metal,f_polvo,es_lockbox,st_R22_sdi
AP0114,0.0,15.7152,0.8116185550395748,0.23858826669193184,1,64.61897281426242,0.15708538681302708,0.6461897281426243,0.19672488504434868,False,0.3360972369115518
AP0115,0.0,15.1295,0.8266472189234998,0.3121871361135912,1,65.30617057079391,0.17933117655326905,0.6530617057079391,0.16760711773879178,False,0.2509336227310619
AP0116,1.0,3.0647,0.9645354014737133,0.1872118314716519,1,71.17108673377778,0.1363934267501689,0.7117108673377779,0.15189570591205312,False,1.0869735612027807
AP0117,0.0,8.6292,0.9005180293514297,0.31701136588256745,1,61.25568977870816,0.18440033809326214,0.6125568977870816,0.20304276411965624,False,0.662225075237227
AP0118,0.0,11.9669,0.8506780331640974,0.42213684519072725,1,65.27657038031192,0.15591018673349127,0.6527657038031193,0.19132410946338943,False,-0.9369055963022035
AP0119,0.0,14.8796,0.8143688462194547,0.22805915553599743,1,67.34192726605917,0.1747367886643327,0.6734192726605918,0.1518439386750755,False,0.5915897898515315
AP0120,0.0,14.0376,0.823965284770554,0.3289102867531991,1,68.49535442370555,0.14950643077353729,0.6849535442370555,0.16554002498940718,False,0.2452225572729798
AP0121,0.0,15.186,0.7945206518236975,0.4595608285602704,1,67.45212522669513,0.14098574866345623,0.6745212522669514,0.18449299906959235,False,-1.4202085938538664
AP0122,0.0,11.8674,0.8580900487839542,0.3433007904135048,1,70.19702705991743,0.1415617786559881,0.7019702705991743,0.15646795074483746,False,0.3343790382438834
AP0123,0.0,8.6711,0.9020586728732596,0.1808950094546984,1,71.38927536616988,0.09711335760622933,0.7138927536616989,0.1889938887320717,False,-0.034530286383376185
AP0124,0.0,13.4064,0.8345884464465795,0.3706046952082316,1,70.91459476986874,0.12545983982435388,0.7091459476986873,0.16539421247695874,False,-1.1337012492674132
AP0125,0.0,20.2633,0.7570823543603072,0.24209426274919346,1,64.66488603060837,0.19046399806576092,0.6466488603060837,0.16288714162815537,False,0.9872469543118926
AP0126,0.0,17.7437,0.7546594860364857,0.3346767148158841,1,64.97174973309644,0.10105017716390223,0.6497174973309645,0.2492323255051333,False,-0.09804458548728029
AP0127,0.0,16.5417,0.7828852754097929,0.32570354627447456,1,68.99600333422,0.12968348784886813,0.6899600333422001,0.18035647880893171,False,-0.12099918208118843
AP0128,0.0,16.93,0.7885630403555031,0.20343477274746954,1,63.3889067796939,0.16629229278493315,0.633889067796939,0.1998186394181278,False,0.784617361026833
