n,esquema,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,r_parcial,p_perm_unilateral,sd_score_pp,kpi_tercio_bajo,kpi_tercio_alto,beta_medio,beta_sd_folds,spec,signos,muestra
298,gkf,0.7639532820418228,0.4295781194025317,1.778380340005093,0.03767070469564681,0.10552586537412915,0.06889845186281969,0.09520170215973196,0.046476761619190406,0.561702841419987,-0.23242730566950132,0.5637030057051587,{'xG_hot': np.float64(-1.1966)},{'xG_hot': np.float64(0.2897)},M3_Ghot,True,DEV
298,crono,0.4668383113678003,0.30242607161114166,1.5436443983839438,0.06133725148817678,0.10734332619363257,0.0642277353983442,0.07724222007947804,0.08245877061469266,0.7513092167331479,-0.23242730566950132,0.5637030057051587,{'xG_hot': np.float64(-1.1291)},{'xG_hot': np.float64(0.4349)},M3_Ghot,True,DEV
361,crono,0.29600337513468045,0.25974559084747245,1.1395896044622342,0.12722865914899079,0.06632487004076051,0.20868601291218972,0.052370606564620725,0.1549225387306347,0.7951588798116503,-0.18945454962284353,0.5966729493866941,{'xG_hot': np.float64(-1.1573)},{'xG_hot': np.float64(0.5489)},M3_Ghot,True,TOTAL
361,gkf,0.7656990502003306,0.4804055831877683,1.5938595990485278,0.05548374254442183,0.06919698198680765,0.18960255573678578,0.08058181868151533,0.06596701649175413,0.46943471047432656,-0.18945454962284353,0.5966729493866941,{'xG_hot': np.float64(-1.1138)},{'xG_hot': np.float64(0.2416)},M3_Ghot,True,TOTAL
298,gkf,0.6283838363865318,0.3214087675936769,1.955092392441923,0.025286083019007408,0.1250826144318995,0.03087573325991482,0.11408637905080149,0.02148925537231384,0.8230366895315521,-0.7787210048358675,0.761820751749208,"{'xG_hot': np.float64(-1.2606), 'xG_cold': np.float64(-1.0301), 'xC': np.float64(1.0058)}","{'xG_hot': np.float64(0.3093), 'xG_cold': np.float64(0.3368), 'xC': np.float64(0.3288)}",M4_Ghot+Gcold+C,False,DEV
298,crono,0.5255031747245935,0.26559909475016685,1.9785578532144579,0.023932904441544344,0.12546624014380067,0.030361358306045146,0.11650134236802931,0.017991004497751123,1.0044237205234856,-0.6585527184473534,0.6088585775685127,"{'xG_hot': np.float64(-1.2067), 'xG_cold': np.float64(-1.0328), 'xC': np.float64(0.9027)}","{'xG_hot': np.float64(0.3703), 'xG_cold': np.float64(0.3925), 'xC': np.float64(0.2879)}",M4_Ghot+Gcold+C,False,DEV
361,crono,0.3809978057898164,0.23974603925163257,1.5891724717501123,0.056010729808799245,0.06580120700121923,0.2123098445385657,0.07546353036096062,0.07296351824087956,0.8945697066519435,-0.3559450400147075,0.44242624646858525,"{'xG_hot': np.float64(-1.2679), 'xG_cold': np.float64(-0.2224), 'xC': np.float64(1.0486)}","{'xG_hot': np.float64(0.4985), 'xG_cold': np.float64(0.2667), 'xC': np.float64(0.1516)}",M4_Ghot+Gcold+C,False,TOTAL
361,gkf,0.6163362124604101,0.32205569297051095,1.9137566138812054,0.027825630750983568,0.08920738892885018,0.09056252489061777,0.09524930213064664,0.037481259370314844,0.7109828165426025,-0.3121627548258831,0.4773024638063771,"{'xG_hot': np.float64(-1.2258), 'xG_cold': np.float64(-0.2363), 'xC': np.float64(1.1856)}","{'xG_hot': np.float64(0.2632), 'xG_cold': np.float64(0.2214), 'xC': np.float64(0.2603)}",M4_Ghot+Gcold+C,False,TOTAL
298,gkf,0.6289746625530289,0.32135108270414225,1.9572819150328051,0.025157166282154645,0.12513657596820713,0.030802933435988153,0.1142204737118702,0.02148925537231384,0.8232213264841489,-0.7787210048358675,0.761820751749208,"{'xG_hot': np.float64(-1.261), 'xG_cold': np.float64(-1.0301), 'xC': np.float64(1.0058)}","{'xG_hot': np.float64(0.3073), 'xG_cold': np.float64(0.3368), 'xC': np.float64(0.3288)}",M4_Ghot+Gcold+C,True,DEV
298,crono,0.5255031747245935,0.26559909475016685,1.9785578532144579,0.023932904441544344,0.12546624014380067,0.030361358306045146,0.11650134236802931,0.017991004497751123,1.0044237205234856,-0.6585527184473534,0.6088585775685127,"{'xG_hot': np.float64(-1.2067), 'xG_cold': np.float64(-1.0328), 'xC': np.float64(0.9027)}","{'xG_hot': np.float64(0.3703), 'xG_cold': np.float64(0.3925), 'xC': np.float64(0.2879)}",M4_Ghot+Gcold+C,True,DEV
361,crono,0.3809978057898164,0.23974603925163257,1.5891724717501123,0.056010729808799245,0.06580120700121923,0.2123098445385657,0.07546353036096062,0.07296351824087956,0.8945697066519435,-0.3559450400147075,0.44242624646858525,"{'xG_hot': np.float64(-1.2679), 'xG_cold': np.float64(-0.2224), 'xC': np.float64(1.0486)}","{'xG_hot': np.float64(0.4985), 'xG_cold': np.float64(0.2667), 'xC': np.float64(0.1516)}",M4_Ghot+Gcold+C,True,TOTAL
361,gkf,0.6163362124604101,0.32205569297051095,1.9137566138812054,0.027825630750983568,0.08920738892885018,0.09056252489061777,0.09524930213064664,0.037481259370314844,0.7109828165426025,-0.3121627548258831,0.4773024638063771,"{'xG_hot': np.float64(-1.2258), 'xG_cold': np.float64(-0.2363), 'xC': np.float64(1.1856)}","{'xG_hot': np.float64(0.2632), 'xG_cold': np.float64(0.2214), 'xC': np.float64(0.2603)}",M4_Ghot+Gcold+C,True,TOTAL
