Batch,idx_cronologico,es_dev,fecha_batch,kpi_a_refinado,kpi_b_sinpolvo,kpi_c3_polvosuav,kpi_c5_polvosuav,kpi_d3_todosuav,kpi_e_legado,kpi_f_real,kpi_g_controlable,kpi_h_medido_cargado,kpi_g_dross_frac,kpi_g_escoria_frac,M_kg,D_kg,P_kg,E_kg,cierre_sn_frac,x_R_gn,x_R_carbon,x_F_carbon,x_F_exo2
AP0140,140,True,2026-06-06 16:06:00,68.84378136709238,79.7451538674597,66.92879085483868,65.83435440944257,66.21104223256239,65.0943601111582,70.76614668924803,82.51404466420249,101.14544544907235,0.15883780546634857,0.016021747891626414,35762.16,8251.12,7101.268024000001,832.2789658005187,-0.027923587054364814,0.24398129841602634,-0.12033375842386138,-0.039859358135313196,0.06215014023243418
AP0141,141,True,2026-06-06 23:45:00,61.34493885522402,75.99268342346579,64.42654908900867,64.84515880223896,67.15343501602486,67.0268243468147,67.08000764224133,80.62014260953532,107.68084901551849,0.17854430231388074,0.015254271590766064,35040.880000000005,10198.64,11010.200912,871.3401794415903,-0.09348886630325356,0.24348202866133892,0.11522259271678854,-0.16180799968932102,-0.055124236043294854
AP0142,142,True,2026-06-07 07:49:00,72.7087098384054,84.49354470919447,70.41307134108607,70.56825380351363,68.25909232398608,72.24894886095439,65.74364385924055,86.6563254951393,89.37696810292125,0.12189489226435855,0.011541852784248461,35044.8,5875.2,6722.59764,556.3046344136608,0.09579410767492154,0.6089594580766443,0.2950685732442748,0.43982025615799697,-0.11053649409624873
AP0143,143,True,2026-06-07 15:50:00,71.78918788350337,84.61342074441153,71.10397771793593,70.0977915147344,71.24829438227137,70.57930648970768,66.0579465681609,86.94545121393392,91.14687946005121,0.12109405839501475,0.009451429465646054,33862.920000000006,5712.000000000001,7149.200984,445.82340226523297,0.07983432442003523,0.022883870828766244,-0.0835981285225644,-0.2966545715097053,0.05322506573664579
AP0144,144,True,2026-06-07 23:20:00,69.36942509591199,83.00668045032992,70.71868083697927,71.48757698583802,68.37819263714856,66.78791001627901,72.63356061147158,85.7985308985206,103.88918827399112,0.13421901138367742,0.0077956796311166275,37745.68,7303.200000000001,8939.497039999998,424.1828850848973,-0.04705438326822674,-0.6127940219402812,0.10014089638279396,0.15777009590226054,-0.04817613536417962
AP0145,145,True,2026-06-08 06:59:00,64.20639493664603,74.77098949554116,64.23876838899456,64.47157701717846,68.4445021328776,68.25776006464383,65.54895759982028,78.33566436342701,101.0510106306153,0.20645636558348304,0.010186990782246814,34605.759999999995,11127.519999999999,7615.349020000001,549.0552124605248,-0.020910108167558585,0.31301360681580215,-0.194503142034161,0.38487356754561236,-0.0073278906353236445
AP0146,146,True,2026-06-08 14:48:00,72.30912519264164,82.17471403956725,71.27540868571103,70.17824006468379,69.65075020610149,72.31812448022168,72.39769974671458,84.31475120817645,99.434342134591,0.14997938545953282,0.00687310245870273,37400.72,7757.439999999999,6209.714968000001,355.50005605020283,-0.0012249429631041662,0.10168997698817919,0.20993778343325836,-0.07658672877006868,-0.004743703539719247
AP0147,147,True,2026-06-08 22:15:00,72.32712376780174,83.95697270233872,71.77151222190875,71.63369017201391,73.97970620359065,74.47442525831347,69.37457559199119,86.17927750822956,95.08175952429556,0.129491154295427,0.008716070622277429,36834.28,6594.640000000001,7054.533388000001,443.88628923146075,0.04082214281449069,-0.4919154373656998,-0.07314209273320246,0.5359327835364985,1.1255377803329563
AP0148,148,True,2026-06-09 06:13:00,76.62172674882521,91.02184681330311,78.1341925464332,78.83914181664292,74.18756912322306,75.33264323848988,83.9674901605705,92.44223640516552,108.08330933776129,0.06185575124629848,0.01372188470204643,43986.32,3550.96,9082.097596000001,787.7337631477656,-0.09587050205518804,0.035283523014110724,-0.2234660184111958,0.5376385802463418,0.016466387427282254
AP0149,149,True,2026-06-09 13:50:00,74.04355972815453,85.39298502456708,73.73045477072328,72.88100291818387,73.10996114126567,70.8271417091702,81.09581413475385,87.33437664144942,108.32879061422067,0.11573925392420269,0.01091697966130296,43319.920000000006,6771.4400000000005,7775.924436,638.7087375398646,-0.09524466992796073,0.34683461639827606,0.1672085627931371,-0.16353469794586176,-0.0550287224029109
AP0150,150,True,2026-06-09 21:27:00,67.61072369018586,79.45925529004126,65.02858514834735,64.74594348609256,66.39369119733432,61.91698450440305,70.3328094370143,82.52217932440496,102.683199784373,0.16186879844668256,0.012909408309267924,32714.36,7832.240000000001,7215.108804000001,624.6391219706544,-0.040261153826749704,-0.30570551603515594,-0.23139130606384548,-0.382884365315402,-0.0030939677261549933
AP0151,151,True,2026-06-10 04:34:00,56.22324531862023,73.46075908393425,58.945597376557195,59.76499198140036,64.32096742317198,63.231496109109976,63.15910533862588,79.68817268973399,110.02375518965191,0.18253249148623507,0.020585781616425065,29754.76,9660.079999999998,12418.231612,1089.4515034447531,-0.12336285429095667,0.08580339531129273,-0.519733538831759,0.031699482119171805,-0.46871546646147005
AP0152,152,True,2026-06-10 12:19:00,70.23974689959972,86.48843269843942,70.00436442885288,70.90345560126352,64.67197923577064,68.70047311235695,73.7763491051641,89.02686708652028,103.68724551409471,0.09689943516904997,0.012831893965747286,38466.96,5306.72,10288.809863999999,702.7416437166222,-0.050350440621882965,-0.1278724978233386,0.014201920803985843,-0.3530005417602249,0.013857720866304726
AP0153,153,True,2026-06-10 19:46:00,67.16119932511415,80.84472506158727,65.8343693070906,65.61404923509369,67.17735983410633,65.26531016419275,68.94541365682505,84.08688708773445,101.59190720812866,0.1487595855976866,0.010371543524968775,34568.52,7656.799999999999,8711.815480000001,533.8333939484696,-0.02656614756198525,-0.2873569777045319,0.056468135391130964,0.04665558877264483,0.09262397816318962
AP0154,154,True,2026-06-11 03:08:00,63.36942100327135,79.97325386532901,65.04774571195492,65.25091784673194,65.73603889143335,64.87266086964874,62.64163153414071,84.13115328193753,97.49274728149427,0.1449429429886832,0.013745524191941427,31275.72,7153.6,10246.868524000001,678.4047559124665,0.011484868531354733,-1.00577472432337,-0.03410195476186331,-0.2385097737505348,-0.06726287496127244
AP0155,155,True,2026-06-11 10:58:00,66.37590073602613,78.17806643817202,65.86259030905651,64.88679728041546,65.64931137765838,67.16808826694836,64.81252050857003,81.4724185189004,95.84761287339906,0.16687189963361354,0.018403915177382466,35005.6,8800.560000000001,7961.664656,970.5933719762126,0.023553431443041097,-0.7042015771386188,-0.2665899986687946,-0.5702313912684831,-0.01378896206968072
AP0156,156,True,2026-06-11 18:36:00,67.9602757978706,79.2685011428155,65.19093334077857,65.36281190762075,68.30489492082859,69.08410091354246,65.52271965813638,82.2259994862386,95.04351172263108,0.1635329183696697,0.01420708676794423,32916.240000000005,7920.639999999999,6909.536184000001,688.1135667332435,0.03586736679798165,0.053583911138349885,-0.08829356293121843,-0.04252996873047279,-0.03334417590794944
