n,esquema,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,r_parcial,p_perm_unilateral,sd_score_pp,kpi_tercio_bajo,kpi_tercio_alto,beta_medio,beta_sd_folds,spec,muestra
298,gkf,0.4738730163304389,0.7665139358235721,0.6182183965400335,0.26821569246982213,0.07052478047517441,0.22480814068401483,0.04173270236361952,0.23975204959008198,0.3938356412701045,-0.5205228155880652,0.15123810744918914,{'xG_late_gate': np.float64(-1.0166)},{'xG_late_gate': np.float64(0.3731)},P4_Glate_gate,DEV
298,crono,0.7578081597537447,0.7867895914017694,0.9631649529115015,0.16773237501639238,0.08137921152219373,0.16114112306211412,0.06510756426694801,0.1347730453909218,0.38544844587045574,-0.6109101078474414,-0.03321404173954854,{'xG_late_gate': np.float64(-0.9682)},{'xG_late_gate': np.float64(0.2748)},P4_Glate_gate,DEV
361,gkf,-3.8399943261922687,1.6632896763272271,-2.3086744184401513,0.9895191725359775,-0.03790601102931798,0.47277301868426236,-0.09766079349606957,0.968006398720256,0.11303337311851595,-0.21539943311390158,-0.19096917744516867,{'xG_late_gate': np.float64(-0.2884)},{'xG_late_gate': np.float64(0.304)},P4_Glate_gate,TOTAL
361,crono,-3.460363078966187,1.268643856101467,-2.7276079589427535,0.9968102310963053,-0.0808757135642246,0.12507324939216172,-0.10730152024353183,0.9754049190161967,0.1393670448149295,-0.016123889043289655,-0.5666213987916708,{'xG_late_gate': np.float64(-0.2411)},{'xG_late_gate': np.float64(0.3486)},P4_Glate_gate,TOTAL
63,holdout,-4.8177368418818896,,-3.259641963505231,0.9994422353131813,,,,,0.34167632442460816,,,{'xG_late_gate': -1.005},,P4_Glate_gate,LOCKBOX(beta DEV)
298,gkf,0.8082591565642776,0.4385030983829681,1.8432233649997654,0.032648202418064515,0.12821963887035376,0.026880075086636545,0.112673945522285,0.02519496100779844,0.6245925859840173,-0.6305019581770819,0.6614699174054669,{'xG_gate': np.float64(-0.9979)},{'xG_gate': np.float64(0.2146)},P5_Ggate,DEV
298,crono,0.8533709359401451,0.43393164450394195,1.9666022212224092,0.024614543600997102,0.12416889598097651,0.03213092734299258,0.11368516604011154,0.02399520095980804,0.6004858978845048,-0.684260042449285,0.5819667685808653,{'xG_gate': np.float64(-0.905)},{'xG_gate': np.float64(0.2033)},P5_Ggate,DEV
361,gkf,0.4748575543345259,0.752632268801617,0.6309290393443009,0.2640434616767836,0.06017482642342989,0.2541237815067508,0.0338743960503816,0.261747650469906,0.31646369057940404,-0.21037366314300585,0.2089265625161372,{'xG_gate': np.float64(-0.5292)},{'xG_gate': np.float64(0.1743)},P5_Ggate,TOTAL
361,crono,-0.10832486610008848,0.762579453521098,-0.1420505963016895,0.5564799796061911,0.03944205526902455,0.45500875902183335,-0.0072114244733680125,0.5590881823635273,0.29559685589420387,-0.013478559751606806,0.42080632882111163,{'xG_gate': np.float64(-0.4775)},{'xG_gate': np.float64(0.2467)},P5_Ggate,TOTAL
63,holdout,-2.9400717991063705,,-2.633919492160776,0.9957797250589652,,,,,0.45217230439210904,,,{'xG_gate': -0.987},,P5_Ggate,LOCKBOX(beta DEV)
298,gkf,0.3525444646619645,0.44312780993054307,0.7955818993107726,0.21313754539153834,0.07000012923561215,0.2282846024557242,0.04518827498746549,0.22295540891821636,0.5836573470671956,-0.48336071262531577,0.48900446422286376,"{'xG_late_gate': np.float64(-1.1612), 'xC_late': np.float64(1.0508), 'xC_early': np.float64(0.433)}","{'xG_late_gate': np.float64(0.3973), 'xC_late': np.float64(0.3273), 'xC_early': np.float64(0.5187)}",P6_Glate_gate+Clate+Cearly,DEV
298,crono,0.590374610953614,0.49494000561252616,1.1928205525091475,0.11646982956628205,0.10059632032202794,0.08297777869278052,0.07279725993279498,0.10617876424715057,0.5622276019427028,-0.9389165293606812,0.49396035102416364,"{'xG_late_gate': np.float64(-1.1108), 'xC_late': np.float64(0.9533), 'xC_early': np.float64(0.3555)}","{'xG_late_gate': np.float64(0.3327), 'xC_late': np.float64(0.2275), 'xC_early': np.float64(0.5562)}",P6_Glate_gate+Clate+Cearly,DEV
361,gkf,0.19844025913727634,0.5421741765071795,0.3660083193479957,0.3571794338658343,0.06624503247067945,0.20923559887746654,0.021645944801139638,0.34713057388522295,0.5134377034477019,-0.3804164474736232,0.14925112465987248,"{'xG_late_gate': np.float64(-0.4226), 'xC_late': np.float64(1.093), 'xC_early': np.float64(1.0178)}","{'xG_late_gate': np.float64(0.3138), 'xC_late': np.float64(0.2628), 'xC_early': np.float64(0.4216)}",P6_Glate_gate+Clate+Cearly,TOTAL
