muestra,outcome,n,termino,coef,se_hc3,t,p_hc3,ci_lo_boot,ci_hi_boot
TOTAL,f_polvo,361,xG_x_zT,0.6228347679299672,0.4898161709562243,1.2715684063963477,0.2035265080173485,-0.1841578036775609,1.5963523435082487
TOTAL,f_polvo,361,xC_x_zT,0.7823525791967215,0.8421948351264597,0.928944878983077,0.3529176531203899,-0.8331045145141195,2.4597604024795787
TOTAL,f_polvo,361,xG_x_zidx,-0.015189507633830602,0.48065097411596164,-0.03160194913110899,0.9747894889857595,-0.8715348622492535,0.9628305153409424
TOTAL,f_polvo,361,xC_x_zidx,0.6554760975073686,0.7380153753389356,0.8881604901609799,0.3744544281432136,-0.7008021997188072,2.2130288939584357
TOTAL,f_metal,361,xG,-0.7326307763626511,0.3776023529908898,-1.940217719936525,0.05235323589082644,-1.491380783397874,-0.1101009782030218
TOTAL,f_metal,361,xC,1.3591048305726996,0.6518849457903618,2.0848845173512736,0.03707978439231359,0.39815528170964015,2.7398122053442617
TOTAL,f_metal,361,xG_x_zT,0.42995584801063286,0.6321097934389242,0.6801917206052214,0.49638307405290927,-0.9563465257676005,1.5538853584106893
TOTAL,f_metal,361,xC_x_zT,-1.8605985956892892,1.2787873438549668,-1.454971074455917,0.14567726950823517,-4.354964221116364,0.1324727984324071
TOTAL,f_metal,361,xG_x_zidx,0.9685169347693575,0.6396862568543983,1.5140499336846092,0.1300131754226053,-0.35944370603977716,2.139499910966699
TOTAL,f_metal,361,xC_x_zidx,-1.094490120432899,1.1499538894663448,-0.9517687017353498,0.34121429830982575,-3.3142415395120493,0.725801448410973
TOTAL,sn_perdido_escoria_frac,361,xG,-0.11290866828542474,0.08090189938109293,-1.3956244432972102,0.16282761775566013,-0.2630790186208517,0.04029949243705382
TOTAL,sn_perdido_escoria_frac,361,xC,-0.21933794464551618,0.11293625489053426,-1.9421393498315833,0.052120232960567614,-0.421514040486846,-0.006970785961752144
TOTAL,sn_perdido_escoria_frac,361,xG_x_zT,0.0011083415255718394,0.0864426279319646,0.012821700960366094,0.9897700430552874,-0.16251330890554527,0.15785199651640333
TOTAL,sn_perdido_escoria_frac,361,xC_x_zT,-0.09411546197326277,0.24101270741410732,-0.39049999887165227,0.696166856139633,-0.44177022891800555,0.3361489183730899
TOTAL,sn_perdido_escoria_frac,361,xG_x_zidx,0.032577426930851354,0.10112452370557526,0.3221515982186552,0.7473378503683541,-0.16003186450572027,0.2081341049515171
TOTAL,sn_perdido_escoria_frac,361,xC_x_zidx,-0.1075170833184895,0.2321390789727456,-0.46315805074384997,0.6432510824512492,-0.4197965674752212,0.31678652004751323
