W,tmin,paso,muestra,n,frac_score_no_nulo,pendiente,t,p_uni,spearman,kpi_tercio_bajo,kpi_tercio_alto
150,1.64,10,DEV,148,0.8,0.4897279402110182,0.9365314018208792,0.17449982624853178,0.12889440402012062,-0.8260514719694103,0.8427989010399983
150,1.64,10,LB,63,0.21,-1.3648894017736908,-2.2281707819905554,0.987065435668398,-0.27662534879273093,-0.21668878243408227,-1.1642482670733911
150,1.64,25,todo,211,0.47,0.38712268381847376,0.6615283079374809,0.25413678339918866,0.09720698367380796,-0.42669660722710007,0.1573766077843071
150,1.64,25,DEV,148,0.66,0.436293660603589,0.7266706541420874,0.23371386729691662,0.13941429003553776,-1.3099291786743017,0.33809804578079056
150,1.64,25,LB,63,0.03,-3.0828167028494713,-0.24206631036205897,0.5956356087912816,-0.2838338297981126,-0.21668878243408227,-0.580053651474872
expansiva,0.0,10,todo,261,1.0,0.5589500492555579,1.2765378677993866,0.10088272475299093,0.1447756157153367,-0.7012516683694168,0.6536885523919005
expansiva,0.0,10,DEV,198,1.0,1.0330736610479359,1.8252391885979309,0.03398247121403053,0.18218843795967996,-0.9852434092295995,1.1660669567386925
expansiva,0.0,10,LB,63,1.0,-0.8070561467987796,-1.0910505312900611,0.8623746758236662,-0.10983102918586789,0.4248836495083895,0.0785180149114737
expansiva,0.0,25,todo,261,1.0,0.5742007746297653,1.2689957035966153,0.10222129820808135,0.15170591451191612,-0.8793285973155158,0.5200813866951892
expansiva,0.0,25,DEV,198,1.0,1.0512642087602382,1.7560044005471913,0.039543828587306,0.19191558469164774,-1.1296274088682454,1.138726322912347
expansiva,0.0,25,LB,63,1.0,-0.6655382028196617,-0.8834173137493665,0.8114945802051706,-0.10752688172043011,0.1225235270334444,0.14571463386737094
expansiva,1.0,10,todo,261,0.89,0.5077914998973649,1.1457312459329565,0.12595318553640467,0.13193709584899257,-0.9459259267158309,0.6111733978600836
expansiva,1.0,10,DEV,198,0.85,0.9565367745534906,1.646492808726393,0.049831169717178825,0.1637601723780957,-1.1016881218807635,0.7582564240606567
expansiva,1.0,10,LB,63,1.0,-0.8070561467987796,-1.0910505312900611,0.8623746758236662,-0.10983102918586789,0.4248836495083895,0.0785180149114737
expansiva,1.0,25,todo,261,0.81,0.5049847574551702,1.0964493393259693,0.13644109101982682,0.12389878942103294,-0.9021259667945039,0.5101871087718111
expansiva,1.0,25,DEV,198,0.75,0.9569614338792181,1.5571111945844405,0.05972204382472563,0.15056525604923643,-1.068552301841749,0.5046533370024626
expansiva,1.0,25,LB,63,1.0,-0.6655382028196617,-0.8834173137493665,0.8114945802051706,-0.10752688172043011,0.1225235270334444,0.14571463386737094
expansiva,1.64,10,todo,261,0.77,0.304734454528816,0.6890339761253176,0.2454009433699439,0.07278798783276208,-0.5412953502360246,0.314004368185241
expansiva,1.64,10,DEV,198,0.7,0.7808307893695287,1.3455461614737971,0.08922446231176856,0.11382769633176511,-1.0347692303597404,0.44885607460536636
expansiva,1.64,10,LB,63,1.0,-0.9844076753170157,-1.351958171901731,0.9118056517415793,-0.1429531490015361,0.6839536172089228,0.0785180149114737
expansiva,1.64,25,todo,261,0.71,0.2608413116782597,0.5323702068463677,0.29723480783845496,0.04694898195933059,-0.5686621960829508,0.2870511596261649
expansiva,1.64,25,DEV,198,0.62,0.7847850174490911,1.2414365849902507,0.10722225553833548,0.12180121555007875,-0.9785077842113392,0.9133870245943828
expansiva,1.64,25,LB,63,1.0,-0.9480749773106814,-1.2056848687472088,0.8860304892536459,-0.18802803379416283,0.7166001311960132,-0.6428919713521873
