Batch,orden_escalon_fase,residuo_ln_masa,R,z_residuo,flag_qc
AP0251,3,-0.01804412832844804,True,1.5594002683298704,False
AP0252,0,-0.06838544668723223,True,0.48957151299528223,False
AP0252,1,-0.12472299649698115,True,-0.31698186379030374,False
AP0252,2,-0.11410712142745183,True,-0.15177802409525326,False
AP0252,3,-0.1326626400551696,True,-0.42867383958155314,False
AP0253,0,-0.0747993819425048,True,0.35579091437465726,False
AP0253,1,-0.06972541884431216,True,0.6389689375919945,False
AP0253,2,-0.07520766189712624,True,0.520903037851703,False
AP0253,3,-0.05833227797069718,True,0.8605966810839956,False
AP0254,0,-0.09954943551585416,True,-0.16044082965695747,False
AP0254,1,-0.12567397189724616,True,-0.33351142263232064,False
AP0254,2,-0.12586824824719756,True,-0.35516098556369413,False
AP0254,3,-0.1173754524400561,True,-0.16351543346951602,False
AP0255,0,-0.015642718817984402,True,1.5896689456022548,False
AP0255,1,-0.06963395867414235,True,0.6405586698438502,False
AP0255,2,-0.0428687639851848,True,1.0801335375104448,False
AP0255,3,-0.06870341140007419,True,0.6807079220168846,False
AP0256,0,-0.1156505600578992,True,-0.4962749149682046,False
AP0256,1,-0.08890521422306996,True,0.30559169544390796,False
AP0256,2,-0.0981001690203005,True,0.12502720337539233,False
AP0257,0,-0.10166170906993699,True,-0.20449821553147515,False
AP0257,1,-0.10465162070865297,True,0.03189255193164832,False
AP0257,2,-0.1011666977937935,True,0.07199829611676989,False
AP0257,3,-0.08528589942252474,True,0.3930823492753094,False
AP0258,0,-0.13435563608164713,True,-0.886421707554585,False
AP0258,1,-0.1297561292758278,True,-0.40446621344271927,False
AP0258,2,-0.12246897418687297,True,-0.2963779764330594,False
AP0258,3,-0.13511074818351432,True,-0.471136617277828,False
AP0259,0,-0.14112510785997578,True,-1.0276180169663096,False
AP0259,1,-0.1789809020312525,True,-1.260075914302447,False
AP0259,2,-0.1395031513056182,True,-0.5909468082878339,False
AP0259,3,-0.22241794722268438,True,-1.9854921888968684,False
AP0260,0,-0.0631192465107322,True,0.5994128793372748,False
AP0260,1,-0.0777898273908928,True,0.4987958946724597,False
AP0260,2,-0.06601420484870779,True,0.6798837672747602,False
AP0260,3,-0.06452875371852329,True,0.7531179430601954,False
AP0261,1,0.0,True,1.850914497119777,False
AP0261,2,-0.003719251213007979,True,1.7571387232962075,False
AP0261,3,0.0013690193455389021,True,1.8961240284126541,False
AP0262,0,0.02500455524232592,True,2.4374817843138348,True
AP0262,1,-0.6147088699791006,True,-8.83376402789542,True
AP0262,2,0.04518280235547856,True,2.6027927689569577,True
AP0262,3,0.03785482449123201,True,2.5289754188529567,True
AP0263,0,-0.027887277482152584,True,1.3342743519959044,False
AP0263,1,-0.029538988043588787,True,1.3374769877330257,False
AP0263,2,0.06909684379978565,True,3.016333804961819,True
AP0263,3,0.04992114074000398,True,2.738267360884532,True
AP0264,0,-0.014989984854334892,True,1.6032835420896858,False
AP0264,1,0.005264299868080968,True,1.9424169212699889,False
AP0264,2,0.059684697342841986,True,2.8535713205905058,True
AP0265,0,-0.0004448888679640106,True,1.9066622901759815,False
AP0265,1,-0.17884682220843118,True,-1.2577453804944907,False
AP0265,2,-0.1484454896128291,True,-0.7455849883914442,False
AP0265,3,-0.16376230993636298,True,-0.9681019609552401,False
AP0266,0,-0.16467611207635358,True,-1.5188402256086377,False
AP0266,1,-0.184829540725584,True,-1.3617351343166648,False
AP0266,2,-0.14292656754547473,True,-0.6501473036036585,False
AP0266,3,-0.13114563068135432,True,-0.40236109993674113,False
AP0267,0,0.027773534972176606,True,2.495236618294001,True
AP0267,1,-0.13998076668987913,True,-0.5821876831324204,False
AP0267,2,-0.1274386307117723,True,-0.3823173151550986,False
AP0268,0,0.0022528834756734284,True,1.9629318945155791,False
AP0268,1,-0.13760863795429046,True,-0.5409560787136043,False
AP0268,2,-0.17036897347948354,True,-1.1247036853363483,False
AP0268,3,-0.15963839921153067,True,-0.8965721529699043,False
AP0269,0,0.029696949054690336,True,2.5353548104978434,True
AP0269,1,0.04251351881698895,True,2.589871267895112,True
AP0269,2,-0.1422894116975204,True,-0.6391290869599673,False
AP0269,3,-0.12692104711110908,True,-0.3290851073751092,False
AP0270,0,-0.19346814593548167,True,-2.1193787985562023,True
AP0270,1,-0.16407649217195797,True,-1.001012094453803,False
AP0270,2,-0.14872018719664482,True,-0.7503352822162557,False
AP0270,3,-0.1394823991451588,True,-0.5469635143011757,False
AP0271,0,-0.16136019790436507,True,-1.4496775407283107,False
AP0271,1,-0.1692858031541853,True,-1.0915587188807818,False
AP0271,2,-0.15294361371009302,True,-0.8233702052312256,False
AP0271,3,-0.14195745158898987,True,-0.589893644915987,False
AP0272,0,-0.15262744722186916,True,-1.267531546512264,False
AP0272,1,-0.14975565819775127,True,-0.7520918092629996,False
AP0272,2,-0.125411149114397,True,-0.3472564559434919,False
AP0272,3,-0.1239086039654449,True,-0.276833859917549,False
AP0273,2,0.0,True,1.821455037348419,False
AP0274,0,-0.1572180217695358,True,-1.3632808465218962,False
AP0274,1,-0.14767432222379995,True,-0.71591467424789,False
AP0274,2,-0.13752596184231436,True,-0.5567556415234554,False
AP0274,3,-0.12255305219473023,True,-0.25332162496795635,False
AP0275,0,0.018136189737909092,True,2.294222769036,True
AP0275,1,-0.17594048986800281,True,-1.207228415048087,False
AP0275,2,-0.15194706321901918,True,-0.8061370443926618,False
AP0275,3,-0.12147777538078941,True,-0.2346707983219945,False
AP0276,0,-0.1826267468852638,True,-1.8932510318889373,False
AP0276,1,-0.1606383312364752,True,-0.941251049661741,False
AP0276,2,-0.1179330094775608,True,-0.2179383889823572,False
AP0277,0,-0.13544870359482353,True,-0.9092206945143125,False
AP0277,1,-0.13525522351830688,True,-0.5000497604340756,False
AP0277,2,-0.09563506084122864,True,0.16765585703109284,False
AP0277,3,-0.1404798009108461,True,-0.5642635873493741,False
AP0278,0,-0.02372638698804863,True,1.4210613866231256,False
AP0278,1,-0.0604013822209577,True,0.801036444246645,False
AP0278,2,-0.0894711628190592,True,0.2742469901046318,False
AP0278,3,-0.06726574302204291,True,0.7056444809990987,False
AP0279,0,-0.10311004777183719,True,-0.2347073789910451,False
AP0279,1,-0.07945210599413954,True,0.46990268463092144,False
AP0279,2,-0.0400963112295436,True,1.1280770433169605,False
AP0279,3,-0.04667542849600359,True,1.062786364681644,False
AP0280,0,-0.03504672215041538,True,1.1849440648334195,False
AP0280,1,-0.024407830808227615,True,1.4266651680223452,False
AP0280,2,-0.041174240002561646,True,1.1094366231031094,False
AP0280,3,-0.036533282422029245,True,1.2387033060601729,False
AP0281,0,-0.03189491241607101,True,1.2506838916662963,False
AP0281,1,-0.04508639927594338,True,1.0672367178641902,False
AP0281,2,-0.041595578005303224,True,1.1021505040015869,False
AP0281,3,-0.038702120260651895,True,1.2010845105770778,False
AP0282,0,-0.04542141663269206,True,0.9685507301479591,False
AP0282,1,-0.0244825854679398,True,1.425365805761152,False
AP0282,2,-0.05578794683041188,True,0.8567245302711733,False
AP0282,3,-0.01563690962791675,True,1.60115381318497,False
AP0283,0,-0.059043304762150584,True,0.6844280697571964,False
AP0283,1,-0.06121942599611252,True,0.7868174615968319,False
AP0283,2,-0.042722114698959146,True,1.082669516127709,False
AP0283,3,-0.04705592039611162,True,1.0561866794870016,False
AP0284,0,-0.12020297580165362,True,-0.5912283061594824,False
AP0284,1,-0.10333316566594064,True,0.05480952770514802,False
AP0284,2,-0.09231397828656718,True,0.22508671511130746,False
AP0284,3,-0.10819723907284207,True,-0.004318039633606263,False
AP0285,0,-0.14477228840553558,True,-1.1036901906386882,False
AP0285,1,-0.12130467418352886,True,-0.257565647760485,False
AP0285,2,-0.14343426230283285,True,-0.6589267738751753,False
AP0285,3,-0.11564168870870084,True,-0.13344305919404637,False
AP0286,0,-0.07048213827518879,True,0.4458391327020644,False
AP0286,1,-0.10277545062297122,True,0.06450355724289633,False
AP0286,2,-0.07334774216491446,True,0.5530662811385397,False
AP0286,3,-0.08080943857098433,True,0.47072718848980966,False
AP0287,0,-0.052090945359367424,True,0.8294390132283644,False
AP0287,1,-0.047804776618749045,True,1.019986727769609,False
AP0287,2,-0.022452357471406614,True,1.4331906282939915,False
AP0288,0,-0.09241425081547305,True,-0.01161655212764766,False
AP0288,1,-0.05649514167917857,True,0.8689335032751087,False
AP0288,2,-0.04882085074300946,True,0.9772052169271589,False
AP0288,3,-0.06577800643333909,True,0.7314494800942404,False
AP0289,0,-0.03699765089227469,True,1.1442519772827118,False
AP0289,1,-0.06904786523890749,True,0.6507459637758853,False
AP0289,2,-0.061188897798658104,True,0.7633268975865605,False
AP0289,3,-0.046722854369015465,True,1.0619637562848014,False
AP0290,0,-0.06283697066131388,True,0.605300533423007,False
AP0290,1,-0.03864225006796573,True,1.1792469165405381,False
AP0290,2,-0.06815264768422225,True,0.6429040761717182,False
AP0290,3,-0.07071988565156673,True,0.6457318942507888,False
AP0291,0,-0.14162471131708187,True,-1.0380386475003711,False
AP0291,1,-0.12427266599786968,True,-0.30915435901852567,False
AP0291,2,-0.11439753074221493,True,-0.1568000179381711,False
