fase,Batch,avance_prev,palanca,valor,pred_sn_dep,sn_dep_lo,sn_dep_hi,pred_feo_ret,feo_ret_lo,feo_ret_hi,pred_dT,dT_lo,dT_hi,pred_temperatura,support_score,derivada__exceso_o2_combustion_pct,derivada__relacion_C_Sn_carga,derivada__m6_dosis_C_sn,derivada__m6_exceso_C_pos,J_costo,J_temperatura,J_soporte,J_sn,J_feo,J_incertidumbre,J
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,29.509128248408004,1.5102427374480905,1.113934572475892,1.906550902420289,-0.14767272870660025,-0.22251103840911857,-0.07283441900408194,-2.8692795777675775,-17.626560085824554,11.888000930289397,955.2240208424913,0.2007587102372974,-5.317912998767342,2.713851242352903,0.07068218278415775,0.0,-76.64933958601804,-0.0,-466.2042199486635,2239.180272711629,-1333.3982962970335,-631.6686913931452,-268.7402745132311
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,32.130575018737005,1.5261124842230893,1.1298043192508906,1.922420649195288,-0.1494085954277029,-0.22424690513022122,-0.07457028572518459,-2.7519795839245336,-17.50926009198151,12.005300924132442,955.3413208363344,0.2220560803702375,-5.317912998767342,2.9549365266937975,0.07696124254558363,0.0,-80.58150974151154,-0.0,-423.6094796827833,2262.709751139416,-1349.0721566556088,-631.6686913931453,-222.22208633363306
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,34.75202178906601,1.5419822309980882,1.1456740660258897,1.9382903959702866,-0.15114446214880561,-0.22598277185132393,-0.0763061524462873,-2.6346795900814897,-17.391960098138465,12.122600917975486,955.4586208301773,0.24458130468642678,-5.317912998767342,3.1960218110346927,0.08324030230700953,0.0,-84.51367989700505,-0.0,-378.5590310504047,2286.239229567203,-1364.7460170141842,-631.6686913931452,-173.2481897875362
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,37.37346855939502,1.557851977773087,1.1615438128008884,1.9541601427452857,-0.15288032886990827,-0.22771863857242658,-0.07804201916738995,-2.5173795962384453,-17.27466010429542,12.23990091181853,955.5759208240204,0.2680485069490376,-5.317912998767342,3.4371070953755876,0.08951936206843542,0.0,-88.44585005249857,-0.0,-331.6246265251831,2309.7687079949897,-1380.4198773727594,-631.6686913931453,-122.39033734859674
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,39.99491532972403,1.573721724548086,1.1774135595758874,1.9700298895202843,-0.15461619559101097,-0.2294545052935293,-0.07977788588849266,-2.4000796023954014,-17.157360110452377,12.357200905661575,955.6932208178634,0.29245072089913193,-5.317912998767342,3.6781923797164833,0.09579842182986133,0.0,-92.37802020799208,-0.0,-282.8201986249944,2333.2981864227763,-1396.0937377313348,-631.6686913931452,-69.66246153469024
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,42.61636210005304,1.5895914713230845,1.193283306350886,1.985899636295283,-0.15635206231211363,-0.23119037201463194,-0.08151375260959531,-2.2827796085523575,-17.040060116609332,12.47450089950462,955.8105208117065,0.3175179783179196,-5.317912998767342,3.919277664057378,0.10207748159128723,0.0,-96.31019036348559,-0.0,-232.68568378741904,2356.8276648505625,-1411.76759808991,-631.6686913931452,-15.60449878339736
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,45.23780887038205,1.6054612180980834,1.2091530531258847,2.001769383070282,-0.15808792903321633,-0.23292623873573465,-0.08324961933069802,-2.165479614709313,-16.922760122766288,12.591800893347664,955.9278208055496,0.3436994294758867,-5.317912998767342,4.160362948398273,0.10835654135271311,0.0,-100.24236051897911,-0.0,-180.32278147148483,2380.357143278349,-1427.4414584484855,-631.6686913931453,40.681851446254456
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,47.859255640711055,1.6213309648730823,1.2250227999008838,2.0176391298452807,-0.159823795754319,-0.2346621054568373,-0.08498548605180067,-2.0481796208662693,-16.805460128923244,12.709100887190706,956.0451207993926,0.3686454395919889,-5.317912998767342,4.401448232739169,0.11463560111413902,0.0,-104.17453067447262,-0.0,-130.43076123928043,2403.8866217061363,-1443.1153188070607,-631.6686913931452,94.49731959217738
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,50.48070241104006,1.6372007116480811,1.2408925466758824,2.03350887662028,-0.1615596624754217,-0.23639797217794,-0.08672135277290338,-1.9308796270232254,-16.688160135080203,12.82640088103375,956.1624207932356,0.3911415668333154,-5.317912998767342,4.6425335170800635,0.12091466087556492,0.0,-108.10670082996614,-0.0,-85.43850675662745,2427.416100133923,-1458.7891791656364,-631.6686913931453,143.41302198854774
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,53.10214918136907,1.65307045842308,1.2567622934508815,2.0493786233952784,-0.16329552919652435,-0.23813383889904266,-0.08845721949400603,-1.8135796331801814,-16.57086014123716,12.943700874876795,956.2797207870786,0.4098364341917989,-5.317912998767342,4.883618801420958,0.1271937206369908,0.0,-112.03887098545964,-0.0,-48.04877203966051,2450.9455785617097,-1474.4630395242114,-631.6686913931452,184.72620461923296
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,55.72359595169808,1.6689402051980788,1.2726320402258802,2.0652483701702775,-0.16503139591762703,-0.23986970562014534,-0.09019308621510871,-1.6962796393371373,-16.453560147394114,13.06100086871984,956.3970207809217,0.4261385952787757,-5.317912998767342,5.124704085761854,0.13347278039841673,0.0,-115.97104114095315,-0.0,-15.444449865706922,2474.4750569894964,-1490.1368998827868,-631.6686913931453,221.25397470690416
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,58.34504272202708,1.6848099519730775,1.2885017870008788,2.081118116945276,-0.16676726263872974,-0.24160557234124805,-0.09192895293621142,-1.5789796454940936,-16.33626015355107,13.178300862562882,956.5143207747648,0.43286836871294054,-5.317912998767342,5.365789370102748,0.1397518401598426,0.0,-119.90321129644666,-0.0,-1.9849029973771914,2498.004535417283,-1505.8107602413622,-631.6686913931453,238.63696948895162
