target,orden,carbon,pd_media,n
m6_ln_feo_ret,2,26.419101185419755,-0.06928870232446864,290
m6_ln_feo_ret,2,30.723882610617764,-0.06525926805658919,290
m6_ln_feo_ret,2,35.028664035815765,-0.06511212161404982,290
m6_ln_feo_ret,2,39.33344546101377,-0.06515502963793057,290
m6_ln_feo_ret,2,43.63822688621177,-0.06515502963793057,290
m6_ln_feo_ret,2,47.94300831140977,-0.06515502963793057,290
m6_ln_feo_ret,2,52.24778973660777,-0.06515502963793057,290
m6_ln_feo_ret,2,56.55257116180578,-0.06515502963793057,290
m6_ln_feo_ret,2,60.85735258700378,-0.06517774674379978,290
m6_ln_feo_ret,2,65.16213401220178,-0.06881987676651495,290
m6_ln_feo_ret,3,4.8951940594297465,-0.06319602722177423,203
m6_ln_feo_ret,3,9.19997548462775,-0.060844778179437155,203
m6_ln_feo_ret,3,13.504756909825751,-0.06392555074926339,203
m6_ln_feo_ret,3,17.809538335023753,-0.06404272287870871,203
m6_ln_feo_ret,3,22.114319760221754,-0.0629561421900618,203
m6_ln_feo_ret,3,26.419101185419755,-0.06312422055517519,203
m6_ln_feo_ret,3,30.723882610617764,-0.05779602717448636,203
m6_ln_feo_ret,3,35.028664035815765,-0.05770052901325043,203
m6_ln_feo_ret,3,39.33344546101377,-0.05774267082241903,203
m6_ln_feo_ret,3,43.63822688621177,-0.05774267082241903,203
m6_ln_feo_ret,3,47.94300831140977,-0.05774267082241903,203
m6_ln_feo_ret,3,52.24778973660777,-0.05774267082241903,203
m6_ln_feo_ret,3,56.55257116180578,-0.05774267082241903,203
m6_ln_feo_ret,3,60.85735258700378,-0.05776072341822849,203
m6_ln_feo_ret,3,65.16213401220178,-0.06125816679457933,203
