variante,palanca,orden,n,pct_signo_opuesto,pct_mismo_signo_entre_los_que_cambian,pct_base_cambia,delta_medio_base,delta_medio_variante
w11,tasa_gn_nm3_min,3,60,5.0,0.0,25.0,0.35958244658736677,-0.527250818709813
lineal_kg_l1,tasa_feed_Carbon_kg_min,0,60,0.0,42.857142857142854,20.0,-0.728840743109092,-0.8242486318596247
lineal_kg_l1,tasa_feed_Carbon_kg_min,1,60,0.0,2.941176470588235,21.666666666666668,-0.8319379963710414,-1.3469294951548998
lineal_kg_l1,tasa_feed_Carbon_kg_min,2,60,0.0,3.225806451612903,18.333333333333332,-0.6739945704008387,-0.9764101180103179
lineal_kg_l1,tasa_feed_Carbon_kg_min,3,60,0.0,8.571428571428571,25.0,-0.5744402370187361,-0.5193456188781935
lineal_kg_l1,tasa_gn_nm3_min,0,60,0.0,40.909090909090914,20.0,0.1247737555442739,0.05429087825693492
lineal_kg_l1,tasa_gn_nm3_min,1,60,1.6666666666666667,0.0,21.666666666666668,0.3243093720681063,-0.63810461840735
lineal_kg_l1,tasa_gn_nm3_min,2,60,1.6666666666666667,0.0,18.333333333333332,0.3722003292508055,-0.640379884490017
lineal_kg_l1,tasa_gn_nm3_min,3,60,5.0,0.0,25.0,0.35958244658736677,-0.540748731131516
lineal_kg_l3,tasa_feed_Carbon_kg_min,0,60,6.666666666666667,7.142857142857142,20.0,-0.728840743109092,-0.2514810790079873
lineal_kg_l3,tasa_feed_Carbon_kg_min,1,60,3.3333333333333335,9.75609756097561,21.666666666666668,-0.8319379963710414,-1.7614830801121972
lineal_kg_l3,tasa_feed_Carbon_kg_min,2,60,1.6666666666666667,14.634146341463413,18.333333333333332,-0.6739945704008387,-1.1129289591551272
lineal_kg_l3,tasa_feed_Carbon_kg_min,3,60,1.6666666666666667,6.8181818181818175,25.0,-0.5744402370187361,-0.4023506641514007
lineal_kg_l3,tasa_gn_nm3_min,0,60,11.666666666666666,0.0,20.0,0.1247737555442739,-0.9345707173121987
lineal_kg_l3,tasa_gn_nm3_min,1,60,10.0,0.0,21.666666666666668,0.3243093720681063,-1.331582981186951
lineal_kg_l3,tasa_gn_nm3_min,2,60,11.666666666666666,0.0,18.333333333333332,0.3722003292508055,-1.1419500799688593
lineal_kg_l3,tasa_gn_nm3_min,3,60,6.666666666666667,0.0,25.0,0.35958244658736677,-0.7679072283084859
lineal_kg_l4.7,tasa_feed_Carbon_kg_min,0,60,6.666666666666667,9.30232558139535,20.0,-0.728840743109092,-0.2879265926990057
lineal_kg_l4.7,tasa_feed_Carbon_kg_min,1,60,5.0,9.090909090909092,21.666666666666668,-0.8319379963710414,-1.7709019433111721
lineal_kg_l4.7,tasa_feed_Carbon_kg_min,2,60,3.3333333333333335,16.27906976744186,18.333333333333332,-0.6739945704008387,-1.0652183340709707
lineal_kg_l4.7,tasa_feed_Carbon_kg_min,3,60,5.0,11.11111111111111,25.0,-0.5744402370187361,-0.38246949937920954
lineal_kg_l4.7,tasa_gn_nm3_min,0,60,13.333333333333334,0.0,20.0,0.1247737555442739,-1.1941504696780767
lineal_kg_l4.7,tasa_gn_nm3_min,1,60,11.666666666666666,0.0,21.666666666666668,0.3243093720681063,-1.652641355083763
lineal_kg_l4.7,tasa_gn_nm3_min,2,60,15.0,0.0,18.333333333333332,0.3722003292508055,-1.617623417385082
lineal_kg_l4.7,tasa_gn_nm3_min,3,60,13.333333333333334,0.0,25.0,0.35958244658736677,-1.0547729054903163
