combo,sn_forma,feo_forma,estado_id,orden,q_avance,C_hist,C_p5,C_p95,C_opt,interior,J_hist_aprox,J_opt
F0+G2,F0,G2,6,2,0.25,10.634613763718379,5.552316990201436,19.207564869229753,19.207564869229753,False,177.41621683636583,178.71218244269298
F2+G0,F2,G0,6,2,0.25,10.634613763718379,5.552316990201436,19.207564869229753,19.207564869229753,False,183.70878312299453,202.92916504502767
F2+G1,F2,G1,6,2,0.25,10.634613763718379,5.552316990201436,19.207564869229753,19.207564869229753,False,183.70878338686026,202.92916525099898
F2+G2,F2,G2,6,2,0.25,10.634613763718379,5.552316990201436,19.207564869229753,19.207564869229753,False,183.70878314525956,202.92916623782534
F3+G0,F3,G0,6,2,0.25,10.634613763718379,5.552316990201436,19.207564869229753,19.207564869229753,False,183.44080898859866,219.23713636187043
F3+G1,F3,G1,6,2,0.25,10.634613763718379,5.552316990201436,19.207564869229753,19.207564869229753,False,183.44080925246436,219.23713656784173
F3+G2,F3,G2,6,2,0.25,10.634613763718379,5.552316990201436,19.207564869229753,19.207564869229753,False,183.4408090108637,219.2371375546681
F4+G0,F4,G0,6,2,0.25,10.634613763718379,5.552316990201436,19.207564869229753,19.207564869229753,False,180.85903957035777,199.05739974700558
F4+G1,F4,G1,6,2,0.25,10.634613763718379,5.552316990201436,19.207564869229753,19.207564869229753,False,180.85903983422347,199.05739995297688
F4+G2,F4,G2,6,2,0.25,10.634613763718379,5.552316990201436,19.207564869229753,19.207564869229753,False,180.8590395926228,199.05740093980324
F0+G0,F0,G0,7,2,0.5,22.09632815406436,5.552316990201436,19.207564869229753,19.207564869229753,False,-88.42167716252673,-88.42167716252673
F0+G1,F0,G1,7,2,0.5,22.09632815406436,5.552316990201436,19.207564869229753,19.207564869229753,False,-88.42167613763814,-88.42167613763814
F0+G2,F0,G2,7,2,0.5,22.09632815406436,5.552316990201436,19.207564869229753,19.207564869229753,False,-88.42167680172197,-88.42167680172197
