palanca,signo_teorico,sd_palanca,theta_libre_1sd,ci_lo_libre_1sd,ci_hi_libre_1sd,theta_acot_1sd,ci_lo_acot_1sd,ci_hi_acot_1sd,frac_replicas_en_cota,r2_balance_oof,identificado_libre,interior,r2_oof_plm_interno,forma,target
tasa_gn_nm3_min,-1,4.926183847561063,-0.01023672744013892,-0.01993142187171741,-0.002452439299304842,-0.009940454887848137,-0.01757674823357998,-0.002065294403503951,0.008,0.666528387394829,True,True,0.3300871499066541,G0,feo_ret
exceso_o2_combustion_pct,1,11.210335231916272,0.0023903259004294662,-0.001493987411399338,0.005724088486078781,0.002534889489239279,4.464339958880017e-17,0.005892959135942593,0.1,-0.06178469342655224,False,False,0.3300871499066541,G0,feo_ret
tasa_aire_nm3_min,1,9.73829806488448,0.0020938814960436737,-0.002019603911862323,0.006717642509766494,0.0020016494525907495,1.5285908948813499e-21,0.0065562764558674096,0.128,-0.032193384979474216,False,False,0.3300871499066541,G0,feo_ret
m8_exceso_C_pos,-1,209.53407604053075,0.0006106827877666476,-0.0049772377020882,0.006574813276646903,-3.1000550547304467e-10,-0.0049772377020882,-1.806363416963359e-18,0.588,0.4968843507973385,False,False,0.330087149876933,G1,feo_ret
tasa_gn_nm3_min,-1,4.926183847561063,-0.010248434472836507,-0.02000827284155352,-0.0019567846700384614,-0.009940454821182899,-0.01762688637492919,-0.0024279191640927487,0.004,0.666528387394829,True,True,0.330087149876933,G1,feo_ret
exceso_o2_combustion_pct,1,11.210335231916272,0.0024541845491941935,-0.0015220405720712236,0.005700553270883677,0.0025348895081479476,4.433138067842628e-23,0.005811854219620896,0.104,-0.06178469342655224,False,False,0.330087149876933,G1,feo_ret
tasa_aire_nm3_min,1,9.73829806488448,0.0020471379802743613,-0.0019029440886629769,0.00652820444926215,0.0020016494149700617,1.0661609894321712e-24,0.00629356085414228,0.146,-0.032193384979474216,False,False,0.330087149876933,G1,feo_ret
m8_exceso_C_pos,-1,209.53407604053075,0.00042917442344083214,-0.006111452006475841,0.00804707593685159,-3.0828253423347366e-16,-0.00443100456505518,-7.521866729752642e-20,0.666,0.4968843507973385,False,False,0.3300871499070277,G2,feo_ret
Cx_av_v6,-1,16.541070931971895,0.0005211570001800122,-0.013162475567000153,0.011806631274712834,-5.215210061168587e-18,-0.007868220332173726,-3.8064227148836605e-22,0.696,0.8401879741586576,False,False,0.3300871499070277,G2,feo_ret
tasa_gn_nm3_min,-1,4.926183847561063,-0.0103254681921544,-0.02029114757280701,-0.0025869734344499988,-0.009940454977524691,-0.017626886374643363,-0.0022890714613456914,0.01,0.666528387394829,True,True,0.3300871499070277,G2,feo_ret
exceso_o2_combustion_pct,1,11.210335231916272,0.0024337820274038203,-0.0014904333059874838,0.005732617040412445,0.002534889467179143,9.650907953528344e-22,0.005882853356861699,0.102,-0.06178469342655224,False,False,0.3300871499070277,G2,feo_ret
tasa_aire_nm3_min,1,9.73829806488448,0.0020120222370761465,-0.0021520962509041365,0.006699979939228761,0.0020016494380617304,3.5574611282148287e-25,0.006337277887716587,0.142,-0.032193384979474216,False,False,0.3300871499070277,G2,feo_ret
m8_ln1p_dosis,-1,0.12119330548164614,-0.001392321368683852,-0.008214592083900745,0.004435811658293304,-0.001392321368683852,-0.008057497164193683,-7.105509661449451e-29,0.332,0.4983798994318466,False,False,0.33023103814481203,G3,feo_ret
tasa_gn_nm3_min,-1,4.926183847561063,-0.009086189419725523,-0.019710719588612084,-0.0007990935869926506,-0.009086189419725523,-0.017349702345321096,-0.0012018219512413316,0.016,0.666528387394829,True,True,0.33023103814481203,G3,feo_ret
exceso_o2_combustion_pct,1,11.210335231916272,0.0027796873753845406,-0.0011418383598903305,0.0060395998430791565,0.0027796873753845406,1.0679589623106605e-14,0.005999481448591111,0.092,-0.06178469342655224,False,False,0.33023103814481203,G3,feo_ret
tasa_aire_nm3_min,1,9.73829806488448,0.0019252561850448982,-0.0020042313786015047,0.006336077582234634,0.0019252561850448982,4.136501041029088e-16,0.006208899828826073,0.152,-0.032193384979474216,False,False,0.33023103814481203,G3,feo_ret
m8_exceso_C_pos,-1,209.53407604053075,0.0003224061841461532,-0.0051141289400854105,0.006218330966578924,-8.349490178648593e-11,-0.005073243398450899,-5.3842240010518374e-18,0.54,0.4968843507973385,False,False,0.3305424275426858,G4,feo_ret
m8_C_x_zT,0,32.41934155334855,0.0017499166071434505,-0.002989099112965518,0.006576002405965166,0.0017918704507541312,-0.0029183189320979796,0.006718216206906299,0.0,0.5675552312586,False,True,0.3305424275426858,G4,feo_ret
m8_C_x_zB2,0,21.52213256818163,0.0012925669612874825,-0.01965338184618593,0.009402886996990292,0.001303546245817124,-0.018699709880394464,0.009430847265128408,0.0,0.31091439269843446,False,True,0.3305424275426858,G4,feo_ret
tasa_gn_nm3_min,-1,4.926183847561063,-0.009809938846711875,-0.019267911573454755,-0.0016310901902708097,-0.009642792212744526,-0.017198781900357164,-0.002025927156810117,0.004,0.666528387394829,True,True,0.3305424275426858,G4,feo_ret
exceso_o2_combustion_pct,1,11.210335231916272,0.002600751626999818,-0.0013933983411380678,0.005825799778566006,0.002644887770377294,1.9703706431675508e-20,0.0058372906844865605,0.094,-0.06178469342655224,False,False,0.3305424275426858,G4,feo_ret
tasa_aire_nm3_min,1,9.73829806488448,0.0019309284419696971,-0.0018891359702742855,0.006420983819546775,0.0019055966673351696,1.0167348706231504e-24,0.006167415828030111,0.152,-0.032193384979474216,False,False,0.3305424275426858,G4,feo_ret
