combo,estado_id,orden,q_avance,C,J
F4+G0,6,2,0.25,6.602720673203613,170.73129038714765
F4+G0,6,2,0.25,6.95285523420434,171.6041218517086
F4+G0,6,2,0.25,7.302989795205066,172.47155374467533
F4+G0,6,2,0.25,7.653124356205792,173.33363353631063
F4+G0,6,2,0.25,8.003258917206518,174.19040807361557
F4+G0,6,2,0.25,8.353393478207245,175.0419235911915
F4+G0,6,2,0.25,8.70352803920797,175.8882257218682
F4+G0,6,2,0.25,9.053662600208696,176.72935950710269
F4+G0,6,2,0.25,9.403797161209422,177.56536940715196
F4+G0,6,2,0.25,9.753931722210147,178.39629931103138
F4+G0,6,2,0.25,10.104066283210873,179.22219254625855
F4+G0,6,2,0.25,10.4542008442116,180.04309188839005
F4+G0,6,2,0.25,10.804335405212328,180.85903957035777
F4+G0,6,2,0.25,11.154469966213053,181.67007729160846
F4+G0,6,2,0.25,11.504604527213779,182.47624622705084
F4+G0,6,2,0.25,11.854739088214505,183.27758703581665
F4+G0,6,2,0.25,12.20487364921523,184.07413986983926
F4+G0,6,2,0.25,12.555008210215956,184.8659443822548
F4+G0,6,2,0.25,12.905142771216681,185.65303973563027
F4+G0,6,2,0.25,13.255277332217409,186.43546461002165
F4+G0,6,2,0.25,13.605411893218136,187.21325721086927
F4+G0,6,2,0.25,13.955546454218862,187.98645527672969
F4+G0,6,2,0.25,14.305681015219587,188.7550960868528
F4+G0,6,2,0.25,14.655815576220313,189.5192164686056
F4+G0,6,2,0.25,15.005950137221038,190.27885280474567
F4+G0,6,2,0.25,15.356084698221764,191.03404104054945
F4+G0,6,2,0.25,15.70621925922249,191.7848166907981
F4+G0,6,2,0.25,16.05635382022322,192.53121484662486
F4+G0,6,2,0.25,16.406488381223944,193.27327018222633
F4+G0,6,2,0.25,16.75662294222467,194.01101696144175
F4+G0,6,2,0.25,17.106757503225396,194.7444890442024
F4+G0,6,2,0.25,17.45689206422612,195.47371989285554
F4+G0,6,2,0.25,17.807026625226847,196.19874257836503
F4+G0,6,2,0.25,18.157161186227572,196.91958978638993
F4+G0,6,2,0.25,18.507295747228298,197.63629382324882
F4+G0,6,2,0.25,18.857430308229027,198.34888662176556
F4+G0,6,2,0.25,19.207564869229753,199.05739974700558
F4+G1,6,2,0.25,5.552316990201436,168.07991380964955
F4+G1,6,2,0.25,5.902451551202162,168.96923526004946
F4+G1,6,2,0.25,6.252586112202888,169.85301087618717
F4+G1,6,2,0.25,6.602720673203613,170.73129006574644
F4+G1,6,2,0.25,6.95285523420434,171.60412157907965
F4+G1,6,2,0.25,7.302989795205066,172.4715535208186
F4+G1,6,2,0.25,7.653124356205792,173.33363336122613
F4+G1,6,2,0.25,8.003258917206518,174.1904079473033
F4+G1,6,2,0.25,8.353393478207245,175.04192351365148
F4+G1,6,2,0.25,8.70352803920797,175.88822569310057
F4+G1,6,2,0.25,9.053662600208696,176.7293595271073
F4+G1,6,2,0.25,9.403797161209422,177.56536947592872
F4+G1,6,2,0.25,9.753931722210147,178.39629942858036
F4+G1,6,2,0.25,10.104066283210873,179.22219271257978
F4+G1,6,2,0.25,10.4542008442116,180.04309210348353
F4+G1,6,2,0.25,10.804335405212328,180.85903983422347
F4+G1,6,2,0.25,11.154469966213053,181.67007760424642
F4+G1,6,2,0.25,11.504604527213779,182.476246588461
F4+G1,6,2,0.25,11.854739088214505,183.27758744599907
F4+G1,6,2,0.25,12.20487364921523,184.07414032879387
F4+G1,6,2,0.25,12.555008210215956,184.8659448899817
F4+G1,6,2,0.25,12.905142771216681,185.6530402921296
F4+G1,6,2,0.25,13.255277332217409,186.43546521529322
F4+G1,6,2,0.25,13.605411893218136,187.21325786491298
F4+G1,6,2,0.25,13.955546454218862,187.98645597954564
F4+G1,6,2,0.25,14.305681015219587,188.75509683844098
F4+G1,6,2,0.25,14.655815576220313,189.51921725548877
F4+G1,6,2,0.25,15.005950137221038,190.27885354694328
F4+G1,6,2,0.25,15.356084698221764,191.03404173806155
F4+G1,6,2,0.25,15.70621925922249,191.78481734362464
F4+G1,6,2,0.25,16.05635382022322,192.53121545476594
F4+G1,6,2,0.25,16.406488381223944,193.27327074568188
F4+G1,6,2,0.25,16.75662294222467,194.01101748021173
F4+G1,6,2,0.25,17.106757503225396,194.74448951828685
F4+G1,6,2,0.25,17.45689206422612,195.47372032225462
F4+G1,6,2,0.25,17.807026625226847,196.1987429630785
F4+G1,6,2,0.25,18.157161186227572,196.91959012641783
F4+G1,6,2,0.25,18.507295747228298,197.6362941185912
F4+G1,6,2,0.25,18.857430308229027,198.34888687242238
F4+G1,6,2,0.25,19.207564869229753,199.05739995297688
F4+G2,6,2,0.25,5.552316990201436,168.07991356804888
F4+G2,6,2,0.25,5.902451551202162,168.96923501844879
F4+G2,6,2,0.25,6.252586112202888,169.8530106345865
F4+G2,6,2,0.25,6.602720673203613,170.73128982414573
F4+G2,6,2,0.25,6.95285523420434,171.60412133747894
F4+G2,6,2,0.25,7.302989795205066,172.47155327921791
F4+G2,6,2,0.25,7.653124356205792,173.33363311962543
F4+G2,6,2,0.25,8.003258917206518,174.19040770570263
F4+G2,6,2,0.25,8.353393478207245,175.04192327205078
F4+G2,6,2,0.25,8.70352803920797,175.8882254514999
F4+G2,6,2,0.25,9.053662600208696,176.7293592855066
F4+G2,6,2,0.25,9.403797161209422,177.56536923432805
F4+G2,6,2,0.25,9.753931722210147,178.3962991869797
F4+G2,6,2,0.25,10.104066283210873,179.2221924709791
F4+G2,6,2,0.25,10.4542008442116,180.04309186188283
F4+G2,6,2,0.25,10.804335405212328,180.8590395926228
F4+G2,6,2,0.25,11.154469966213053,181.67007736264574
F4+G2,6,2,0.25,11.504604527213779,182.47624634686034
F4+G2,6,2,0.25,11.854739088214505,183.2775872043984
F4+G2,6,2,0.25,12.20487364921523,184.0741400871932
F4+G2,6,2,0.25,12.555008210215956,184.86594464838103
F4+G2,6,2,0.25,12.905142771216681,185.65304005052892
F4+G2,6,2,0.25,13.255277332217409,186.43546497369252
F4+G2,6,2,0.25,13.605411893218136,187.21325762331227
F4+G2,6,2,0.25,13.955546454218862,187.98645573794494
F4+G2,6,2,0.25,14.305681015219587,188.7550965968403
F4+G2,6,2,0.25,14.655815576220313,189.51921702736524
F4+G2,6,2,0.25,15.005950137221038,190.27885341227753
F4+G2,6,2,0.25,15.356084698221764,191.03404169685342
F4+G2,6,2,0.25,15.70621925922249,191.78481739587423
F4+G2,6,2,0.25,16.05635382022322,192.53121560047305
F4+G2,6,2,0.25,16.406488381223944,193.27327098484676
F4+G2,6,2,0.25,16.75662294222467,194.01101781283433
F4+G2,6,2,0.25,17.106757503225396,194.74448994436705
F4+G2,6,2,0.25,17.45689206422612,195.47372084179258
F4+G2,6,2,0.25,17.807026625226847,196.19874357607415
F4+G2,6,2,0.25,18.157161186227572,196.9195908328711
F4+G2,6,2,0.25,18.507295747228298,197.63629491850213
F4+G2,6,2,0.25,18.857430308229027,198.34888776579115
F4+G2,6,2,0.25,19.207564869229753,199.05740093980324
F0+G0,7,2,0.5,5.552316990201436,-89.35549882495116
F0+G0,7,2,0.5,5.902451551202162,-89.33155467976079
F0+G0,7,2,0.5,6.252586112202888,-89.30761053457041
F0+G0,7,2,0.5,6.602720673203613,-89.28366638938004
F0+G0,7,2,0.5,6.95285523420434,-89.25972224418966
F0+G0,7,2,0.5,7.302989795205066,-89.23577809899938
F0+G0,7,2,0.5,7.653124356205792,-89.21183395380896
F0+G0,7,2,0.5,8.003258917206518,-89.18788980861859
F0+G0,7,2,0.5,8.353393478207245,-89.16394566342822
F0+G0,7,2,0.5,8.70352803920797,-89.14000151823784
F0+G0,7,2,0.5,9.053662600208696,-89.11605737304747
F0+G0,7,2,0.5,9.403797161209422,-89.0921132278571
