,irf_F0,sio2_F0,al2o3_F0,feo_F0,cao_F0,masa_F0,feed_total_F0,frac_dross_F0,frac_Fe_F0,frac_sec_F0,cal_F0,T_F0,lanza_F0,gn_F0,C_F0,exc_o2_F0,kpi,irf_Rfin_prev,sio2_Rfin_prev,al2o3_Rfin_prev,kpi_prev,gap_h,es_lockbox
AP0212,0.24734059750522228,36.3381,11.4749,16.595713134568896,19.2836,5824.488624014357,11039.741906069778,0.13329539149382452,0.08698764700859885,0.4911855357845418,0.10173889008065488,1052.1011165998318,386.8234146118164,29.288206243318783,0.06742868837680713,21.82275828378678,72.18348980959064,0.3029557157525376,42.1649,6.9358,75.41130626545628,1.1166666666666667,False
AP0213,0.2431157721856648,36.815,11.3091,16.267143744292238,18.787,6575.975911719474,10696.900145458461,0.14093572857575384,0.12657865140334904,0.40526035857087606,0.11549407564202219,998.5024169175744,517.923038482666,29.36996388563705,0.06525740570679145,19.68490907626505,72.34329127523083,0.22975237808337262,42.0485,13.1773,72.18348980959064,1.15,False
AP0214,0.2671930778362626,35.3338,11.1773,17.57820508192318,19.2773,6050.4939137168285,11037.468101204091,0.14882551344600062,0.10287162377186061,0.4568694546402564,0.10567386039391527,1038.5020808116922,248.9376976706765,29.854603695967562,0.0647223273188561,19.02300040665446,76.068255281587,0.21580057579767237,44.7492,13.2444,72.34329127523083,1.5166666666666666,False
AP0215,0.21968049768611692,39.9739,11.9215,16.040850260542573,21.1236,5463.191634809314,11126.310823692638,0.1516151209671203,0.10385342907049014,0.43769044276061786,0.10372016083832351,1044.0899353737245,339.55601700492525,30.003613249853313,0.034818193951976835,19.594534934359697,69.51747159564997,0.2182233218831859,42.7319,13.2872,76.068255281587,1.1833333333333333,False
AP0216,0.3326959606565804,33.5772,10.5694,21.331666526994358,19.971,6038.670948450728,11301.592828623392,0.15231845478134473,0.10321005178755584,0.4486646009754056,0.10670911555588147,1026.1154261946044,343.0061798095703,29.51559378541546,0.08127196817682453,21.169200115646536,74.64826729378122,0.22544373357727088,41.4269,12.9905,69.51747159564997,1.3666666666666667,False
AP0217,0.42149003441220906,29.6051,9.6211,23.55703587429492,16.6637,6970.804240262399,11434.290742819647,0.15070499769916681,0.10246879523683025,0.4470669765717471,0.10158862777860074,1006.8439980718399,270.3532409667969,30.206561618381077,0.08085934496149935,18.86456184565838,77.43659000960069,0.2390362236265809,41.634,13.3135,74.64826729378122,1.3833333333333333,False
AP0218,0.2198006809246577,39.0108,12.7082,17.128319742143432,26.2076,4409.880523371729,10998.368167610337,0.15445640267653132,0.10661090337936324,0.42855313780571347,0.10508139302398697,1014.4467118784523,336.97608276367185,30.411334228515628,0.08234747417664848,18.76006715722913,66.11835591013704,0.2784055243049428,41.8539,7.0187,77.43659000960069,1.3833333333333333,False
AP0219,,,,,,,12129.827781486516,0.14771345965664973,0.09730160793873692,0.4684573463181819,0.10225140545500747,1072.903157981678,368.8967087689568,31.386369367685827,0.07773454707311031,18.88827056559126,60.280124423987154,0.285991398007062,40.3562,10.7256,66.11835591013704,1.4,False
AP0220,0.7011005063822193,23.605,8.67,32.87880934730056,14.621,8010.200393815262,11228.99861451513,0.14601588069470034,0.10371709879384551,0.44952372826212683,0.10429882839827039,1108.8476483630466,381.80213650790125,30.882702636718747,0.08855041207434265,18.82756289172345,78.80569506549615,0.2551001775075567,46.247,13.65,60.280124423987154,1.9166666666666667,False
AP0221,0.3773484383289905,32.961,11.329,24.960467150147732,21.857,5178.772666040446,11077.566114053154,0.15080160305251566,0.10412643008640908,0.45115171001399273,0.10218168232645304,993.9027277046655,413.61077372233075,30.044733065427685,0.09241032113210886,19.771255730392596,68.34855929233406,0.391337174414245,40.102,13.096,78.80569506549615,1.1333333333333333,False
AP0222,0.24587022384143545,34.201,11.039,16.026312930432447,19.942,5755.689516090322,11366.684756280698,0.14878897553440248,0.10187718710235896,0.45046490930159894,0.10097927653571212,982.939719652479,358.96044505726206,31.29359783910429,0.0866943485525382,19.246167749433837,59.15619740294824,0.20543999312498729,44.271,14.158,68.34855929233406,0.8833333333333333,False
AP0223,0.2298782726036045,38.8183,12.6478,17.367349470856837,24.0841,4834.125810647255,11424.974527359009,0.1524701725082201,0.10125643183853447,0.45871290755744226,0.10190444552625398,999.3779407853913,356.4145751953125,30.682384638531214,0.08532678498207663,19.228870919156776,68.96693629425373,0.21603179492756175,42.67,12.947,59.15619740294824,1.5,False
AP0224,0.24102301339766,36.5311,11.4157,16.634179167338168,21.0681,5744.979440386413,11579.672388931684,0.15212994834088842,0.09946660395940371,0.4553193469272338,0.10452437450967601,994.764265422077,362.1158740234375,30.19744622501326,0.07076035433434198,20.361000001301488,65.65726134183335,0.18506635005550712,45.8106,13.9566,68.96693629425373,1.1833333333333333,False
AP0225,0.19711604544874783,38.9138,12.9774,14.510185183991403,21.7212,5621.323078254298,10615.67290071079,0.10693845267572002,0.15629570547260518,0.3509828920362828,0.11502038918249045,1014.6440193723092,393.3684117934283,30.861671491709266,0.042650988006976545,18.938813234845043,60.86118849974752,0.18408280577283825,45.9817,14.2627,65.65726134183335,1.3,False
