Batch,orden,lnirf_R,sdi
AP0054,1,-1.5027565041969149,1.6517488737701493
AP0054,2,-1.6981158945252468,-0.6967448391713855
AP0054,3,-1.7280616060306742,-0.5729464526707831
AP0055,0,,
AP0055,1,,
AP0055,2,,
AP0055,3,,
AP0055,4,,
AP0055,5,,
AP0055,6,,
AP0055,0,-1.6700143337171207,-0.6928473342247505
AP0055,1,-1.6097072614509471,0.8548970469847519
AP0055,2,-1.668840158152264,-0.01499774799245912
AP0055,3,-1.734260581866728,0.018660719966127504
AP0056,0,,
AP0056,1,,
AP0056,2,,
AP0056,3,,
AP0056,4,,
AP0056,5,,
AP0056,6,,
AP0056,0,-1.6034561132408962,0.7129664619471485
AP0056,1,-1.5289331304362417,1.0877047913215305
AP0056,2,-1.6733498465687433,-0.3777418436819685
AP0056,3,,
AP0057,0,,
AP0057,1,,
AP0057,2,,
AP0057,3,,
AP0057,4,,
AP0057,5,,
AP0057,6,,
AP0057,0,-1.5711489408997001,0.5099474240102418
AP0057,1,-1.4674639215358412,1.5096264730553244
AP0057,2,-1.5407468719721211,0.08537219556237663
AP0057,3,,
AP0058,0,,
AP0058,1,,
AP0058,2,,
AP0058,3,,
AP0058,4,,
AP0058,5,,
AP0058,6,,
AP0058,0,-1.4359733212732835,-0.20800173818101508
AP0058,1,-1.4049965998105831,1.5951139680274282
AP0058,2,-1.4005732350047861,0.6575896760622438
AP0058,3,-1.4603837475456474,-0.47830231881904606
AP0059,0,,
AP0059,1,,
AP0059,2,,
AP0059,3,,
AP0059,4,,
AP0059,5,,
AP0059,6,,
AP0059,0,-1.6106939858714107,-0.5683768203972943
AP0059,1,-1.5504246527347656,1.122359823469157
AP0059,2,-1.6465620418862412,-0.22349378914059193
AP0059,3,-1.7091411480512955,0.13346304775612294
AP0060,0,,
AP0060,1,,
AP0060,2,,
AP0060,3,,
AP0060,4,,
AP0060,5,,
AP0060,6,,
AP0060,0,-1.4361829277008127,-0.16955194615705094
AP0060,1,-1.4611569601284402,1.8403913128080065
AP0060,2,-1.4446914066774412,-0.1655550560785099
AP0060,3,-1.454221440117431,0.2790434212880831
AP0061,0,,
AP0061,1,,
AP0061,2,,
AP0061,3,,
AP0061,4,,
AP0061,5,,
AP0061,6,,
AP0061,0,-1.4040707062806002,0.3146358294528411
AP0061,1,-1.467476712949725,-0.08674128127166925
AP0061,2,-1.5203120723636914,-0.18341338858163886
AP0061,3,-1.5909926292505727,0.2050562361360451
AP0062,0,,
AP0062,1,,
AP0062,2,,
AP0062,3,,
AP0062,4,,
AP0062,5,,
AP0062,6,,
AP0062,0,-1.5557636933700292,1.8784934830753461
AP0062,1,-1.6648579133962638,-0.7179912250736573
AP0062,2,-1.6630337382258584,0.0711332372166747
AP0062,3,-1.670755298491718,-0.056345107028625774
AP0063,0,,
AP0063,1,,
AP0063,2,,
AP0063,3,,
AP0063,4,,
AP0063,5,,
AP0063,6,,
AP0063,0,-1.4703690278794435,0.004026956874314536
AP0063,1,-1.4153362863644268,1.5307282988139805
