modelo,muestra,variable,coef_por_sd,ci_lo,ci_hi,p,r2_adj,n
B_irf+controles,total,irf_fin_st,1.106252071458942,0.6351608633593873,1.577343279558497,4.173775036657852e-06,0.05269704285662058,360
B_irf+controles,total,feed_sn_total_t,0.015093179944079105,-0.7408848954089613,0.7710712552971195,0.9687860392878644,0.05269704285662058,360
B_irf+controles,total,ley_sn_conc_batch_pct,-0.1441567018844656,-0.7406663366500673,0.4523529328811361,0.6357433500069345,0.05269704285662058,360
B_irf+controles,total,espesor_ladrillo_norm_mm,0.3349652578421829,-0.31029604162253777,0.9802265573069036,0.308940340717606,0.05269704285662058,360
B_irf+controles,total,frac_carga_secundaria_F,-0.18237090948623003,-1.0963764012256854,0.7316345822532253,0.6957452629946871,0.05269704285662058,360
B_irf+controles,total,feed_dross_Fe_total_t,-0.5154532021173281,-1.482923673999438,0.4520172697647816,0.296375155383683,0.05269704285662058,360
C_irf+controles+plan,dev,irf_fin_st,1.2735148471664912,0.7777690089422962,1.7692606853906863,4.780353570341111e-07,0.05962041540926011,297
C_irf+controles+plan,dev,feed_sn_total_t,0.5362536111290188,-0.26758674283156425,1.340093965089602,0.1910359876098633,0.05962041540926011,297
C_irf+controles+plan,dev,ley_sn_conc_batch_pct,-0.6307010933954197,-1.27872147741397,0.017319290623130534,0.05644538162204544,0.05962041540926011,297
C_irf+controles+plan,dev,espesor_ladrillo_norm_mm,0.3546069446808147,-0.737361892562707,1.4465757819243363,0.5244633054911598,0.05962041540926011,297
C_irf+controles+plan,dev,frac_carga_secundaria_F,-0.7383072908570593,-1.856192838715922,0.3795782570018035,0.19550732667164994,0.05962041540926011,297
C_irf+controles+plan,dev,feed_dross_Fe_total_t,-0.23819542954271083,-1.4203869175874293,0.9439960585020075,0.6929122921233746,0.05962041540926011,297
C_irf+controles+plan,dev,fe_por_carga,-0.18538989735049796,-1.0628014172048377,0.6920216225038417,0.6787830019198968,0.05962041540926011,297
C_irf+controles+plan,dev,cal_por_carga,-0.7193891308591115,-1.4434343446609255,0.0046560829427023664,0.051491573536875945,0.05962041540926011,297
C_irf+controles+plan,dev,c_por_sn,0.4775396458054864,-0.2794522364277134,1.2345315280386862,0.2163021892806879,0.05962041540926011,297
C_irf+controles+plan,dev,gn_por_carga,0.36100786302887805,-0.2687018912891797,0.9907176173469359,0.261168919458998,0.05962041540926011,297
C_irf+controles+plan,dev,exceso_o2_F,-0.2624509311692322,-0.7373345362168848,0.21243267387842052,0.2787192375372931,0.05962041540926011,297
C_irf+controles+plan,dev,T_F,0.35797323856516317,-0.6566157464768992,1.3725622236072255,0.4892350519656238,0.05962041540926011,297
C_irf+controles+plan,lockbox,irf_fin_st,1.3025506335339059,-0.12785571467599066,2.7329569817438024,0.07429795162160296,0.16331017593643937,63
C_irf+controles+plan,lockbox,feed_sn_total_t,-1.1975846920956492,-3.8887019788334123,1.4935325946421139,0.3830931246012096,0.16331017593643937,63
C_irf+controles+plan,lockbox,ley_sn_conc_batch_pct,0.9317740241074493,-1.7351805199392776,3.598728568154176,0.49349070996791056,0.16331017593643937,63
C_irf+controles+plan,lockbox,espesor_ladrillo_norm_mm,-0.6106698987216665,-2.978241281571696,1.7569014841283628,0.6131828822423242,0.16331017593643937,63
C_irf+controles+plan,lockbox,frac_carga_secundaria_F,-0.1354939398945696,-3.028093969883587,2.7571060900944477,0.9268507474804872,0.16331017593643937,63
C_irf+controles+plan,lockbox,feed_dross_Fe_total_t,0.8039636037153737,-3.0481787441262127,4.65610595155696,0.6824989904656641,0.16331017593643937,63
C_irf+controles+plan,lockbox,fe_por_carga,-0.9391027097498634,-2.891200827861324,1.0129954083615973,0.34573882279645396,0.16331017593643937,63
C_irf+controles+plan,lockbox,cal_por_carga,0.5608714560682455,-1.859880490153988,2.981623402290479,0.6497496003523047,0.16331017593643937,63
C_irf+controles+plan,lockbox,c_por_sn,0.3330426243230562,-1.1213755188425627,1.787460767488675,0.6535716300166083,0.16331017593643937,63
C_irf+controles+plan,lockbox,gn_por_carga,-0.11004232356832055,-1.3351300480164836,1.1150454008798425,0.8602531884588267,0.16331017593643937,63
C_irf+controles+plan,lockbox,exceso_o2_F,-1.4393827225671898,-2.372532633819782,-0.5062328113145976,0.002500819107117095,0.16331017593643937,63
C_irf+controles+plan,lockbox,T_F,-0.619300897320149,-2.06952735334512,0.8309255587048219,0.402605005810439,0.16331017593643937,63
