Batch,K0_proxy,K1_recuperacion_real,K2_recup_corr_escoria,K3_ventana3_centrada,K3_ventana5_centrada,K5_DP_desplazados_1,K5_DP_desplazados_2,K5_DP_desplazados_3,K6_solo_dross,K7_M_sobre_MD,K8_M_por_Sn_menos_D
AP0054,70.42641897917086,75.05160542421862,75.95824414905397,67.01114634040128,68.60475105969125,68.54370245425338,67.4498286481712,70.21809892744119,87.96332068285618,85.40355678379629,86.0951870245435
AP0055,65.26264948798122,64.26541871322979,64.7831790365163,66.95682532576058,66.97189507180084,64.1144135565249,67.02768121115628,67.78049673233562,83.13139380631083,79.46140473114205,77.06688247556711
AP0056,65.00749152489105,66.45938771185979,67.12136932097556,66.376156872436,67.92272185948505,67.88457403773626,68.6269825067643,69.14504540017934,85.90608819289567,82.18247564085434,77.64735367126116
AP0057,68.84337282400334,71.12274781200608,72.02066612689073,67.91278536872149,68.04920790281682,69.57355114690904,70.08279738007518,71.3483093816842,87.05474073179866,84.17230006535935,82.10311242880599
AP0058,69.92345372358601,81.40389250163494,82.97527939597724,69.96611253298302,69.77624657505146,70.42933274189656,71.68610830322869,73.10370320674045,87.4132319956621,84.74520157533627,95.38028710143315
AP0059,71.1117321217387,73.83532355622665,74.16944965083944,71.65138830342327,71.58389286471314,72.3508909771914,73.74739117581936,63.2161125674756,88.35100296009458,85.92448718382703,83.99460128355702
AP0060,73.81007591438333,79.58059894887703,80.73947187891336,73.01877836114164,69.83215106396268,75.15818084928611,64.9236656051216,74.02503176266622,90.94437268256674,89.07192364964288,88.19124123094917
AP0061,74.12864176403744,75.6799679365923,76.75453367045857,69.3855227738442,70.2055741039268,63.67497065491169,72.96542302697044,67.75474067069034,91.69390871165693,89.92403932082216,82.69219757741347
AP0062,60.59331542143988,69.76594676860427,70.5015594837444,68.64874213921466,69.63037608473375,70.30435978627868,64.82801538127151,62.685002259005756,80.32504291588386,75.4885006616353,90.19906242932433
AP0063,71.88788060959965,73.3755354469083,74.40028613864901,66.80815212159253,67.36230648787812,66.56468070891009,64.46948785113871,76.64444873838566,89.20937667291668,86.94869547307363,82.45732368138044
