Batch,idx_cronologico,es_lockbox,M_t,D_t,P_t,Sn_cargado_t,Sn_escoria_final_t,K0,K1,K2,K3,K3b,K4,K5_k1,K5_k2,K5_k3,K6,K7
AP0240,240,False,36.60104,7.2596799999999995,9.708821048,52.98667272172943,0.47182075998432066,68.32434865776489,69.07593573995106,69.696549895375,69.75135696947552,67.00625255876744,68.42147895618373,71.19464868302703,64.60508300514373,61.983814044258274,86.44811984949601,0.8344833372548375
AP0241,241,False,34.546960000000006,7.186240000000001,7.622538964,51.314387899768995,0.7808029794006802,69.9958317414688,67.32411983064019,68.36435620872672,67.00625255876744,65.03429920157801,66.8300686523059,63.273493905035394,60.613730426845194,64.73845020848059,85.43991002699477,0.8278052006555933
AP0242,242,False,34.11184,9.85592,10.196538916000002,53.33599781505051,0.48024419907583066,62.97845754987414,63.95650479491774,64.53760975170417,65.03429920157801,62.47800303117623,65.04699584926719,60.31072993491449,64.44856998896547,68.8618612935257,81.80365998037762,0.7758375682545575
AP0243,243,False,37.933840000000004,8.25656,14.191751132000002,53.28110714863722,0.7213390382832284,62.82293573323303,71.19566771421762,72.17276895201378,62.47800303117623,63.621682994527724,64.7003638801309,66.84285553487715,71.09224059217226,69.47786330313218,86.32615790393004,0.8212494371124736
AP0244,244,False,30.05464,10.96432,7.852617172,51.32792807982506,0.7112124229730461,61.497176353087305,58.5541655865382,59.37690664038865,63.621682994527724,66.65586583374268,65.0443424547589,66.08404111625684,64.33030649925752,66.18236805468787,77.56503752393367,0.7327011703855972
AP0245,245,False,31.15616,8.204880000000001,7.2199021000000005,52.59773746466922,0.5852934262376535,66.88606669464507,59.2347912701152,59.901357407813734,66.65586583374268,69.25664882353789,66.34411951205395,65.15193435248187,66.98323015447151,70.72450127752201,82.38575771527815,0.7915481907998365
AP0246,246,False,40.552400000000006,5.550160000000001,11.1144551,52.77101450050855,0.9471444532730814,70.87472132044162,76.84597384348032,78.25042777206343,69.25664882353789,71.22515651989082,68.53175730432949,72.53207004572039,75.8710734814109,72.22138897266348,90.29980856166682,0.8796127590311689
AP0247,247,False,35.17612,6.386559999999999,8.970653464000002,52.65367890037095,0.7656922209121829,69.60973596776374,66.80657597840172,67.79241641673755,71.22515651989082,70.93748074479204,70.18239328938074,73.17258634925756,69.28000071169872,68.3906444941483,87.3616886870331,0.8463390714939459
AP0248,248,False,35.4564,6.75648,6.140212176,54.76134181814739,0.6532930397770389,73.32809217442095,64.7471351555708,65.5288830414703,70.93748074479204,70.8604188104145,70.62170578551854,69.44864920863603,68.56195986672739,68.17169614258539,86.02678816195012,0.8399426904774089
AP0249,249,False,36.40308,6.363440000000001,9.234284744,52.965319195294576,1.1927719043099676,70.00483969279398,68.73003042948534,70.31348060855224,70.8604188104145,68.63631630632429,69.72641351147992,69.127116694541,68.74067002108602,71.35224839330648,87.7628047655662,0.8512051015607537
AP0250,250,False,36.967560000000006,6.75648,9.501510996,53.169219418889604,0.7969675142228964,69.45453698126711,69.52812248145666,70.58615708809336,68.63631630632429,69.26978443826097,70.19033611671838,69.07035497371345,71.66574289068198,71.46475378779162,87.30594634800914,0.8454744804002559
AP0251,251,False,32.569320000000005,7.94648,8.607561292,50.842139878029144,1.2531495913093218,66.30108189543635,64.05969551662099,65.67853027796421,69.26978443826097,69.22734923413972,69.43373655932747,69.02463477035678,68.8130637844623,67.21199327250868,83.82341967040003,0.8038671333158915
AP0252,252,False,37.37132,5.8548,8.760946764,51.927661418111484,1.5040029955190621,71.88580223164061,71.96803972952557,74.1146540514714,69.22734923413972,69.9329279120092,69.12677921534824,71.68575739184021,70.16823033129545,69.57603622420652,88.73796818239738,0.8645541168164064
