,R01_sn_ext,R02_feo_ret,R03_sn_net_l03,R04_sn_net_l06,R05_sn_net_l10,R06_frac_sn,R07_kapp_sn,R08_feo_ret_frac,R09_selectividad,R10_log_selectividad,R11_util_carbon,R12_d_avance,R13_sn_residual,R14_log_sn_feo_next,R15_d_log_sn_feo,R16_feo_por_sn_disp,R17_dT,R18_T_ventana,R19_T_gas_bhf,R20_fe_metalizado_por_sn,F01_sn_ext,F02_frac_sn_ext,F03_feo_formado,F04_feo_ret_por_fe,F05_ley_feo_next,F06_B2_ventana,F07_T_media,F08_T_ventana,F09_T_gas_bhf,F10_irf_next,F11_log_sn_feo_next,F12_d_log_sn_feo,F13_masa_por_carga,F14_sn_ret_por_c,F15_dT,F16_sn_ret_frac
F01_sn_ext,0.5601002579752415,-0.16846194944574988,0.5132044837978452,0.497866253767189,0.4696007946758791,0.15637001535790823,0.04664538906322831,-0.07825541495455422,0.22397565855342555,0.22397565855342555,0.5494206488218788,0.6600279837550187,-0.2925554654300771,-0.21837411936354406,0.1754743477958935,0.19772033124468655,0.04781326681052733,0.11585094606245186,0.048425184799742886,-0.28979139043583974,1.0,0.8033358404872001,0.14463226254062023,0.2504780051320508,-0.31560996329703533,-0.2825002678257143,-0.1077666906434449,-0.017707615943027093,0.09394637363982798,-0.07990108303617433,0.49981303214418715,0.3193018166235595,0.6739403029236365,0.7683230342444641,-0.0767445656887202,0.7346199170505502
F02_frac_sn_ext,0.7357119364312708,-0.23246202570896632,0.6890553184774794,0.6696876435612918,0.6331259861758208,0.2478119883655899,0.10966014395839165,-0.1382431085308687,0.3538660197978171,0.3538660197978171,0.7110967219663008,0.7524368973603861,-0.35194469004134066,-0.2804870995405794,0.2589753177201933,0.32673938983101214,0.06017419550889393,0.06800645716501744,0.026777784827769883,-0.2869363695009451,0.8033358404872001,1.0,0.2354072123718663,0.2234295095499993,-0.3709072465021628,-0.3649954836203011,0.03909919808348128,0.0001506204164639136,0.0763885279789529,-0.003993545385888676,0.680400119758317,0.39357191343824083,0.5569451985930034,0.9780336020742556,-0.0472876687346799,0.8539173902515274
F03_feo_formado,0.2275346774795073,-0.4806660857025775,0.12751798654445673,0.08808504899290913,0.03592277327357703,9.886949294557377e-05,0.02276118903629199,-0.28605031852338864,-0.08789194548333935,-0.08789194548333935,0.286362549093743,0.21519173244649523,-0.23983869239834102,0.04190503155241987,-0.01960766158175089,-0.11423379549454048,-0.3739599434760207,0.16383230539273452,-0.05313254056921892,-0.4551567342009376,0.14463226254062023,0.2354072123718663,1.0,0.5823115144651393,0.4381055612298563,-0.42889354820607783,0.34500925911755254,0.3360518918698316,-0.29972707284349287,0.5671543645388551,-0.12494452181631747,0.08379475877830662,0.5436458986955612,0.24652276954149274,0.2756380628803763,0.30822709579998264
F04_feo_ret_por_fe,0.21835713752935337,-0.33834466732025126,0.1365776546687208,0.11013678591992032,0.07548409351446964,0.003232937742651231,0.08988102746393993,-0.17704621343985613,0.004794361993429831,0.004794361993429831,0.25952566506428804,0.23766232764141698,-0.17899379154486975,0.04348367283431026,0.03382896472966612,-0.05874898104124465,-0.23251480693592078,0.10461859067558399,-0.07178647403621004,-0.3396043958495048,0.2504780051320508,0.2234295095499993,0.5823115144651393,1.0,0.18029737204895394,-0.2350622120873571,0.03440948256071991,0.2212536284007489,-0.18940022344316737,0.31926228044668226,-0.035206582900986105,-0.0317692311616494,0.6333004290312871,0.1968195625444703,0.21835014258530885,0.3141876208404116
F05_ley_feo_next,-0.3132700959504818,-0.1325036697680195,-0.33850060790512665,-0.3445016568826784,-0.3483488588884055,-0.2199565339324339,-0.11859158047672012,-0.02180774483385342,-0.3044295586137373,-0.3044295586137373,-0.2772833144192228,-0.32293246660837743,0.06993861752293562,0.2684874227426339,-0.2655891632887835,-0.3558461515747814,-0.36035599655831796,0.08166275417860952,-0.12486254002002672,-0.11336829838945915,-0.31560996329703533,-0.3709072465021628,0.4381055612298563,0.18029737204895394,1.0,0.19287332217520534,0.362992677452272,0.3184563135046035,-0.3798167268286304,0.7600756212426018,-0.6897028709072922,-0.16244984563989834,-0.11131425482869334,-0.35056213565325245,0.27827288346384926,-0.40632382545489515
F06_B2_ventana,-0.3237195760255352,0.4398668451056369,-0.22074923618783815,-0.178539601520881,-0.12580829222493684,-0.13365221337145647,-0.04742585892259852,0.4396875614858483,-0.10448366045359322,-0.10448366045359322,-0.3382014264513358,-0.3274359112853237,0.19333955709279013,0.21821112828596645,-0.041097539332865224,-0.1273408412663427,0.029502660402095673,-0.1317814746228759,-0.11181060385771058,0.3973521003765966,-0.2825002678257143,-0.3649954836203011,-0.42889354820607783,-0.2350622120873571,0.19287332217520534,1.0,-0.07597909428995576,-0.06889293603301654,-0.07707768986292425,0.04383388683980961,-0.293095453084587,-0.12357452951949516,-0.44970003519995105,-0.35341594924906944,-0.02747840814598287,-0.4464976048728976
F07_T_media,0.12171964514368212,-0.18386047217442522,0.07516776106811524,0.06551799525202098,0.04782007062811699,-0.0297233793160793,-0.056211272178073875,-0.07620873149180629,-0.05566807724055215,-0.05566807724055215,0.16636651002965558,0.037117328068645004,-0.12027417258296937,0.039186285400899364,-0.05021324028302801,-0.08601065601065601,-0.0585645983607169,-0.13691592018022172,-0.012036663095235536,-0.12887973215326612,-0.1077666906434449,0.03909919808348128,0.34500925911755254,0.03440948256071991,0.362992677452272,-0.07597909428995576,1.0,0.33125734149176206,-0.16124474008636952,0.5193418629446545,-0.1217783117287257,0.03330144931972268,-0.028056146472607808,0.06166292719507789,0.05438942630403929,0.03221229141478296
F08_T_ventana,0.03866102447161813,-0.24119630552704882,0.016254755052122316,-0.0009727441312561568,-0.02612957404506722,0.007295458142111093,0.04585007128036473,-0.0980490352449645,-0.09634763418210936,-0.09634763418210936,0.10218031517732905,0.019924702713457094,-0.028277968561877732,0.1004164927011643,-0.02074297403876076,-0.16662753912753914,-0.28280536147238244,0.6617726128697244,-0.21556346293146658,-0.24170069738839967,-0.017707615943027093,0.0001506204164639136,0.3360518918698316,0.2212536284007489,0.3184563135046035,-0.06889293603301654,0.33125734149176206,1.0,-0.37102885928000606,0.3492898792488637,-0.18038138381720512,-0.07455247598496095,0.09433204266846237,0.0214650035503463,0.3226158357281653,0.012578115833346087
F09_T_gas_bhf,0.013797870658035026,0.16024480641568736,0.04447385139288626,0.05223599976337266,0.061266676440404635,0.09417897596970128,0.010378703403108105,0.04901633096673112,0.09777994013437885,0.09777994013437885,-0.01065851845564652,0.015598934818873296,0.020924808831886528,-0.08652648831097279,0.11687072435377481,0.14638250638250638,0.44277326539055567,-0.2397615004108769,0.3799329417533775,0.17850498965430517,0.09394637363982798,0.0763885279789529,-0.29972707284349287,-0.18940022344316737,-0.3798167268286304,-0.07707768986292425,-0.16124474008636952,-0.37102885928000606,1.0,-0.31992393749713044,0.2578937165536697,0.07035577457747305,-0.056732118169806604,0.07720067938627061,-0.3506976306499368,0.06561449421751529
F10_irf_next,0.06760340228962672,-0.2321599933604104,0.01931809340035169,0.0018559727776826795,-0.022406021277809766,-0.0048673275549006335,-0.01019707646981609,-0.09278081040732782,-0.051893303402437474,-0.051893303402437474,0.10065432603646633,0.022523064735581806,-0.08155446044596808,0.1316230748432582,-0.028649655218533066,-0.09934947573916056,-0.2986606163562439,0.05978864725057774,-0.12490753636052912,-0.18708730717226837,-0.07990108303617433,-0.003993545385888676,0.5671543645388551,0.31926228044668226,0.7600756212426018,0.04383388683980961,0.5193418629446545,0.3492898792488637,-0.31992393749713044,1.0,-0.22857419792575362,0.05679308040383016,0.05165465277033818,0.022109062062744916,0.18661687659101228,0.02005453441687965
F11_log_sn_feo_next,0.7032700869605475,0.04054844047452317,0.6965593439255536,0.6981907118366246,0.6892334905048682,0.41481919799393663,0.2204378888646228,-0.007287042919008527,0.5012938717294915,0.5012938717294915,0.6556542360151956,0.6957291337124515,-0.2220022650403269,-0.31569254628283416,0.4845335740759317,0.536450559946262,0.1645623217683639,-0.03159272126230085,0.0751626084694143,0.031575400293036814,0.49981303214418715,0.680400119758317,-0.12494452181631747,-0.035206582900986105,-0.6897028709072922,-0.293095453084587,-0.1217783117287257,-0.18038138381720512,0.2578937165536697,-0.22857419792575362,1.0,0.41079006035006094,0.1791748927421782,0.6769808705073453,-0.19117935140264153,0.8003690893415568
F12_d_log_sn_feo,0.3247707672641507,-0.05110746279495599,0.3100205931020889,0.3029403526244534,0.2924643251739002,0.1798828308594545,0.04769579158464994,-0.02840300946444278,0.14000525016098003,0.14000525016098003,0.32063364686455914,0.3228579438627356,-0.1702037516005775,-0.1573705636583462,0.18834893273353448,0.17581116114067402,-0.02839207644000959,-0.006289568060890814,-0.04530157175433495,-0.05256804623385153,0.3193018166235595,0.39357191343824083,0.08379475877830662,-0.0317692311616494,-0.16244984563989834,-0.12357452951949516,0.03330144931972268,-0.07455247598496095,0.07035577457747305,0.05679308040383016,0.41079006035006094,1.0,0.1525410283487142,0.4132275589459338,-0.019772679736561525,0.39262943634165376
F13_masa_por_carga,0.3913116613554117,-0.40308922467229996,0.2947287883267716,0.25824398416872857,0.20718735573157385,0.04104761086807009,0.035746715463354506,-0.2617825749354995,0.0663634133858426,0.0663634133858426,0.4367135034478147,0.45572933947535604,-0.29819715033439953,-0.1181705718206537,0.029752029979655193,0.022205429082219914,-0.10313305071343669,0.1219384970131056,0.013623656407666447,-0.46537897956374485,0.6739403029236365,0.5569451985930034,0.5436458986955612,0.6333004290312871,-0.11131425482869334,-0.44970003519995105,-0.028056146472607808,0.09433204266846237,-0.056732118169806604,0.05165465277033818,0.1791748927421782,0.1525410283487142,1.0,0.5313506959192997,0.058944868714385555,0.5649334516867919
F14_sn_ret_por_c,0.7472424011446507,-0.23024035174402405,0.7049465378921393,0.6856387750336101,0.6493458141491524,0.2547255492430262,0.11732047983093331,-0.12894893973126895,0.3561050928284754,0.3561050928284754,0.7242442295450169,0.7511076660055178,-0.35131619096231087,-0.2761498437208463,0.26345169978291166,0.32172635730388716,0.05917558597382835,0.0674460624910611,0.016638390797529358,-0.2722751618345517,0.7683230342444641,0.9780336020742556,0.24652276954149274,0.1968195625444703,-0.35056213565325245,-0.35341594924906944,0.06166292719507789,0.0214650035503463,0.07720067938627061,0.022109062062744916,0.6769808705073453,0.4132275589459338,0.5313506959192997,1.0,-0.03861213680450102,0.8431492420695789
F15_dT,-0.04009172393035511,-0.17282437878893098,-0.02256781816732125,-0.031234808910562583,-0.03695424604613719,0.017429007486166284,0.10933504594407667,-0.0030318856126582638,-0.10951008645533142,-0.10951008645533142,0.0501642245181933,-0.042904659147140894,0.017909730022826212,0.1266407724207435,0.0012256214831932988,-0.15264735264735266,-0.6077635180523385,0.23857509889946715,-0.21123499464538295,-0.14667822454122775,-0.0767445656887202,-0.0472876687346799,0.2756380628803763,0.21835014258530885,0.27827288346384926,-0.02747840814598287,0.05438942630403929,0.3226158357281653,-0.3506976306499368,0.18661687659101228,-0.19117935140264153,-0.019772679736561525,0.058944868714385555,-0.03861213680450102,1.0,-0.018980170694255265
F16_sn_ret_frac,0.8542002638909251,-0.20955841542044681,0.7882554478351307,0.7709320842605416,0.7374991570833528,0.310824451196544,0.1660256715073262,-0.0961338979899413,0.43238866815363786,0.43238866815363786,0.828784172717382,0.8809661597183106,-0.41195216887814184,-0.3003206256408687,0.35814576758565525,0.41958821821286,-0.0017288787540237626,0.08023446228248726,0.03687194869989746,-0.24873123205438497,0.7346199170505502,0.8539173902515274,0.30822709579998264,0.3141876208404116,-0.40632382545489515,-0.4464976048728976,0.03221229141478296,0.012578115833346087,0.06561449421751529,0.02005453441687965,0.8003690893415568,0.39262943634165376,0.5649334516867919,0.8431492420695789,-0.018980170694255265,1.0
