id,fase,familia,grupo_mecanistico,variante,palanca,role,theta_unidad,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda_teoria,theta_1sd_rel,sd_target,r2_oof_interno,n_obs,n_batches
R08_feo_ret_frac,Reducción,sobre-reduccion,sobre-reduccion,primitiva,tasa_gn_nm3_min,gn,-0.0037064808015481016,-0.01853522660919857,-0.03170495670358971,-0.006274984216888386,True,-1,True,-0.21792262580854943,0.08505416333172415,0.2866189369392338,1016,278
R08_feo_ret_frac,Reducción,sobre-reduccion,sobre-reduccion,primitiva,tasa_o2_nm3_min,o2,0.0006550373695681919,0.00568372265948978,-0.007029210689227024,0.020333115247143766,False,1,True,0.06682474363215353,0.08505416333172415,0.2866189369392338,1016,278
R08_feo_ret_frac,Reducción,sobre-reduccion,sobre-reduccion,primitiva,tasa_aire_nm3_min,aire,9.424110078443734e-05,0.0009565637331152438,-0.0047304301322706474,0.006362459621901644,False,1,True,0.011246524516201516,0.08505416333172415,0.2866189369392338,1016,278
R08_feo_ret_frac,Reducción,sobre-reduccion,sobre-reduccion,cinetica,Cx_sn_v4,carbon,-2.7984357653044078e-06,-0.0008103577908219818,-0.04005346113935263,0.022282872298409487,False,-1,True,-0.00952421542850164,0.08508394175933379,0.274913879793657,1015,278
R08_feo_ret_frac,Reducción,sobre-reduccion,sobre-reduccion,cinetica,tasa_gn_nm3_min,gn,-0.0028792273181246046,-0.014262974614432421,-0.02415278735615778,-0.0022598010316431227,True,-1,True,-0.16763415421885716,0.08508394175933379,0.274913879793657,1015,278
R08_feo_ret_frac,Reducción,sobre-reduccion,sobre-reduccion,cinetica,exceso_o2_combustion_pct,o2,0.0001823964278643951,0.0019654202658530144,-0.002893403291171166,0.0072703568176192045,False,1,True,0.023099779173517264,0.08508394175933379,0.274913879793657,1015,278
R08_feo_ret_frac,Reducción,sobre-reduccion,sobre-reduccion,cinetica,tasa_aire_nm3_min,aire,1.7074448967157024e-05,0.00016125030126337052,-0.0047117231630079935,0.006293437289289263,False,1,True,0.001895190771949411,0.08508394175933379,0.274913879793657,1015,278
R09_selectividad,Reducción,selectividad,selectividad,primitiva,tasa_feed_Carbon_kg_min,carbon,-0.041363063520062214,-0.9417838052242715,-4.427770351656375,2.5402070907272645,False,1,False,-0.09157978144027977,10.283752487861303,0.18280575207608107,769,276
R09_selectividad,Reducción,selectividad,selectividad,primitiva,tasa_gn_nm3_min,gn,-0.12296342165044868,-0.6112447057522131,-3.171472888386848,1.3956922960883822,False,-1,True,-0.05943790522707658,10.283752487861303,0.18280575207608107,769,276
R09_selectividad,Reducción,selectividad,selectividad,primitiva,tasa_o2_nm3_min,o2,-0.02001520032936504,-0.17722200748724487,-2.4591904666345203,1.7685631747379815,False,0,,-0.01723320428962419,10.283752487861303,0.18280575207608107,769,276
R09_selectividad,Reducción,selectividad,selectividad,primitiva,tasa_aire_nm3_min,aire,0.06929790995156593,0.5413569429499011,0.030761101420772773,1.1055344401744753,True,0,,0.05264196542934167,10.283752487861303,0.18280575207608107,769,276
R09_selectividad,Reducción,selectividad,selectividad,cinetica,Cx_sn_v4,carbon,-0.0046870231616295945,-1.3699707095217823,-7.244397571222435,6.175194910137104,False,1,False,-0.13321700528468214,10.283752487861303,0.18285946279867205,769,276
R09_selectividad,Reducción,selectividad,selectividad,cinetica,tasa_gn_nm3_min,gn,-0.16887155650972924,-0.8394516310886264,-2.7210108235160835,1.019481156405199,False,-1,True,-0.08162892213513454,10.283752487861303,0.18285946279867205,769,276
R09_selectividad,Reducción,selectividad,selectividad,cinetica,exceso_o2_combustion_pct,o2,-0.0076348994046889565,-0.0759995849601777,-0.5924582083913653,0.43551888631469854,False,0,,-0.007390258084282542,10.283752487861303,0.18285946279867205,769,276
R09_selectividad,Reducción,selectividad,selectividad,cinetica,tasa_aire_nm3_min,aire,0.07180819007694793,0.5609673117990411,-0.042826783030779234,1.1704987991899987,False,0,,0.05454889277636676,10.283752487861303,0.18285946279867205,769,276
R10_log_selectividad,Reducción,selectividad,selectividad,primitiva,tasa_feed_Carbon_kg_min,carbon,0.0028096502065730186,0.06397212483093945,-0.22563185475966704,0.3719695841017435,False,1,True,0.04466930466531147,1.4321271689867567,0.6210817672678113,769,276
R10_log_selectividad,Reducción,selectividad,selectividad,primitiva,tasa_gn_nm3_min,gn,-0.0021460473246030253,-0.010667888448861441,-0.22419255478900713,0.23667112956165381,False,-1,True,-0.007448981263590629,1.4321271689867567,0.6210817672678113,769,276
