regimen,tendencia,palanca,outcome,n,cov_iv,b_ols,t_ols,b_iv,se_iv,t_iv,ci_lo,ci_hi,t_dwh,p_dwh
DEV,lineal,carbon,recuperacion_refinada_pct,298,HC1,0.24306433957236304,1.241300367770994,0.7444268246054833,0.28361826596085987,2.6247492279224933,0.18853502332219796,1.3003186258887687,-1.9557908888199806,0.05048979262780823
DEV,lineal,carbon,recuperacion_refinada_pct,298,HAC,0.24306433957236304,1.241300367770994,0.7444268246054833,0.3126805253898224,2.380790500711222,0.13157299484143137,1.3572806543695353,-1.9557908888199806,0.05048979262780823
DEV,lineal,carbon,f_dross,298,HC1,-0.222412956263303,-1.4281923769449392,-0.4442342589835526,0.20857229801007796,-2.129881404298896,-0.8530359630833054,-0.035432554883799816,1.0107492625713075,0.3121364525264064
DEV,lineal,carbon,f_dross,298,HAC,-0.222412956263303,-1.4281923769449392,-0.4442342589835526,0.24432161294040558,-1.81823561836058,-0.9231046203467476,0.03463610237964232,1.0107492625713075,0.3121364525264064
DEV,lineal,carbon,f_polvo,298,HC1,-0.01694996912743034,-0.18746223878491186,-0.320932664530563,0.19662850619523345,-1.632177707803503,-0.7063245366732206,0.06445920761209456,1.9094344757403199,0.05620606691695497
DEV,lineal,carbon,f_polvo,298,HAC,-0.01694996912743034,-0.18746223878491186,-0.320932664530563,0.18333805760746202,-1.7504966983870827,-0.6802752574411886,0.03840992838006252,1.9094344757403199,0.05620606691695497
DEV,lineal,carbon,f_metal,298,HC1,0.23936292539073406,1.1978935964148567,0.7651669235168299,0.2924498801372739,2.6164036147242253,0.19196515844777307,1.3383686885858868,-2.0309643873504175,0.04225860733740807
DEV,lineal,carbon,f_metal,298,HAC,0.23936292539073406,1.1978935964148567,0.7651669235168299,0.3241663000564146,2.36041477286093,0.12980097540625724,1.4005328716274026,-2.0309643873504175,0.04225860733740807
DEV,lineal,carbon,sn_perdido_escoria_frac,298,HC1,-0.009721380155477254,-0.4736144726164061,0.01560081417329151,0.041213514491491555,0.37853637006648067,-0.06517767423003194,0.09637930257661496,-0.6361508444033468,0.5246781085118641
DEV,lineal,carbon,sn_perdido_escoria_frac,298,HAC,-0.009721380155477254,-0.4736144726164061,0.01560081417329151,0.04249850653427695,0.3670908802573746,-0.06769625863389131,0.09889788698047433,-0.6361508444033468,0.5246781085118641
DEV,cubica,gn,recuperacion_refinada_pct,298,HC1,-0.5660867503086793,-3.5843860236333294,0.35638060537037,0.8349689232612519,0.4268190054049026,-1.2801584842216838,1.9929196949624237,-1.1243346689575857,0.2608710760125973
DEV,cubica,gn,recuperacion_refinada_pct,298,HAC,-0.5660867503086793,-3.5843860236333294,0.35638060537037,0.9297740735581095,0.3832980672461144,-1.4659765788035246,2.1787377895442646,-1.1243346689575857,0.2608710760125973
DEV,cubica,gn,f_dross,298,HC1,0.46880313653355987,4.09926784031063,1.0717468221830848,0.6607492745069434,1.6220174028686314,-0.22332175585052427,2.366815400216694,-0.9221554049321666,0.35644752056300655
DEV,cubica,gn,f_dross,298,HAC,0.46880313653355987,4.09926784031063,1.0717468221830848,0.7011137525184924,1.5286347163113403,-0.30243613275316017,2.44592977711933,-0.9221554049321666,0.35644752056300655
DEV,cubica,gn,f_polvo,298,HC1,0.1317146049015726,1.300819908642442,-1.2943049576925385,0.7391288035455226,-1.7511223368429085,-2.7429974126417624,0.15438749725668566,2.5018780964410197,0.012353645337528139
DEV,cubica,gn,f_polvo,298,HAC,0.1317146049015726,1.300819908642442,-1.2943049576925385,0.7691943289155356,-1.6826761574247964,-2.8019258423669884,0.21331592698191137,2.5018780964410197,0.012353645337528139
DEV,cubica,gn,f_metal,298,HC1,-0.6005177414351256,-3.954172282872925,0.22255813551957124,0.8474702129944913,0.2626146997346064,-1.4384834819496317,1.883599752988774,-0.964135283078717,0.3349781053455716
DEV,cubica,gn,f_metal,298,HAC,-0.6005177414351256,-3.954172282872925,0.22255813551957124,0.9227545505040555,0.24118887888225385,-1.5860407834683776,2.03115705450752,-0.964135283078717,0.3349781053455716
DEV,cubica,gn,sn_perdido_escoria_frac,298,HC1,-0.038375450475954656,-1.1051975283405222,-0.19073795329804968,0.15895722705780546,-1.199932565687542,-0.5022941183313484,0.12081821173524901,0.8643345189591075,0.38740415276499596
DEV,cubica,gn,sn_perdido_escoria_frac,298,HAC,-0.038375450475954656,-1.1051975283405222,-0.19073795329804968,0.16188117276581931,-1.1782590281451395,-0.5080250519190556,0.12654914532295616,0.8643345189591075,0.38740415276499596
DEV,cubica,carbon,recuperacion_refinada_pct,298,HC1,-0.03291505884861076,-0.1593700401274997,0.8408400553160519,1.2190971651362905,0.6897235752509104,-1.5485903883510774,3.230270498983181,-0.7909765438699611,0.4289576793475418
DEV,cubica,carbon,recuperacion_refinada_pct,298,HAC,-0.03291505884861076,-0.1593700401274997,0.8408400553160519,1.302952250572752,0.6453345124093651,-1.712946355806542,3.3946264664386456,-0.7909765438699611,0.4289576793475418
DEV,cubica,carbon,f_dross,298,HC1,-0.06924328527939548,-0.3750928023358083,0.09497903110572166,0.9008166024433796,0.10543659036489786,-1.6706215096833021,1.8605795718947455,-0.16974623985705825,0.865209707579138
